,0
0,890201.5982445094
1,1046159.6015293301
2,1040611.0496527783
3,1040311.8471736439
4,1042601.3986615881
5,1020244.9771118966
6,1027018.69056233
7,1028337.6570670382
8,1027596.6782306326
9,1044900.820078266
10,1047020.5692868013
11,1032328.2729278981
12,1029526.0793360183
13,1031898.6912062713
14,1030578.3612484727
15,1001755.9243689226
16,1018970.9021820364
17,999918.9681356712
18,988870.4842231751
19,1002918.1049384011
20,1021364.2602194542
21,1021230.8024544204
22,1016494.1856415948
23,1010891.3341534047
24,1015089.7581758504
25,1020443.91779809
26,1008143.8914475308
27,998059.9086912379
28,986511.8315599312
29,988562.236340012
30,995583.262398011
31,994341.2560559891
32,980278.4355832036
33,955103.7029090341
34,957877.5938853908
35,965159.3626180799
36,955568.0264016155
37,969513.3440387377
38,965265.2398535216
39,970511.3711264313
40,976155.905255085
41,981924.0982325709
42,983335.1744778214
43,973869.928859256
44,979039.0855034336
45,972267.0834623314
46,986265.8583923534
47,987001.1578848923
48,995097.8028079874
49,996793.7471404197
50,993664.8688707955
51,981317.6049940439
52,992507.6381302888
53,957832.2755423045
54,958366.8950377805
55,930321.833931925
56,927397.982065733
57,961590.9797525076
58,962760.3697300926
59,958024.0369746801
60,950672.3002037387
61,966163.8384240918
62,953235.3010509893
