,0
0,1105871.7952575837
1,933584.5267859114
2,932520.4206786051
3,935072.6059393841
4,932732.7894850112
5,933415.6388362302
6,934378.0382498407
7,933649.0869633608
8,935005.5720133844
9,934417.314143369
10,930396.8176047495
11,931999.676323592
12,931363.3825524973
13,930642.2944861869
14,937341.5344166707
15,938979.282850052
16,941532.2867082132
17,944230.5675712097
18,944455.6576302208
19,943513.7303457861
20,941497.2018924123
21,942694.6485077936
22,939450.0594833472
23,940562.0478375707
24,942286.015484059
25,940079.9377326246
26,941023.7205104879
27,939175.8282241396
28,941774.6831792654
29,944548.0475420395
30,951710.3868327392
31,950846.1255726612
32,945198.5589857162
33,946954.2741307493
34,946446.356243661
35,947222.5245183142
36,943968.6156352226
37,941358.8565384098
38,933474.2372515716
39,932274.5156071556
40,932845.6351350824
41,932432.6431253538
42,932061.1686646845
43,937024.0120406772
44,934822.0229040182
45,937476.4503084398
46,940471.0830023368
47,935461.0707441724
48,937464.5836671464
49,937697.1910374183
50,938898.8967942289
51,941772.0745020935
52,939941.4050146458
53,940993.5653732206
54,944450.3728870621
55,942126.6484719731
56,939716.1758490343
57,933047.923569634
58,933447.9980860767
59,931634.1523880638
60,933362.5276317871
61,932667.0179227939
62,933881.1344088234
