,0
0,-0.18500269996002316
1,-74.25800170004368
2,0.0
3,0.0
4,0.0
5,0.0
6,-922.4555297478801
7,1402.361467104638
8,-1386.9368690532865
9,473.9699102898594
10,-239.90413769264705
11,808.5051261518383
12,2157.180330993724
13,-291.69744254252873
14,-11.485880205989815
15,0.0
16,149.11002844653558
17,-3.600704275071621
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-86.0464597089449
25,384.03841684991494
26,-143.49841020908207
27,-78.81145546131302
28,-41.91628689132631
29,1670.9024000000209
30,-2280.849602399976
31,926.702819018974
32,1496.3270394995343
33,-2606.9398339547915
34,799.7607236766489
35,1911.1624060248723
36,-220.20836766820867
37,-2406.877587976516
38,8568.896437152289
39,-59.477464894996956
40,-2709.762235570117
41,-728.4101974307559
42,-8804.01129151322
43,-614.7351657382678
44,5705.012970739743
45,3489.1631564761046
46,7831.195330461487
47,1631.8880895320326
48,-949.0332808059175
49,2490.733991310699
50,622.4776003737934
51,-163.423459893791
52,1712.7581862104125
53,-741.3866270597791
54,-1447.730528429267
55,-1300.418008043198
56,-1046.7864014166407
57,5275.585244315211
58,3050.7395035813097
59,-2518.3250663459767
60,2593.2747953822836
61,-2646.1165912211873
