,0
0,1084609.5255180968
1,1084609.5255180968
2,1084609.5255180968
3,1084609.5255180968
4,1084618.549576611
5,1084729.0878425795
6,1084457.6055511402
7,1084478.3050868611
8,1084161.3789886516
9,1084175.9035799885
10,1084100.0692759585
11,1084264.2489658913
12,1084415.239494153
13,1084390.0901720924
14,1084743.7747778392
15,1085059.1352119513
16,1084870.8590840574
17,1084760.7321368202
18,1084667.9319023294
19,1084777.7282736783
20,1084713.9925245023
21,1084598.5362685292
22,1084477.016627169
23,1083818.3625116588
24,1083903.3243173738
25,1084195.746151235
26,1084687.7399573484
27,1084478.381228881
28,1084120.297059176
29,1083857.9432715457
30,1083428.2130299667
31,1083767.7772945215
32,1083529.7274551375
33,1083821.8426432738
34,1083698.1469984252
35,1083935.5528891971
36,1083924.7160762048
37,1083921.6826755651
38,1083921.6826755651
39,1083921.6826755651
40,1083955.641575165
41,1083942.5319532463
42,1083710.3729936187
43,1083732.3297161856
44,1083723.4776628856
45,1083723.4776628856
46,1083723.4776628856
47,1083734.8140220013
48,1083810.288845197
49,1083390.6064516618
50,1084016.4075758108
51,1083969.5790569775
52,1084118.8308262995
53,1083863.1898011512
54,1083568.973998782
55,1083483.0384071814
56,1083440.2538122642
57,1082560.148387434
58,1082469.6581164703
59,1082916.2823802158
60,1082353.5511215092
61,1082024.0860738861
62,1081204.8956872956
