,0
0,2109074.393031973
1,2332650.0945331794
2,2332283.7253661416
3,2332283.7253661416
4,2332283.7253661416
5,2332283.7253661416
6,2332283.7253661416
7,2332283.7253661416
8,2332283.7253661416
9,2332283.7253661416
10,2332283.7253661416
11,2332283.7253661416
12,2332283.7253661416
13,2332283.7253661416
14,2332283.7253661416
15,2332283.7253661416
16,2332283.7253661416
17,2332283.7253661416
18,2332283.7253661416
19,2332283.7253661416
20,2332283.7253661416
21,2332283.7253661416
22,2332283.7253661416
23,2332283.7253661416
24,2332283.7253661416
25,2332283.7253661416
26,2332283.7253661416
27,2332283.7253661416
28,2332283.7253661416
29,2332283.7253661416
30,2332283.7253661416
31,2332283.7253661416
32,2332283.7253661416
33,2332283.7253661416
34,2332283.7253661416
35,2332283.7253661416
36,2332283.7253661416
37,2332283.7253661416
38,2332283.7253661416
39,2332283.7253661416
40,2332283.7253661416
41,2332283.7253661416
42,2332283.7253661416
43,2332283.7253661416
44,2332283.7253661416
45,2332283.7253661416
46,2332283.7253661416
47,2332283.7253661416
48,2332283.7253661416
49,2332283.7253661416
50,2332283.7253661416
51,2332283.7253661416
52,2332283.7253661416
53,2332519.364342154
54,2332482.5171092954
55,2332482.5171092954
56,2332482.5171092954
57,2332482.5171092954
58,2332482.5171092954
59,2332482.5171092954
60,2332482.5171092954
61,2332482.5171092954
62,2332482.5171092954
