,0
0,1084610.1386433162
1,1084609.6446213014
2,1084609.5255180968
3,1084609.5255180968
4,1084609.5255180968
5,1084609.5255180968
6,1084609.5255180968
7,1084609.5255180968
8,1084609.5255180968
9,1084609.5255180968
10,1084609.5255180968
11,1084609.5255180968
12,1084609.5255180968
13,1084609.5255180968
14,1084609.5255180968
15,1084609.5255180968
16,1084609.5255180968
17,1084609.5255180968
18,1084609.5255180968
19,1084609.5255180968
20,1084609.5255180968
21,1084609.5255180968
22,1084609.5255180968
23,1084609.5255180968
24,1084609.5255180968
25,1084609.5255180968
26,1084609.5255180968
27,1084609.5255180968
28,1084609.5255180968
29,1084609.5255180968
30,1084609.5255180968
31,1084609.5255180968
32,1084609.5255180968
33,1084609.5255180968
34,1084609.5255180968
35,1084609.5255180968
36,1084609.5255180968
37,1084609.5255180968
38,1084609.5255180968
39,1084609.5255180968
40,1084609.5255180968
41,1084609.5255180968
42,1084609.5255180968
43,1084609.5255180968
44,1084609.5255180968
45,1084609.5255180968
46,1084609.5255180968
47,1084609.5255180968
48,1084609.5255180968
49,1084609.5255180968
50,1084609.5255180968
51,1084609.5255180968
52,1084609.5255180968
53,1084609.5255180968
54,1084609.5255180968
55,1084609.5255180968
56,1084609.5255180968
57,1084609.5255180968
58,1084609.5255180968
59,1084609.5255180968
60,1084609.5255180968
61,1084609.5255180968
62,1084609.5255180968
