,0
0,18415.464047029614
1,-5768.699580997229
2,7987.430189073086
3,-11432.133200697834
4,3534.6463520717807
5,-5325.564528107643
6,8800.133490201784
7,-5762.283939043642
8,2878.8999853954883
9,23376.16572634573
10,8784.990970096085
11,-7671.940630480647
12,-10667.108060222352
13,-27171.55600291188
14,7906.198404302704
15,2944.0053890376585
16,-2808.033113317797
17,-12778.013518521213
18,1558.0190341797424
19,4708.736196476384
20,-4743.500601193286
21,1284.125388024142
22,-980.1301531253848
23,166.18262922787108
24,-1731.7905996081536
25,3544.1868723213556
26,1309.8234973995714
27,424.5920231282944
28,-272.9565077221487
29,308.5541348652914
30,-107.60615253297146
31,-825.056749801035
32,-7166.825597387564
33,1004.8496317529934
34,-180.87862648878945
35,491.38125928054797
36,-13836.769411268819
37,-20250.269641601422
38,-2689.9881500723423
39,4094.107833974238
40,-13283.985204046941
41,7891.39923466742
42,5766.419387739908
43,-4557.474315654545
44,124.74978014826775
45,-11101.769219786744
46,3690.142184007156
47,824.856993264344
48,-789.8447217810317
49,2318.7507235477096
50,888.4704612463829
51,9263.081630710221
52,1959.926726106496
53,797.4478188985377
54,-22.481998369214125
55,4319.852180368558
56,94.91082619741792
57,-4867.893576056929
58,6088.682310384524
59,-15036.045467968448
60,1245.6271616892773
61,2102.08404408989
