,0
0,978714.9812036249
1,958147.9502936132
2,958144.3373090904
3,958143.9833827569
4,958143.9833827569
5,958143.9833827569
6,958143.9833827569
7,958143.9833827569
8,958143.9833827569
9,958143.9833827569
10,958143.9833827569
11,958143.9833827569
12,958143.9833827569
13,958143.9833827569
14,958143.9833827569
15,958143.9833827569
16,958143.9833827569
17,958143.9833827569
18,958163.9885148095
19,958078.5544000616
20,957966.337861498
21,957748.7006491553
22,957719.0537136754
23,957767.6441566856
24,957861.4284011024
25,957931.4095199768
26,957885.8272538773
27,957883.3642285009
28,957894.7871599296
29,957980.5656241109
30,957975.8590745715
31,958022.6276075328
32,957948.973185498
33,957948.8306962076
34,957948.8977064159
35,958010.5738198725
36,957970.7160074293
37,957932.4163388485
38,957930.4833655251
39,957930.4833655251
40,957932.1184407943
41,957890.5055642513
42,957787.4815831386
43,957809.3359832322
44,957951.3253703404
45,958021.2091608038
46,958188.6773213419
47,957995.3159653114
48,957439.6400239627
49,956701.4729027298
50,956722.7650049783
51,956647.7400097355
52,956625.4983954779
53,956740.2352688153
54,956964.3446811342
55,956864.2738167999
56,956666.9305695627
57,956411.5615009746
58,956124.0457007838
59,956180.3146449685
60,956426.8968928515
61,956471.2101689663
62,956550.6308981678
