,0
0,418153.18732821994
1,937230.1803070286
2,983527.1269936077
3,985027.1050740359
4,981547.0889864168
5,961144.9453053728
6,935463.9161938166
7,906825.2754876052
8,887581.6222358013
9,896711.3477434987
10,899805.2281831016
11,912540.436952508
12,889979.580391624
13,889628.1674485577
14,895797.1968812937
15,914601.4505479662
16,942795.9407339252
17,937309.6030426861
18,840009.2669157416
19,858299.9772120272
20,846653.4022020709
21,818061.5809838086
22,778697.3078745073
23,789510.1903349262
24,829394.8404118085
25,841358.8699150372
26,900575.6910916365
27,851215.6463374841
28,835273.4736454266
29,840616.2160363161
30,866179.5716865772
31,865518.4965799933
32,865133.3232919907
33,855891.1743815445
34,827841.1624121921
35,826639.8756814615
36,844957.7848901768
37,859096.9308647325
38,868575.3499950378
39,846597.9803894971
40,830808.7616006089
41,867100.5928926171
42,865933.2192321839
43,872283.2296098919
44,893267.861994872
45,885399.29134518
46,864875.9740740845
47,850758.8953286646
48,847677.4880526182
49,940142.0720345073
50,894169.543582099
51,877314.9840979628
52,884982.3635851046
53,884935.3135851047
54,885733.9919463353
55,861666.7416631328
56,853984.2608044259
57,853940.2858044261
58,844243.367585256
59,817494.253855034
60,805787.070688424
61,789446.223756628
62,784856.658154754
