,0
0,1000000.0
1,-81080.0
2,-2197498.92
3,-1724911.42
4,-3450638.92
5,-3257391.46
6,-2942391.46
7,-3126351.46
8,-3020511.46
9,-2834031.46
10,-5618311.42
11,-5574844.3
12,-6414680.29
13,-12502251.5
14,-12126987.5
15,-11990596.64
16,-10086609.24
17,-10181809.24
18,-9820049.24
19,-19672944.6
20,-19712031.88
21,-20195863.77
22,-39710683.21
23,-39023828.17
24,86954.50999999791
25,48023174.51
26,77465704.50999999
27,99149384.50999999
28,97951420.11
29,91058972.00999999
30,75581212.00999999
31,73449095.0233438
32,81833988.94679314
33,81703901.1369146
34,78936302.89529106
35,84477636.72051689
36,93558081.37056084
37,101756015.94570182
38,99790813.11489128
39,82499473.90300164
40,88219628.7396563
41,100422625.72451958
42,94829585.43979058
43,108522264.06195366
44,109936270.16670708
45,104230722.19744132
46,93622649.27741203
47,106882750.25244865
48,104029580.16168876
49,108597821.29320122
50,116930683.89772393
51,120369598.50711876
52,131503655.2180349
53,134981751.76875818
54,150221837.9311117
55,148042471.45266503
56,145232456.76596764
57,159844340.71545312
58,148793517.67566398
59,133013581.61884026
60,136207947.3551531
61,132050327.06165642
62,149630353.11848015
63,149763810.26507288
64,143141491.45560816
65,132844834.89538659
66,136023923.14166343
67,146205555.92974937
68,146795613.26480186
69,142833858.67657536
70,143270802.79808873
71,142059744.47040135
72,142792675.35005376
73,126322069.9760288
74,125907560.4051441
75,125179844.1224741
76,127332911.76064244
77,134003657.18401463
78,128254877.46321233
79,125053896.00760014
80,130670933.79746373
81,130663343.79746373
82,138396466.89544377
83,145968243.69716588
84,142643087.32503575
85,151451480.7520798
86,151841382.50634772
87,159761557.7939313
88,158506039.76335913
89,160563879.9122849
90,156899426.41744724
91,158646692.03115577
92,149559037.30840796
93,160230823.73524022
94,160971697.02716282
95,168070372.13550022
96,164876290.32931125
97,167239591.8985282
98,169722977.10280797
99,173475347.2733506
100,179493542.49853247
101,187772646.0730271
102,196637999.97638097
103,198722470.71795508
104,186698844.292302
105,199403860.17609107
106,196693448.82728246
107,198183688.4750755
108,203628860.16979444
109,210811460.04092985
110,217524180.4514546
111,214787515.8470378
112,205857177.2997827
113,205403091.5673799
114,207522158.31859297
115,208911538.773603
116,200263477.90794978
117,182058048.61183771
118,193436441.92190775
119,190553915.61669
120,212962629.8187507
121,206933560.06895852
122,219671509.67812097
123,212252812.74746943
124,206285205.8836845
125,194488615.04389933
126,189498650.25891474
127,179909656.60292795
128,167826637.08087137
129,169381800.4637072
130,165233740.05614495
131,167998551.76534387
132,166058387.37187785
133,179617767.8461401
134,181549583.24220255
135,189164519.3057516
136,195717805.76741007
137,196780500.86930063
138,195363574.06677988
139,208347738.46224618
140,220591355.7733587
141,222684442.57587945
142,216893186.11422098
143,192783147.81853235
144,212428722.99963412
145,226889571.4965671
146,240594170.03719607
147,250241734.18072024
148,252995810.90272832
149,253796175.52366185
150,247799780.02772212
151,248294249.88043973
152,238563921.53719783
153,242578457.53886104
154,247765835.1523718
155,231950656.30929318
156,226538040.59262142
157,235930756.23397303
158,246593111.91607904
159,242837410.6064062
160,248799601.67223263
161,248006809.57975674
162,237630283.86659908
163,235444964.8432764
164,241809088.98403493
165,241545242.4248537
166,227423761.34743062
167,220909415.56050098
168,218929285.90433872
169,219773635.64319402
170,217917578.84908274
171,233128600.58105752
172,233383756.58901498
173,236411679.75826913
174,224644836.43344003
175,223181821.94958687
176,230012564.1189384
177,235908162.9820495
178,236589822.76892236
179,233720168.79022408
180,223513321.69136956
181,232684575.04887536
182,217261786.22578973
183,206912897.43684167
184,206429822.63160104
185,210947882.01550072
186,209307804.73127574
187,224816953.2184002
188,225278881.74556467
189,222041087.41348398
190,225291729.28110254
191,229277183.5488714
192,223163070.90163323
193,231773765.87817392
194,236786061.07569757
195,244404732.20473352
196,261995808.53325906
197,268182290.2437884
198,283583414.9943588
199,289722421.1503878
200,293884524.07588375
201,289935637.47903377
202,304046211.52452064
203,306535398.9148728
204,298222697.34703225
205,287416185.3088395
206,302171896.02679145
207,287298407.5023217
208,306252344.66056514
209,297040196.84747505
210,306796781.5708546
211,324883542.7358822
212,330941686.7367454
213,328617799.2515846
214,321591352.4166084
215,333758290.57114345
216,333040795.8340823
217,339185145.98181885
218,318614267.0079289
219,314973720.2044096
220,334628617.5071741
221,337297802.85421616
222,347533792.1406694
223,333270366.2463188
224,328718915.3744772
225,329177383.7195404
226,316316185.4115359
227,328861502.88451123
228,315135194.78270537
229,323608264.9119696
230,331348438.4158037
231,319362991.42147994
232,317473294.29146177
233,322144257.2672673
234,309545100.720468
235,299928807.1748195
236,282903452.9661682
237,281377797.5627191
238,282871129.39747405
239,283887078.31502163
240,285634043.4305822
241,296203488.96479243
242,289358198.6353552
243,293667780.2450503
244,287516733.0559634
245,291147659.0266888
246,304995792.41720915
247,310537902.83345854
248,319593986.5645225
249,319799704.0710635
250,323961072.02267164
251,325034043.93096846
252,338175049.291761
253,340933125.71426004
254,348245161.2718693
255,345564236.9001118
256,346411272.86065257
257,342472013.60427195
258,329661877.5511689
259,323283952.2419662
260,321650865.1048202
261,312810492.2981869
262,319125512.0798666
263,306648279.4542043
264,297896597.09206724
265,287365893.55060846
266,293036133.1875744
267,289397971.113847
268,284713437.3331796
269,285307068.331853
270,279402116.4796237
271,290964379.198955
272,305246531.6337275
273,301773227.7117756
274,279034704.94903815
275,272450497.37465954
276,271124214.73151374
277,282540668.3072019
278,284767374.3269918
279,288847321.5907997
280,284048901.2861037
281,298676229.46327364
282,300963100.91470313
283,308932701.0701902
284,313322628.19692206
285,312945098.44613284
286,304677835.4921427
287,312141000.7480356
288,301308210.7111475
289,310046759.33620334
290,304495602.34771156
291,309748350.57387733
292,316539055.91075015
293,314131489.73837924
294,321368683.9904023
295,321542646.9884873
296,318701969.01912695
297,321666785.4454992
298,323521491.8053365
299,317314618.35608816
300,310620027.3914275
301,319245659.9678359
302,323836043.81497824
303,321200630.9776235
304,313437821.9967962
305,316678797.1253466
306,318261453.91717094
307,310354503.07295614
308,309824626.79272085
309,308989506.38028705
310,321034383.87483203
311,321367649.9620092
312,325366824.30697805
313,335619398.3821297
314,345669061.4145272
315,344970687.26676166
316,339314624.59370553
317,338816656.1823362
318,335914343.42520577
319,333569148.6363703
320,332579190.9841733
321,339901005.3972855
322,341453161.8759385
323,331109683.70829016
324,324985508.6077097
325,327086015.20126134
326,329280828.82860756
327,329107049.39116704
328,335632851.12756324
329,331608248.7871198
330,322162983.17649513
331,327404034.45479316
332,335833693.4672825
333,340729645.5684559
334,345646533.5904396
335,326419260.74841386
336,310103828.277253
337,293676120.4427413
338,287103771.36307514
339,298043790.65460956
340,293159129.25782955
341,292971230.11259365
342,285617958.68383604
343,270477466.13439757
344,259714835.9135266
345,254835050.3927963
346,254825560.3927963
347,241100719.27389038
348,241460237.5150354
349,241101968.35393184
350,237483596.0633279
351,243960631.51773465
352,260040806.9739923
353,257081857.0333969
354,248325562.07081357
355,254478282.8749072
356,258173998.71364468
357,243910970.82912654
358,242954671.52607173
359,247620842.28151822
360,254573953.93968853
361,262375799.17157483
362,258775691.1057408
363,258010143.80118787
364,266018758.20132643
365,269186726.3510289
366,266662534.40339705
367,268356204.53489637
368,267198959.4492137
369,264089286.7290982
370,256479876.47608918
371,257824804.0760278
372,268178545.23399398
373,264529692.28298414
374,254855681.55048597
375,252817247.00717437
376,242303228.4438275
377,240268693.9564862
378,240424853.16322845
379,248674911.60654998
380,253967099.18223268
381,254540346.5584839
382,250125524.58880615
383,257525282.78552246
384,256443124.1868274
385,255853477.28176758
386,252125035.8514087
387,255022376.93313324
388,257864776.4511081
389,252666064.27055085
390,262785314.33874542
391,262926959.17874938
392,262621079.518255
393,256531146.31391418
394,253470491.1414792
395,259505789.62041414
396,261665999.5288907
397,271598328.5706922
398,275206121.1323502
399,275349431.37301946
400,273460266.63477844
401,268739479.7927374
402,271486699.4760071
403,265596067.58124697
404,255313968.22818148
405,247318996.46329284
406,246476407.59041154
407,244568828.43162858
408,247754998.76636827
409,245420161.16238755
410,241170703.13290757
411,237997110.40429765
412,233106925.5628047
413,226641556.44011277
414,232693099.38439223
415,235508548.110475
416,245829400.57434157
417,241301756.40225416
418,232002034.212606
419,240104324.11374706
420,243899942.01551098
421,241822160.16680706
422,240375030.09326458
423,243837796.24192566
424,241415382.02843994
425,248225804.6688971
426,250770231.31544706
427,249763424.06232145
428,246291990.2879837
429,241692855.5706375
430,238203126.5787857
431,243281218.86475003
432,238330389.6318475
433,237852972.73421532
434,238512827.64949912
435,245216831.40529746
436,243787223.58376515
437,243441037.23763478
438,250527898.3844347
439,259363604.24725866
440,268156381.3413535
441,268145811.3413535
442,273268242.9722129
443,275383929.3271934
444,265816859.44682226
445,273345907.4326621
446,268907566.58579683
447,267729707.2563242
448,272586434.27754
449,271414578.43505466
450,265426970.28682348
451,273028527.1909202
452,257314389.02078038
453,265578665.81489658
454,259178804.07446617
455,264501980.30175543
456,265322375.89732426
457,266550289.59605473
458,264232623.1232764
459,264067791.53409064
460,261674649.97924322
461,267558216.14673346
462,272023622.6258588
463,277030870.2074848
464,285529852.71145207
465,287278571.97278327
466,286096634.0163566
467,281106458.9378165
468,293662670.13091403
469,289525256.9308408
470,272166810.73713356
471,272374958.53239113
472,259114613.53870094
473,249862903.68173072
474,258258485.01809546
475,254932933.00057837
476,253384884.97290367
477,252358361.96127647
478,265070607.37311605
479,263697208.32676718
480,273638514.6250155
481,264614969.54920095
482,278064838.8508733
483,285246965.8228643
484,292769034.6285589
485,291881565.2535589
486,285845257.32915944
487,287836966.4450933
488,287188639.9614812
489,284288488.5324956
490,287520332.8219121
491,287987721.5156225
492,289850931.56296134
493,287285261.7314378
494,287753614.72028774
495,291657839.06587243
496,296087835.2260564
497,301459471.47637284
498,312953405.50253683
499,311580384.7636872
500,314258979.6827012
501,313075325.133112
502,303048975.8264809
503,316192092.5622082
504,318215715.8415508
505,309152260.5235877
506,322488182.001287
507,311530089.6644963
508,310811659.941583
509,318049922.73703057
510,327758853.61813027
511,329633997.36865574
512,324967567.4143844
513,329153061.703624
514,325571855.57174337
515,322946457.40998936
516,306721219.7791146
517,305674429.458413
518,296253316.5720986
519,285785002.0450826
520,298568019.7416423
521,291991307.9923461
522,315791235.6891845
523,331952555.7213817
524,323447548.7510379
525,324923571.76061016
526,323896020.28271556
527,311292558.5592128
528,300484486.9613765
529,302177596.36488056
530,309205574.6053133
531,309730518.4731153
532,304721925.936033
533,302796182.1187322
534,293847626.26518
535,295248559.03034043
536,297211244.06956506
537,313969082.764271
538,340742464.99762684
539,366597587.29374695
540,351209103.67089885
541,368776060.56608576
542,361794594.2320861
543,386310969.0712724
544,406704617.6943053
545,402737777.4753361
546,423531516.8030525
547,426632315.5085408
548,421975429.37953365
549,423443235.053375
550,408889750.3367722
551,395780789.75551033
552,404088060.74427974
553,377112286.98026776
554,383522824.0078096
555,419359772.2366671
556,420543277.48562044
557,423811889.2535929
558,440314325.98914903
559,444061256.06920284
560,453221912.74915725
561,455903920.9218546
562,443165034.53657967
563,451832206.51859546
564,455952668.9254684
565,476596684.0626695
566,490330451.70157087
567,492424237.5846074
568,494657058.30662936
569,501096144.3584605
570,530794362.67743784
571,557689675.5364662
572,521169556.07256794
573,491014003.55856776
574,501180168.60527956
575,513076154.3956426
576,522356943.4037196
577,503007404.4118797
578,518143532.1875655
579,549465537.6690826
580,559283135.137789
581,558108077.1117985
582,563712129.3360436
583,586919947.4479306
584,581130479.1921678
585,589682812.084178
586,583699669.5303121
587,564162175.6181579
588,544193342.0903658
589,455240507.4658441
590,447000614.0084389
591,488014699.84619886
592,492503100.74425983
593,452957699.46312475
594,451421369.5511485
595,454210648.4255839
596,434865462.8112238
597,436077570.38153225
598,454926059.7242599
599,445986201.06871295
600,454430686.9361645
601,434211500.52295864
602,450091356.82043546
603,463603947.678338
604,456074683.0028391
605,458417052.9114119
606,474445679.1463057
607,454820117.4075333
608,457644140.92064285
609,457328822.8689544
610,444956343.8931198
611,445687817.3866118
612,460627637.33311135
613,466238739.0749128
614,445658465.7202408
615,428649752.47516346
616,444429500.9168398
617,415094781.1634361
618,411116829.8620116
619,395723462.1417534
620,398091989.3208546
621,398801215.25174737
622,405732571.89884096
623,382548226.7051222
624,378390108.5990546
625,375146199.32561135
626,391222214.0045865
627,406764107.113009
628,406494540.9414161
629,404936541.07654095
630,420379032.8286581
631,418706329.9804409
632,433745076.3855513
633,415765930.7113512
634,404578929.17303807
635,418658325.765315
636,427261196.87074727
637,409192845.4634959
638,421765012.6596999
639,409783315.54336447
640,424733274.19359106
641,428087431.583065
642,435959827.76035774
