,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
0,AMZN,19970515,2.4375,2.5,1.927083,72156000,1.958333,0.0,0.0,-66.66666666666667,100.0,0.0
1,AMZN,19970516,1.96875,1.979167,1.708333,14700000,1.729167,-0.0051415448717950785,0.0,-66.66666666666667,100.0,0.0
2,AMZN,19970519,1.760417,1.770833,1.625,6106800,1.708333,-0.007197409789006182,0.0,-70.83340925929303,100.0,0.0
3,AMZN,19970520,1.729167,1.75,1.635417,5467200,1.635417,-0.01058867162283672,0.0,-68.01146061834926,100.0,0.0
4,AMZN,19970521,1.635417,1.645833,1.375,18853200,1.427083,-0.020498603711972097,0.0,-110.09434355570882,100.0,0.0
5,AMZN,19970522,1.4375,1.447917,1.3125,11776800,1.395833,-0.02740677953911752,0.0,-113.65080796976999,100.0,0.0
6,AMZN,19970523,1.40625,1.520833,1.333333,15937200,1.5,-0.026646047123417116,17.173883031637672,-73.7117524540037,74.84896956589986,0.0
7,AMZN,19970527,1.510417,1.645833,1.458333,8697600,1.583333,-0.02174421812861005,27.48085910970444,-32.27906229299275,42.10164861647693,0.0
8,AMZN,19970528,1.625,1.635417,1.53125,4574400,1.53125,-0.020602973380957623,25.434467056651485,-29.46006606081222,42.10164861647693,0.0
9,AMZN,19970529,1.541667,1.541667,1.479167,3472800,1.505208,-0.020835061437023406,24.49112568462361,-48.9474368821576,46.841841334505006,0.0
10,AMZN,19970530,1.5,1.510417,1.479167,2594400,1.5,-0.020988036501834006,24.304635810728342,-50.99010525123786,46.84184133450502,0.0
11,AMZN,19970602,1.510417,1.53125,1.5,591600,1.510417,-0.020242436245716977,25.478779937961235,-41.846695481336006,41.545110699735226,0.0
12,AMZN,19970603,1.53125,1.53125,1.479167,1183200,1.479167,-0.02118620998676879,24.308625601355374,-47.874713067807264,43.715369765006734,0.0
13,AMZN,19970604,1.479167,1.489583,1.395833,3080400,1.416667,-0.02523973324749229,22.199240441697327,-73.63688100264449,51.42659510828068,0.0
14,AMZN,19970605,1.416667,1.541667,1.375,5672400,1.541667,-0.020556961807637553,34.04115159998389,-47.126732684146695,38.7283261524865,0.0
15,AMZN,19970606,1.515625,1.708333,1.510417,7807200,1.65625,-0.009795904003903955,42.36053827986873,22.248171402412346,7.8049200300351576,0.0
16,AMZN,19970609,1.65625,1.708333,1.65625,2352000,1.6875,0.0004663612794857386,44.34117739196549,49.837260719764345,7.804920030035141,0.0
17,AMZN,19970610,1.708333,1.708333,1.53125,5458800,1.583333,0.0017521572742944524,39.643716355274236,9.94464309912429,22.592457274816486,0.0
18,AMZN,19970611,1.59375,1.604167,1.53125,1188000,1.541667,4.6167479906600306e-05,37.978874573782804,-16.40747525745637,22.59245727481647,0.0
19,AMZN,19970612,1.583333,1.645833,1.552083,1632000,1.604167,0.0028047454736417343,41.77326904691622,7.293549907675506,15.53419430909726,0.0
20,AMZN,19970613,1.625,1.625,1.583333,693600,1.583333,0.0035241194537058984,40.910190663800726,5.201083980615087,15.534194309097257,0.0
21,AMZN,19970616,1.604167,1.604167,1.5625,913200,1.572917,0.003340408736296041,40.477658186078834,-5.594682095339414,18.22421848924346,0.0
22,AMZN,19970617,1.598958,1.598958,1.494792,4706400,1.505208,-0.0014416806309298646,37.790815908635814,-35.40251915475606,26.37083035033468,0.0
23,AMZN,19970618,1.520833,1.536458,1.5,2464800,1.510417,-0.004780704574747663,38.11772296489638,-45.92949731510584,26.370830350334685,0.0
24,AMZN,19970619,1.510417,1.53125,1.5,1003200,1.510417,-0.007321037027030242,38.11772296489638,-46.132875776198176,26.37083035033469,0.0
25,AMZN,19970620,1.53125,1.552083,1.5,3387600,1.526042,-0.008115627385650193,39.14428068152375,-37.06702490438943,21.810058071433026,0.0
26,AMZN,19970623,1.541667,1.541667,1.479167,1047600,1.5,-0.01048580396248222,38.05581271412866,-49.551361878738525,24.714525026732474,0.0
27,AMZN,19970624,1.505208,1.526042,1.479167,751200,1.510417,-0.011466821529994453,38.760458489981495,-49.8000050396677,24.71452502673248,0.0
28,AMZN,19970625,1.526042,1.526042,1.489583,2106000,1.510417,-0.01209889208164805,38.760458489981495,-46.44250762412342,24.714525026732474,0.0
29,AMZN,19970626,1.520833,1.520833,1.505208,3189600,1.510417,-0.012451901454739733,38.760458489981495,-43.196944501488645,24.714525026732478,0.0
30,AMZN,19970627,1.515625,1.515625,1.479167,1188000,1.489583,-0.014107084613920406,37.808197416573655,-53.6049177555718,29.018047899216093,0.0
31,AMZN,19970630,1.510417,1.598958,1.479167,2746800,1.541667,-0.011403240976683326,41.52357428068027,1.1861037663312703,7.916113353295271,0.0
32,AMZN,19970701,1.541667,1.541667,1.510417,1292400,1.515625,-0.01108658618027647,40.27894204803944,-14.217760930635189,7.916113353295266,0.0
33,AMZN,19970702,1.515625,1.59375,1.510417,3882000,1.588542,-0.005281548432244598,45.04976785803129,52.31683381143392,3.3710644735613826,0.0
34,AMZN,19970703,1.598958,1.916667,1.59375,12577200,1.911458,0.02348759864350991,59.772121012518944,329.1033158657349,42.931127629967825,0.0
35,AMZN,19970707,1.833333,2.020833,1.833333,8053200,2.0,0.052379364801703465,62.61335629565225,393.7283001906703,49.99099822920453,0.0
36,AMZN,19970708,2.041667,2.333333,2.041667,15517200,2.302083,0.09719757921679473,70.07334893431722,451.2267764436384,64.19542477889202,0.0
37,AMZN,19970709,2.302083,2.385417,2.270833,8262000,2.322917,0.13273058492577605,70.49340822912261,365.7269343481448,65.92004145819679,0.0
38,AMZN,19970710,2.333333,2.572917,2.333333,9051600,2.5625,0.17725282536508558,74.71538150449283,321.6621172065968,71.24926197765899,0.0
39,AMZN,19970711,2.520833,2.520833,2.208333,10531200,2.291667,0.18937696480968969,64.00554438356055,213.63996371955352,54.07887193556965,0.0
40,AMZN,19970714,2.322917,2.333333,2.114583,4604400,2.135417,0.1847204824320079,58.961455339015046,143.92292702136783,42.61474853959372,0.0
41,AMZN,19970715,2.135417,2.479167,2.135417,9274800,2.4375,0.2021772440424372,64.54902387530203,160.6527611390366,48.932901714983146,0.0
42,AMZN,19970716,2.447917,2.494792,2.302083,3024000,2.333333,0.20549856362418017,61.559164536025186,145.2805788029399,49.568838238613466,0.0
