,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
0,MSFT,19860313,0.088542,0.101563,0.088542,1031788800,0.06205499999999999,0.0,100.0,66.66666666666667,100.0,0.0
1,MSFT,19860314,0.097222,0.102431,0.097222,308160000,0.06427100000000001,4.9717948717956095e-05,100.0,66.66666666666667,100.0,0.0
2,MSFT,19860317,0.100694,0.103299,0.100694,133171200,0.06537899999999999,9.770954872592719e-05,100.0,78.20265046935351,100.0,0.0
3,MSFT,19860318,0.102431,0.103299,0.098958,67766400,0.063717,5.7136579274558175e-05,65.40235776524864,38.84396665887623,4.969961769524834,0.0
4,MSFT,19860319,0.099826,0.100694,0.097222,47894400,0.062609,-1.0202904240974586e-05,52.80326488677069,-25.70885343473628,39.12414042707201,0.0
5,MSFT,19860320,0.09809,0.09809,0.094618,58435200,0.060947,-0.00012155937860214294,40.651551581166885,-88.43000303674498,61.38018836441403,0.0
6,MSFT,19860321,0.095486,0.097222,0.091146,59990400,0.059285000000000004,-0.00026617095313501843,32.83468281914408,-112.34646221142762,74.61028867763842,0.0
7,MSFT,19860324,0.092882,0.092882,0.08941,65289600,0.057623,-0.00043790217994791464,27.386878640901926,-134.37129835973425,78.53966163063325,0.0
8,MSFT,19860325,0.090278,0.092014,0.08941,32083200,0.05873099999999999,-0.0004951880436805597,34.84251894249449,-108.49480432977072,78.53966163063325,0.0
9,MSFT,19860326,0.092014,0.095486,0.091146,22752000,0.060392999999999995,-0.0004430121446797747,43.79706105876777,-53.535783938654106,31.891091339096818,0.0
10,MSFT,19860327,0.094618,0.096354,0.094618,16848000,0.061501,-0.0003400667974034974,48.662743391653,-11.780467263269138,23.282932142779433,0.0
11,MSFT,19860331,0.096354,0.096354,0.09375,12873600,0.060947,-0.00029039763752954084,46.57705229750376,-23.076979845464646,28.286280830957267,0.0
12,MSFT,19860401,0.095486,0.095486,0.094618,11088000,0.060392999999999995,-0.00028100384555795194,44.59959301276341,-27.251010993081476,28.286280830957267,0.0
13,MSFT,19860402,0.094618,0.097222,0.094618,27014400,0.060947,-0.0002382150949383141,46.93039131132832,-5.827700890462795,11.645710597897809,0.0
14,MSFT,19860403,0.096354,0.098958,0.096354,23040000,0.061501,-0.0001700312942928689,49.14378676418376,33.02144585937504,1.9499277562677366,0.0
15,MSFT,19860404,0.096354,0.097222,0.096354,26582400,0.061501,-0.0001161567390291704,49.14378676418375,14.921576939380733,1.9499277562677257,0.0
16,MSFT,19860407,0.096354,0.097222,0.092882,16560000,0.060392999999999995,-0.0001421964678818971,45.11639372255884,-33.520814499366914,20.245764930336275,0.0
17,MSFT,19860408,0.094618,0.097222,0.094618,10252800,0.060947,-0.0001254634319557621,47.348226556690314,-7.941809641855793,20.24576493033627,0.0
18,MSFT,19860409,0.095486,0.09809,0.095486,12153600,0.06205499999999999,-4.000101430331332e-05,51.43426319745583,24.843542804174668,13.205077144385285,0.0
19,MSFT,19860410,0.097222,0.098958,0.095486,13881600,0.062609,6.246374130655652e-05,53.308482900991095,40.49345651350103,6.536872260137995,0.0
20,MSFT,19860411,0.098958,0.101563,0.098958,17222400,0.063717,0.00021418662996022797,56.76087906858579,115.84067717172756,10.395721067756059,0.0
21,MSFT,19860414,0.099826,0.101563,0.099826,12153600,0.06427100000000001,0.0003662602549529756,58.35364832329822,119.96362280784352,10.395721067756055,0.0
22,MSFT,19860415,0.100694,0.100694,0.097222,9302400,0.06427100000000001,0.00047985846987631114,58.353648323298216,77.20309362300743,6.5666348130368215,0.0
23,MSFT,19860416,0.100694,0.10503499999999999,0.099826,31910400,0.066488,0.0007148357026981259,64.0283023028183,156.96825313532966,16.340124229105452,0.0
24,MSFT,19860417,0.10416700000000001,0.10503499999999999,0.10416700000000001,22003200,0.06704199999999999,0.0009276633347461705,65.2522325223326,180.2565390398216,16.34012422910544,0.0
25,MSFT,19860418,0.10503499999999999,0.10503499999999999,0.100694,21628800,0.064825,0.0009267973712489136,57.195860601477236,117.82640264180526,2.767115582242786,0.0
26,MSFT,19860421,0.101563,0.102431,0.098958,22924800,0.064825,0.0009152928680993544,57.195860601477236,75.62294276966053,10.611497441211707,0.0
27,MSFT,19860422,0.101563,0.101563,0.099826,15552000,0.063717,0.0008164271663484851,53.65296434973695,63.390904228548905,10.611497441211707,0.0
28,MSFT,19860423,0.099826,0.100694,0.098958,15609600,0.06399400000000001,0.0007497623891002253,54.38372792454225,49.35204369686046,14.550207099859833,0.0
29,MSFT,19860424,0.10026,0.111979,0.099826,62352000,0.070366,0.0011518162545784832,66.82959084069427,187.82638026544976,28.955628648372432,0.0
30,MSFT,19860425,0.11111099999999999,0.12196199999999999,0.11111099999999999,85795200,0.074798,0.001776631412509,72.27283621423763,323.61398534498227,47.728789409925625,0.0
31,MSFT,19860428,0.11718800000000001,0.118924,0.116319,28886400,0.075353,0.0022851286856430397,72.84999262459266,283.33368430658214,47.728789409925625,0.0
32,MSFT,19860429,0.118056,0.118056,0.11371500000000001,30326400,0.073136,0.0024920078422820263,67.07997750805364,217.538399858894,36.942932653116024,0.0
33,MSFT,19860430,0.11458299999999999,0.115451,0.109375,30902400,0.071474,0.0025012471132951908,63.19811501867735,152.79649587629652,21.180132227677714,0.0
34,MSFT,19860501,0.111979,0.111979,0.10850699999999999,54345600,0.070366,0.002396717311124799,60.77269084110565,113.93284036682812,18.26967744241039,0.0
35,MSFT,19860502,0.11024300000000001,0.111979,0.109375,20246400,0.070366,0.0022873561533219983,60.77269084110565,106.19589282917232,18.26967744241039,0.0
36,MSFT,19860505,0.11024300000000001,0.11024300000000001,0.109375,3254400,0.069812,0.0021336376109185318,59.54982011303362,87.82629462584478,18.26967744241037,0.0
37,MSFT,19860506,0.11024300000000001,0.111979,0.11024300000000001,9734400,0.070366,0.0020308424086443178,60.37465755843822,92.25830237204428,22.799395973380083,0.0
38,MSFT,19860507,0.11024300000000001,0.11111099999999999,0.10850699999999999,5155200,0.070366,0.0019270666868972802,60.37465755843822,75.12822985662721,15.931060369195796,0.0
39,MSFT,19860508,0.11024300000000001,0.11111099999999999,0.109375,3542400,0.07092000000000001,0.001866040434350652,61.220894942351215,74.23101710058718,15.931060369195805,0.0
40,MSFT,19860509,0.11111099999999999,0.11111099999999999,0.11024300000000001,6076800,0.070366,0.001754404734899212,59.89761429706128,69.73667316098246,15.931060369195807,0.0
41,MSFT,19860512,0.11024300000000001,0.11371500000000001,0.11024300000000001,10483200,0.07092000000000001,0.0016894769651444735,60.7746995759441,76.44467075946207,23.74558586939558,0.0
42,MSFT,19860513,0.11111099999999999,0.112847,0.11111099999999999,3830400,0.071474,0.0016619829171097694,61.64254944606395,73.20370931681876,23.745585869395576,0.0
43,MSFT,19860514,0.111979,0.111979,0.11111099999999999,9302400,0.07092000000000001,0.0015786054756565526,60.2632637582587,62.94084528468956,23.745585869395576,0.0
44,MSFT,19860515,0.11111099999999999,0.112847,0.11111099999999999,3801600,0.07092000000000001,0.0014952415775300876,60.263263758258695,62.32007283658656,26.526376766000364,0.0
45,MSFT,19860516,0.11111099999999999,0.11458299999999999,0.11111099999999999,11952000,0.071474,0.001455852551420056,61.19252022283541,67.82482981106466,31.840407038799416,0.0
46,MSFT,19860519,0.111979,0.111979,0.109375,11001600,0.070366,0.0013221589889789304,58.36845422493085,41.204939165045786,22.3788496131669,0.0
47,MSFT,19860520,0.11024300000000001,0.11024300000000001,0.10850699999999999,61977600,0.069812,0.0011591565311576957,57.007627804361974,23.151909017059342,17.85813231603309,0.0
48,MSFT,19860521,0.109375,0.11024300000000001,0.10763900000000001,8092800,0.068704,0.0009317386480359041,54.38430706679624,9.280074593786933,13.380950092772014,0.0
49,MSFT,19860522,0.10763900000000001,0.10850699999999999,0.10763900000000001,4406400,0.068704,0.0007429690912858777,54.384307066796225,-5.322203973218419,13.380950092772025,0.0
50,MSFT,19860523,0.10763900000000001,0.109375,0.10763900000000001,4089600,0.068704,0.0005866251384274018,54.384307066796225,-4.8169783093157506,16.984509978511763,0.0
51,MSFT,19860527,0.10763900000000001,0.11111099999999999,0.10763900000000001,13881600,0.07092000000000001,0.000631239392095792,58.602199114944014,16.453662001629194,23.765076605893455,0.0
52,MSFT,19860528,0.11111099999999999,0.11458299999999999,0.11111099999999999,15523200,0.073136,0.0008329705891938349,62.216365726545874,77.94369866665333,35.09837035501231,0.0
53,MSFT,19860529,0.11458299999999999,0.118924,0.11371500000000001,45676800,0.074798,0.0011121236534864937,64.61329667743911,138.91791377962576,45.856200259083366,0.0
54,MSFT,19860530,0.118056,0.12326400000000001,0.118056,27072000,0.077569,0.0015361567397270542,68.10330341154173,211.53794874646977,54.00419810914667,0.0
55,MSFT,19860602,0.121528,0.121528,0.118056,19728000,0.075353,0.0016762038894160697,62.9658519585098,168.81674536823076,54.00419810914669,0.0
56,MSFT,19860603,0.118056,0.118056,0.116319,5011200,0.075353,0.0017667710878387782,62.9658519585098,121.35922330097105,44.08752414866718,0.0
57,MSFT,19860604,0.118056,0.118924,0.116319,4723200,0.074798,0.001773748684789564,61.71800542833545,115.32640286309713,45.946777893945644,0.0
58,MSFT,19860605,0.11718800000000001,0.118924,0.116319,13708800,0.075907,0.0018465593979513778,63.22452974666839,113.87776890345643,45.946777893945644,0.0
59,MSFT,19860606,0.118924,0.118924,0.11718800000000001,3427200,0.075907,0.0018825228850560954,63.22452974666839,109.3825100019614,45.94677789394566,0.0
60,MSFT,19860609,0.118924,0.118924,0.11371500000000001,12672000,0.07258200000000001,0.0016262251022319402,56.13638397666454,57.30093986597516,25.5434848576498,0.0
61,MSFT,19860610,0.11371500000000001,0.11371500000000001,0.111979,3427200,0.07258200000000001,0.0014068884163841722,56.13638397666454,5.495772711657001,16.81735339011939,0.0
62,MSFT,19860611,0.11371500000000001,0.11371500000000001,0.111979,2304000,0.07258200000000001,0.001219009305851712,56.13638397666454,7.650296373964021,16.81735339011939,0.0
63,MSFT,19860612,0.11371500000000001,0.11371500000000001,0.10850699999999999,13708800,0.069812,0.0008384394838468479,50.87599522616133,-45.55703552804538,0.8046224292798653,0.0
64,MSFT,19860613,0.109375,0.11024300000000001,0.10850699999999999,7891200,0.069812,0.0005307335480255887,50.875995226161336,-74.57363447799037,0.8046224292798668,0.0
65,MSFT,19860616,0.109375,0.11024300000000001,0.10763900000000001,9590400,0.069258,0.00023968057696326095,49.87567578659265,-84.22682868715715,2.993982438171439,0.0
66,MSFT,19860617,0.109375,0.111979,0.109375,13075200,0.070366,9.684469607590396e-05,51.83501865147415,-46.26357918810817,4.684917244516189,0.0
67,MSFT,19860618,0.11024300000000001,0.11024300000000001,0.10763900000000001,4348800,0.069812,-6.013531917309356e-05,50.80774745422991,-78.08187750089483,3.0424651434967442,0.0
68,MSFT,19860619,0.109375,0.11024300000000001,0.10763900000000001,8467200,0.069258,-0.0002264227224405696,49.787039701611555,-81.17618751629131,3.042465143496738,0.0
69,MSFT,19860620,0.10850699999999999,0.109375,0.10850699999999999,3801600,0.069535,-0.00033211238454125547,50.303445386201645,-76.72827067950242,3.0424651434967425,0.0
70,MSFT,19860623,0.10894100000000001,0.11024300000000001,0.106771,46195200,0.070366,-0.00034509646445222975,51.840542427882156,-74.77042942405009,11.061619863268813,0.0
71,MSFT,19860624,0.11024300000000001,0.11111099999999999,0.10850699999999999,14572800,0.069812,-0.00039536631306921755,50.75783749696156,-55.645629336188314,6.359880313821326,0.0
72,MSFT,19860625,0.109375,0.11024300000000001,0.10763900000000001,15235200,0.068704,-0.0005183308955667432,48.655391722370034,-73.9162247056966,10.414016436173496,0.0
73,MSFT,19860626,0.10763900000000001,0.10850699999999999,0.10416700000000001,19152000,0.066488,-0.0007849793730827503,44.81481412381044,-122.10370577165112,24.40785128189965,0.0
74,MSFT,19860627,0.10416700000000001,0.10503499999999999,0.102431,10396800,0.065933,-0.0010290795665644642,43.916679273271455,-150.00781712396926,30.232670833854264,0.0
75,MSFT,19860630,0.103299,0.109375,0.102431,62352000,0.06815,-0.0010322058996026229,48.20606245717097,-97.49303621170002,7.99398765591712,0.0
76,MSFT,19860701,0.106771,0.106771,0.105903,47577600,0.06815,-0.0010228874819640105,48.20606245717097,-86.78152233922572,7.993987655917128,0.0
77,MSFT,19860702,0.106771,0.106771,0.105903,52617600,0.06815,-0.0010039257854259492,48.20606245717098,-83.51080301643798,7.993987655917115,0.0
78,MSFT,19860703,0.10763900000000001,0.109375,0.10763900000000001,14140800,0.069258,-0.0008894259543852784,50.308797110536204,-48.06299778854386,4.018156753071034,0.0
79,MSFT,19860707,0.10850699999999999,0.10850699999999999,0.10416700000000001,14054400,0.066488,-0.0010101149544413102,45.52852728726244,-91.68609334270971,10.215734220342407,0.0
80,MSFT,19860708,0.10416700000000001,0.10416700000000001,0.100694,14256000,0.064825,-0.0012255740721762026,42.99149076289506,-143.48344791620121,21.676078571554395,0.0
81,MSFT,19860709,0.101563,0.101563,0.096354,46137600,0.06205499999999999,-0.0016010025797733446,39.225158733430604,-184.78772213894072,33.08556035357006,0.0
82,MSFT,19860710,0.097222,0.09809,0.090278,46886400,0.060392999999999995,-0.0020092600360499535,37.20223443442726,-223.23696419295396,45.062188884816806,0.0
83,MSFT,19860711,0.094618,0.098958,0.094618,17395200,0.06205499999999999,-0.002173821500901299,40.38283754709309,-174.49342020938022,41.20275539035184,0.0
84,MSFT,19860714,0.094618,0.09809,0.094618,28598400,0.061224,-0.0023441726739806407,39.351918740469245,-171.52763621294736,41.20275539035185,0.0
85,MSFT,19860715,0.09592,0.098958,0.094618,13190400,0.06205499999999999,-0.0023847085595571083,40.9123603733465,-146.75264329211169,37.03662013155953,0.0
86,MSFT,19860716,0.09809,0.100694,0.09809,9360000,0.06427100000000001,-0.002212713835449631,44.82832383434138,-100.41013119099148,28.905412714219253,0.0
87,MSFT,19860717,0.100694,0.102431,0.099826,6940800,0.06537899999999999,-0.0019644480764589994,46.6569018178604,-71.69780147803267,21.21268658040469,0.0
88,MSFT,19860718,0.102431,0.10416700000000001,0.099826,12326400,0.065933,-0.0017033997060909578,47.55595778430896,-54.864377340485774,13.94780279356434,0.0
89,MSFT,19860721,0.103299,0.10503499999999999,0.103299,3513600,0.065933,-0.0014794622349410813,47.55595778430896,-26.049238732766153,10.410875374844816,0.0
90,MSFT,19860722,0.103299,0.106771,0.103299,10512000,0.06815,-0.0011104468921022542,51.086486841189796,1.739436836913337,3.5398520305412364,0.0
91,MSFT,19860723,0.106771,0.10850699999999999,0.10416700000000001,20793600,0.066488,-0.0009411565655652876,48.5517265582272,11.78874769579125,2.918333115375909,0.0
92,MSFT,19860724,0.105903,0.109375,0.105903,14140800,0.068704,-0.0006211492544608149,51.84717570292631,46.78474991797783,6.050403903507375,0.0
93,MSFT,19860725,0.10763900000000001,0.109375,0.10763900000000001,20448000,0.069258,-0.00031918995644616976,52.63185723561221,63.87713190333323,6.0504039035073784,0.0
94,MSFT,19860728,0.10850699999999999,0.10850699999999999,0.105903,11808000,0.067596,-0.00021147515998540256,50.098253090571795,37.672043366536656,1.231894260854599,0.0
95,MSFT,19860729,0.105903,0.106771,0.101563,14054400,0.065933,-0.0002572584231317898,47.72043333575242,-11.759846541810537,16.546457363672197,0.0
96,MSFT,19860730,0.103299,0.103299,0.096354,26409600,0.063717,-0.0004668771838398089,44.789959920529604,-79.94021880174482,30.393738768530536,0.0
97,MSFT,19860731,0.099826,0.100694,0.098958,15638400,0.063163,-0.0006699583544868132,44.089740399002665,-77.66992718835027,30.393738768530536,0.0
98,MSFT,19860801,0.098958,0.099826,0.097222,12902400,0.062609,-0.0008656047475055911,43.38804778187374,-91.24763485773474,34.53068873213625,0.0
99,MSFT,19860804,0.09809,0.09809,0.095486,12441600,0.062609,-0.0010090229946619483,43.38804778187374,-105.01053204133389,38.44164248608328,0.0
100,MSFT,19860805,0.09809,0.098958,0.097222,2822400,0.06205499999999999,-0.0011540640315507167,42.661454238063705,-85.02843387445368,34.158172364913064,0.0
101,MSFT,19860806,0.097222,0.09809,0.094618,18316800,0.061501,-0.0012987248687744146,41.93497851397723,-103.99179916683104,40.10150278949676,0.0
102,MSFT,19860807,0.096354,0.097222,0.094618,3657600,0.060947,-0.0014414404658075475,41.20903775446924,-105.27003716563232,40.10150278949676,0.0
103,MSFT,19860808,0.095486,0.09809,0.095486,4147200,0.061501,-0.001492646707688866,42.243346121658625,-84.14248631422089,35.44461391010478,0.0
104,MSFT,19860811,0.09809,0.100694,0.09809,7948800,0.063717,-0.00133903025772808,46.16262859266391,-34.13821636662228,22.397605191600984,0.0
