,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
0,SP500,20001124,1322.359985,1343.829956,1322.359985,404870000,1341.77002,0.0,100.0,66.66666666666667,100.0,0.0
1,SP500,20001127,1341.77002,1362.5,1341.77002,946100000,1348.969971,0.16153736217938786,100.0,66.66666666666667,100.0,0.0
2,SP500,20001128,1348.969971,1358.810059,1334.969971,1028200000,1336.089966,-0.19357752189557687,35.08048132945545,-2.126670747753988,43.953116534888885,0.0
3,SP500,20001129,1336.089966,1352.380005,1329.280029,402100000,1341.930054,-0.13949248625999644,50.23456584053894,-26.24736024055641,15.101935682617892,0.0
4,SP500,20001130,1341.910034,1341.910034,1294.900024,1186530000,1314.949951,-1.1807672099614592,23.745022598576426,-153.3926615179558,49.835869273296765,0.0
5,SP500,20001201,1314.949951,1334.670044,1307.02002,1195200000,1315.22998,-1.7725458304232689,24.174332319974084,-94.7931017003603,49.83586927329677,0.0
6,SP500,20001204,1315.180054,1332.060059,1310.22998,1103000000,1324.969971,-1.6802897344023222,36.94713379799469,-61.03403341454221,49.83586927329677,0.0
7,SP500,20001205,1324.969971,1376.560059,1324.969971,900300000,1376.540039,0.8612501981492642,67.20506020600709,123.1739427409189,20.805160656936973,0.0
8,SP500,20001206,1376.540039,1376.540039,1346.150024,1399300000,1351.459961,1.3638005598370455,54.13525895853352,97.36474492609737,20.80516065693698,0.0
9,SP500,20001207,1351.459961,1353.5,1339.26001,1128000000,1343.550049,1.293020174384992,50.90530677046403,32.66192710576775,11.504355471898737,0.0
10,SP500,20001208,1343.550049,1380.329956,1343.550049,1358300000,1369.890015,2.6270163405656604,59.27554743369371,116.7629959453952,32.98212829033469,0.0
11,SP500,20001211,1369.890015,1389.050049,1364.140015,1202400000,1380.199951,4.135630140421881,61.90539675107141,149.79397341414236,38.193658250635245,0.0
12,SP500,20001212,1380.199951,1380.27002,1370.27002,1083400000,1371.180054,4.690080690928653,58.48713865474361,113.13634979125017,38.193658250635245,0.0
13,SP500,20001213,1371.180054,1385.819946,1358.47998,1195100000,1359.98999,4.395646692866194,54.616734483947305,80.56514968486107,23.37151340577648,0.0
14,SP500,20001214,1359.98999,1359.98999,1340.47998,1061300000,1340.930054,2.9864675451344738,48.91331675592741,-5.103074736651019,4.993222291747636,0.0
15,SP500,20001215,1340.930054,1340.930054,1305.380005,1561100000,1312.150024,0.1341551468808575,42.05360668227736,-112.58403774881856,19.884244915462702,0.0
16,SP500,20001218,1312.150024,1332.319946,1312.150024,1189900000,1322.73999,-1.3874402294109132,44.990209550458346,-92.02290463491858,19.88424491546268,0.0
17,SP500,20001219,1322.959961,1346.439941,1305.199951,1324900000,1305.599976,-3.616379309994727,41.47131331281159,-96.52044986178599,8.109197391748316,0.0
18,SP500,20001220,1305.599976,1305.599976,1261.160034,1421600000,1264.73999,-7.906472870733296,34.765554829710524,-211.73710324599205,30.77767613555553,0.0
19,SP500,20001221,1264.73999,1285.310059,1254.069946,1449900000,1274.859985,-10.457975863754427,37.36064663289464,-192.45915551240589,33.5967627114481,0.0
20,SP500,20001222,1274.859985,1305.969971,1274.859985,1087100000,1305.949951,-10.247103492323504,44.39109901395387,-110.098960149452,18.557338251434807,0.0
21,SP500,20001226,1305.969971,1315.939941,1301.640015,806500000,1315.189941,-9.341961682305737,46.24600235750278,-63.66904400197436,12.050384593110063,0.0
22,SP500,20001227,1315.189941,1332.030029,1310.959961,1092700000,1328.920044,-7.596435685850793,48.86778755704838,-26.628690479471903,2.3586382975019164,0.0
23,SP500,20001228,1328.920044,1335.930054,1325.780029,1015300000,1334.219971,-5.786708295411245,49.84462692536067,-3.6293388122712633,0.1149612936439427,0.0
24,SP500,20001229,1334.219971,1340.099976,1317.51001,1035500000,1320.280029,-5.280261504491591,47.3816891246049,-21.327970961390758,4.842983070890114,0.0
25,SP500,20010102,1320.280029,1320.280029,1276.050049,1129400000,1283.27002,-7.4228517510453,41.719829471311996,-114.07549159139924,24.097095334812614,0.0
26,SP500,20010103,1283.27002,1347.76001,1274.619995,1880700000,1347.560059,-4.448482531340687,52.02218985527551,-23.771301850937856,8.537016437698997,0.0
27,SP500,20010104,1347.560059,1350.23999,1329.140015,2131000000,1333.339966,-3.094231118635662,49.999794104340374,19.678051954302155,7.239831941573496,0.0
28,SP500,20010105,1333.339966,1334.77002,1294.949951,1430800000,1298.349976,-4.523924078809841,45.4975393798723,-66.57343112274211,21.131186842617858,0.0
29,SP500,20010108,1298.349976,1298.349976,1276.290039,1115500000,1295.859985,-5.768372993572484,45.197928490995814,-119.53038984486535,27.468204027624555,0.0
30,SP500,20010109,1295.859985,1311.719971,1295.140015,1191300000,1300.800049,-6.312188800633976,45.928721487861004,-76.38936061695688,20.078449690592393,0.0
