,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
0,TSLA,20100629,3.8,5.0,3.508,93831500,4.778,0.0,0.0,66.66666666666659,100.0,0.0
1,TSLA,20100630,5.158,6.084,4.66,85935500,4.766,-0.00026923076923068834,0.0,66.66666666666659,100.0,0.0
2,TSLA,20100701,5.0,5.184,4.054,41094000,4.392,-0.011940771059816946,0.0,-37.4269005847951,25.18816454940066,0.0
3,TSLA,20100702,4.6,4.62,3.742,25699000,3.84,-0.03688632816020032,0.0,-104.69508904479211,3.8159280748404014,0.0
4,TSLA,20100706,4.0,4.0,3.166,34334500,3.222,-0.07425646298504951,0.0,-127.58068922452499,22.346557304716377,0.0
5,TSLA,20100707,3.28,3.326,2.996,34608500,3.16,-0.09797636367018914,0.0,-113.3603760221493,28.065824809337514,0.0
6,TSLA,20100708,3.228,3.504,3.114,38557000,3.492,-0.09646039883391255,18.395999203834947,-73.44342340703005,18.312657343966553,0.0
7,TSLA,20100709,3.516,3.58,3.31,20253000,3.48,-0.09446366054459121,18.270327893636917,-56.1143017229304,14.338348340067641,0.0
8,TSLA,20100712,3.59,3.614,3.4,11012500,3.41,-0.09511660673226663,17.54696724847763,-49.62309405516539,12.53063234092345,0.0
9,TSLA,20100713,3.478,3.728,3.38,13400500,3.628,-0.0829669135737725,26.87435355786134,-35.80168363351597,6.495863268684452,0.0
10,TSLA,20100714,3.588,4.03,3.552,20976000,3.968,-0.05491011536729351,38.16092411854548,-2.594761672360455,7.544783233600075,0.0
11,TSLA,20100715,3.988,4.3,3.8,18699000,3.978,-0.033043925836968135,38.449968745210995,20.34591999370337,17.89066305409845,0.0
12,TSLA,20100716,4.14,4.26,4.01,13106500,4.128,-0.007915800719482391,42.61228752929801,33.84242886531206,17.89066305409845,0.0
13,TSLA,20100719,4.274,4.45,4.184,12432500,4.382,0.025716612871708566,48.690433440244426,59.6152500874433,24.66905464105966,0.0
14,TSLA,20100720,4.37,4.37,4.01,9126500,4.06,0.03164438607678255,42.75221414874195,30.453065653825213,15.347236090905863,0.0
15,TSLA,20100721,4.132,4.18,3.9,6262500,4.044,0.034774213567161816,42.4858691989936,14.200073679627518,9.79909043478889,0.0
16,TSLA,20100722,4.1,4.25,4.074,4789000,4.2,0.046383588203069426,45.88620434507331,34.6800417203508,12.656932042917003,0.0
17,TSLA,20100723,4.238,4.312,4.212,3268000,4.258,0.05836196938557814,47.08934649342463,47.38319230567082,15.200696351330222,0.0
18,TSLA,20100726,4.3,4.3,4.06,4611000,4.19,0.06249548084508527,45.85288724538075,33.5105172469846,7.031564689815372,0.0
19,TSLA,20100727,4.182,4.236,4.052,3098500,4.11,0.0597124762374186,44.4329580096878,24.261150165001307,6.606246907677001,0.0
20,TSLA,20100728,4.11,4.18,4.102,2336000,4.144,0.05909598703179597,45.179332046201125,25.63470099867649,6.606246907676998,0.0
21,TSLA,20100729,4.154,4.176,4.0,3080000,4.07,0.05295089930675534,43.85311160110101,14.17233837334098,0.7720721777425611,0.0
22,TSLA,20100730,4.04,4.088,3.91,2134500,3.988,0.04198643858478501,42.425505713917815,-2.9153544072475377,4.1742785665187245,0.0
23,TSLA,20100802,4.1,4.194,4.066,3590500,4.184,0.04644940255250418,46.71474650970058,28.137329957010767,1.8887627009920476,0.0
24,TSLA,20100803,4.2,4.39,4.164,6152500,4.39,0.06369195294120367,50.70744088362973,61.87936910371941,12.01091204731574,0.0
25,TSLA,20100804,4.39,4.436,4.17,4565000,4.252,0.06667810674572383,48.2043293596584,54.44758827731616,14.230898403511652,0.0
26,TSLA,20100805,4.308,4.31,4.01,3981000,4.09,0.05674269858925651,45.47805491072946,21.585976627712743,4.433986710243579,0.0
27,TSLA,20100806,4.02,4.032,3.904,3709500,3.918,0.036035599226487136,42.81825376323082,-19.896789664860325,1.5458484634181526,0.0
28,TSLA,20100809,3.98,3.996,3.89,4063500,3.92,0.01960434627239671,42.85845358081852,-23.219054855903927,2.3353818127624497,0.0
