,date,assets
0,0,318206.2784644214
1,20150205,1373971.208891863
2,20150206,1375252.8552954216
3,20150209,1362850.1444151364
4,20150210,1371109.7021155101
5,20150211,1378550.6523868323
6,20150212,1385494.9373874522
7,20150213,1401917.7452410646
8,20150217,1379912.7272891495
9,20150218,1372779.5782675776
10,20150219,1391676.7055404214
11,20150220,1407293.1528948063
12,20150223,1395482.590520648
13,20150224,1390399.318462866
14,20150225,1413108.1208289224
15,20150226,1411201.2330428392
16,20150227,1396185.748994978
17,20150302,1413582.6947039696
18,20150303,1410113.4221775709
19,20150304,1403919.727357911
20,20150305,1421129.9679968802
21,20150306,1395320.9454063189
22,20150309,1390245.6305667427
23,20150310,1361083.8143784609
24,20150311,1351227.142258821
25,20150312,1375913.2718271841
26,20150313,1364078.317799406
27,20150316,1373174.3349388463
28,20150317,1368567.4859881245
29,20150318,1379144.7212466388
30,20150319,1373006.8528522362
31,20150320,1389318.975754133
32,20150323,1379093.1820604156
33,20150324,1375942.7312792474
34,20150325,1366486.1666318565
35,20150326,1355812.6834315911
36,20150327,1364924.4052408112
37,20150330,1376709.7388821053
38,20150331,1369267.3112366477
39,20150401,1363928.1807129676
40,20150402,1369426.2816675263
41,20150406,1382821.010107338
42,20150407,1375475.1801365453
43,20150408,1394109.7084464473
44,20150409,1400610.8100723953
45,20150410,1398130.1630340125
46,20150413,1397321.3613297401
47,20150414,1405127.9880664449
48,20150415,1400431.2087045065
49,20150416,1407883.2834818785
50,20150417,1378180.194639693
51,20150420,1417738.6422333613
52,20150421,1422501.7600052396
53,20150422,1418626.6675027353
54,20150423,1419144.9958413558
55,20150424,1570448.3164726514
56,20150427,1551789.7313886276
57,20150428,1526343.660724614
58,20150429,1526486.1329559821
59,20150430,1504569.370727499
60,20150501,1507560.9200629913
61,20150504,1508008.8253001543
62,20150505,1502502.6036455985
