,date,assets
0,0,1048712.7852496393
1,20131104,1500850.8140601623
2,20131105,1494918.49997193
3,20131106,1496505.8150312996
4,20131107,1476628.5086826435
5,20131108,1487012.2196985984
6,20131111,1480148.6054820002
7,20131112,1481532.2962441698
8,20131113,1506427.787812752
9,20131114,1509753.1166261095
10,20131115,1507771.2014594146
11,20131118,1505296.060784445
12,20131119,1497619.3868084336
13,20131120,1494131.1629586734
14,20131121,1507679.0179956905
15,20131122,1505197.9267429945
16,20131125,1520679.5342118605
17,20131126,1534406.137489961
18,20131127,1539498.406052325
19,20131129,1535501.7999193976
20,20131202,1529450.7509205507
21,20131203,1527927.374677598
22,20131204,1533770.7937828242
23,20131205,1532742.9858211756
24,20131206,1548427.3023367464
25,20131209,1558557.0745886406
26,20131210,1566613.172463375
27,20131211,1557758.4176630052
28,20131212,1548823.3983607688
29,20131213,1537645.5127190077
30,20131216,1551901.5126967567
31,20131217,1548232.8372596093
32,20131218,1565763.315249776
33,20131219,1567498.2617635608
34,20131220,1584281.2687030826
35,20131223,1600877.512898823
36,20131224,1597243.1170993466
37,20131226,1603637.3824577923
38,20131227,1604613.6987349642
39,20131230,1595089.1338568034
40,20131231,1606797.3265549424
41,20140102,1598722.7591860462
42,20140103,1589805.8221765528
43,20140106,1603135.3382381257
44,20140107,1625459.135089026
45,20140108,1627923.465410304
46,20140109,1616701.3624101887
47,20140110,1616602.3763083466
48,20140113,1609295.896751906
49,20140114,1637190.694034209
50,20140115,1636320.7529504206
51,20140116,1644727.7697112907
52,20140117,1638137.5222378185
53,20140121,1653718.0413976936
54,20140122,1655201.8468538984
55,20140123,1649639.026776257
56,20140124,1609270.35169116
57,20140127,1584589.285081035
58,20140128,1607272.46830947
59,20140129,1589958.6884717492
60,20140130,1619060.8989000304
61,20140131,1667955.3292057116
62,20140203,1618334.6604758971
