,date,assets
0,0,1317732.3163131385
1,20101102,888730.1499319681
2,20101103,888270.1996838015
3,20101104,888403.0402846865
4,20101105,888054.8493684523
5,20101108,888007.6013903731
6,20101109,888154.7602214637
7,20101110,888143.3305946803
8,20101111,887867.7761232355
9,20101112,887399.9389679522
10,20101115,887312.7891504258
11,20101116,887011.1866014063
12,20101117,886677.4436218247
13,20101118,887066.595599691
14,20101119,886848.5824526153
15,20101122,886907.0280576089
16,20101123,886028.0886239137
17,20101124,886392.583487967
18,20101126,886205.7851377934
19,20101129,886299.5426579474
20,20101130,886222.5535966011
21,20101201,887337.1202907894
22,20101202,888552.2412038981
23,20101203,888733.1032468834
24,20101206,888493.6794020443
25,20101207,888532.793059588
26,20101208,889031.1157623648
27,20101209,888813.8926824129
28,20101210,889182.0967383703
29,20101213,889050.4765467077
30,20101214,889615.0966398269
31,20101215,889963.1722050646
32,20101216,890175.2031461118
33,20101217,890043.828686791
34,20101220,889905.2757012823
35,20101221,890284.1990897988
36,20101222,890454.5768632296
37,20101223,890606.3341238633
38,20101227,890283.0975510314
39,20101228,890197.8191108842
40,20101229,890141.6639061158
41,20101230,889981.1770810575
42,20101231,890060.7652043987
43,20110103,890145.8913028759
44,20110104,890285.6350344078
45,20110105,890175.4543301685
46,20110106,891091.6225519803
47,20110107,890851.0633351057
48,20110110,890465.086202699
49,20110111,890348.4798305894
50,20110112,890822.321937846
51,20110113,890439.839257937
52,20110114,890547.001066824
53,20110118,890930.5224910269
54,20110119,890712.2568411762
55,20110120,890577.2363234101
56,20110121,890215.0656877081
57,20110124,890635.8373502545
58,20110125,890710.275143988
59,20110126,891062.9842971425
60,20110127,891151.3145941359
61,20110128,889991.8919627701
62,20110131,889970.5982390916
