,date,rewards
0,20140205,-68541.02744480968
1,20140206,242927.74215944856
2,20140207,936984.9923244193
3,20140210,-46763.75060046464
4,20140211,19959.212761469185
5,20140212,163549.92278974503
6,20140213,93534.09973444045
7,20140214,78064.03273177147
8,20140218,784090.0165411681
9,20140219,269038.6896965802
10,20140220,38752.459122903645
11,20140221,-231404.3089618124
12,20140224,175323.59332604334
13,20140225,-258631.76311169192
14,20140226,174755.4749950394
15,20140227,-56459.476011347026
16,20140228,108676.20151633397
17,20140303,939792.6487577222
18,20140304,-587245.0478311181
19,20140305,-950906.1812758297
20,20140306,415781.3712686077
21,20140307,219058.86377809942
22,20140310,-592173.525963258
23,20140311,-569612.9924135953
24,20140312,-578571.7605658807
25,20140313,-7053.194342248142
26,20140314,259051.27368992567
27,20140317,-460225.25633054227
28,20140318,518617.14328087866
29,20140319,135070.58396156877
30,20140320,-164010.93843290955
31,20140321,324484.1059901789
32,20140324,-58269.18298893422
33,20140325,-44477.162523686886
34,20140326,395688.1653768718
35,20140327,485080.0415888354
36,20140328,102123.98908209056
37,20140331,-36639.924571052194
38,20140401,-894639.8667662367
39,20140402,-31553.7625131011
40,20140403,405962.94136737287
41,20140404,334397.2445828654
42,20140407,-202199.1383737363
43,20140408,751355.2523606122
44,20140409,339623.61788568646
45,20140410,-46320.12223971635
46,20140411,-38942.74804525077
47,20140414,341901.98305884004
48,20140415,-7243.624674208462
49,20140416,138669.57239741832
50,20140417,183445.943895936
51,20140421,5164.162914402783
52,20140422,-701597.1368606724
53,20140423,-88274.62872575596
54,20140424,206078.93858405203
55,20140425,-575061.4607694298
56,20140428,95047.0445474945
57,20140429,-107.32717864960432
58,20140430,-447924.8462988697
59,20140501,-215009.46713374183
60,20140502,121452.56478800252
61,20140505,-186836.33377539366
