,date,assets
0,0,32207526.506723426
1,20121102,747745.3741275568
2,20121105,747782.2266584234
3,20121106,748206.2070477713
4,20121107,747651.6032284867
5,20121108,748307.3186735407
6,20121109,747846.3335885237
7,20121112,747884.7857324223
8,20121113,747727.6960479356
9,20121114,746677.1415297297
10,20121115,746980.0342030305
11,20121116,747316.0648911229
12,20121119,747945.4996492036
13,20121120,747982.6182274851
14,20121121,748445.7850282671
15,20121123,748980.3906786939
16,20121126,749096.9568005565
17,20121127,748668.7543332487
18,20121128,749204.6255459083
19,20121129,749478.4687343063
20,20121130,749592.5418349863
21,20121203,749241.6525349596
22,20121204,750001.3735973388
23,20121205,750623.8972690217
24,20121206,750978.5881169668
25,20121207,750705.0401940473
26,20121210,750818.3652470497
27,20121211,751907.964563134
28,20121212,751526.914565796
29,20121213,751970.9043541502
30,20121214,752158.8370580911
31,20121217,752783.1961845411
32,20121218,753297.2481816616
33,20121219,753511.0025734674
34,20121220,753439.8743667932
35,20121221,753161.4039874917
36,20121224,753057.93594948
37,20121226,752655.7835119526
38,20121227,752489.2117516288
39,20121228,752159.6724863875
40,20121231,752429.5191715597
41,20130102,753219.4111968514
42,20130103,754100.959466824
43,20130104,754675.9355169218
44,20130107,754780.0578140155
45,20130108,755198.572017868
46,20130109,755095.6786407072
47,20130110,755326.181910347
48,20130111,755260.874742984
49,20130114,755166.2500191864
50,20130115,755358.0300565775
51,20130116,755981.022926846
52,20130117,756365.5914412943
53,20130118,755907.9268317699
54,20130122,756624.997339575
55,20130123,756243.9647231527
56,20130124,756536.2846977325
57,20130125,756503.5921665053
58,20130128,756471.5916167866
59,20130129,756143.354911285
60,20130130,755852.8260405522
61,20130131,755755.7323257484
62,20130201,755817.7396816866
