,date,assets
0,0,3545286.6852915604
1,20101102,26286955.974413693
2,20101103,26845250.002494078
3,20101104,27729483.73160389
4,20101105,27909517.27162753
5,20101108,27783947.256410763
6,20101109,27268345.569638357
7,20101110,28469529.567847356
8,20101111,28101392.186712172
9,20101112,26567017.340458237
10,20101115,26585415.383107558
11,20101116,25405249.946039826
12,20101117,24601636.350954473
13,20101118,25366774.69912165
14,20101119,25050262.375245627
15,20101122,24901771.54282381
16,20101123,24810746.237487677
17,20101124,25888111.9104586
18,20101126,25771998.75986024
19,20101129,26626239.343610913
20,20101130,25812293.88930636
21,20101201,26976040.06382358
22,20101202,27613626.91284466
23,20101203,28285722.83972982
24,20101206,28203608.98791996
25,20101207,27645353.778578658
26,20101208,27831585.14372216
27,20101209,27765519.262894247
28,20101210,27469510.849763516
29,20101213,27799607.053135075
30,20101214,27846917.943616726
31,20101215,28036114.50554333
32,20101216,27783423.122290533
33,20101217,27829839.40566647
34,20101220,28205903.34159495
35,20101221,28513247.382665973
36,20101222,29023823.189273182
37,20101223,29468300.644383952
38,20101227,29136974.973288245
39,20101228,29420712.085655995
40,20101229,29302488.2888361
41,20101230,28333053.154912956
42,20101231,29518919.480808377
43,20110103,29706844.220759273
44,20110104,28337230.48111528
45,20110105,28978799.4136253
46,20110106,27923241.733725123
47,20110107,27852242.971852057
48,20110110,28529157.79058271
49,20110111,29435280.536805622
50,20110112,29598853.821800463
51,20110113,29217897.67385312
52,20110114,29556358.356700767
53,20110118,29271680.04716565
54,20110119,29077258.329507764
55,20110120,27816163.451192494
56,20110121,27734988.84304962
57,20110124,26967647.48904917
58,20110125,26075211.762382004
59,20110126,26776445.336882416
60,20110127,25647391.59800226
61,20110128,27787357.547092263
62,20110131,29272769.358295493
