,date,assets
0,0,25790463.56598636
1,20130806,3640185.8604545277
2,20130807,3640680.523642722
3,20130808,3647912.1797466394
4,20130809,3647906.124473496
5,20130812,3654253.9000297426
6,20130813,3650479.6598449857
7,20130814,3653751.084649055
8,20130815,3660689.260269474
9,20130816,3662993.2007808713
10,20130819,3661476.870850829
11,20130820,3662584.342742538
12,20130821,3661641.2727512866
13,20130822,3663383.8782905666
14,20130823,3668182.559431182
15,20130826,3669487.3810522445
16,20130827,3672525.210393416
17,20130828,3672429.935155592
18,20130829,3670383.893221783
19,20130830,3667215.4000360263
20,20130903,3671744.4608414066
21,20130904,3667125.4735838897
22,20130905,3660627.5327345957
23,20130906,3665890.45450754
24,20130909,3665250.8395963036
25,20130910,3659587.7819557297
26,20130911,3659474.2187522296
27,20130912,3649394.8944191663
28,20130913,3649770.3259484526
29,20130916,3646449.621775878
30,20130917,3646562.7111420124
31,20130918,3659958.0702492646
32,20130919,3659295.409276587
33,20130920,3650149.246754487
34,20130923,3649188.8722161953
35,20130924,3649441.4219189472
36,20130925,3652136.449540354
37,20130926,3649786.611915733
38,20130927,3652422.057292862
39,20130930,3650608.6266710516
40,20131001,3642428.8800733015
41,20131002,3647993.4518403253
42,20131003,3648255.3741064696
43,20131004,3646735.0555578815
44,20131007,3649407.9164570877
45,20131008,3648790.5083614723
46,20131009,3645641.83575819
47,20131010,3641158.246827373
48,20131011,3637059.6948906514
49,20131014,3637613.2266306537
50,20131015,3639691.4139715806
51,20131016,3639229.6723823417
52,20131017,3648471.206152036
53,20131018,3647105.2518852022
54,20131021,3647404.7287926776
55,20131022,3652697.5954364557
56,20131023,3651158.3927935725
57,20131024,3654014.1115016625
58,20131025,3655287.454258651
59,20131028,3655514.3457113453
60,20131029,3653699.7355299154
61,20131030,3653281.388758918
62,20131031,3648954.4311620374
