,date,assets
0,0,10041264.711871859
1,20111101,39750130.05514944
2,20111102,40460436.15641119
3,20111103,41543596.368242435
4,20111104,41815855.11046127
5,20111107,42899663.49803213
6,20111108,43461654.40266036
7,20111109,42783640.92775297
8,20111110,43942388.72154792
9,20111111,44849009.731989786
10,20111114,44258158.79098191
11,20111115,45154029.60537061
12,20111116,46641806.54975474
13,20111117,44834908.62871565
14,20111118,44180443.87611461
15,20111121,43908919.401566125
16,20111122,44157689.1197041
17,20111123,43189447.125649326
18,20111125,43327171.890890434
19,20111128,44234053.44123082
20,20111129,45302429.21219544
21,20111130,45664855.160649225
22,20111201,45468227.44791288
23,20111202,46088112.25568809
24,20111205,46087320.10791523
25,20111206,46043405.8868347
26,20111207,45788875.564264745
27,20111208,44170181.11176224
28,20111209,45305989.54003799
29,20111212,44351971.40194118
30,20111213,45428487.51568062
31,20111214,42281252.724093795
32,20111215,41498594.61298825
33,20111216,41651938.571328014
34,20111219,41531429.25474879
35,20111220,43600324.06527713
36,20111221,44435543.45327151
37,20111222,44740027.72085987
38,20111223,45020091.77390979
39,20111227,45912099.36251429
40,20111228,44815905.035315484
41,20111229,44929722.2969618
42,20111230,44448953.17192481
43,20120103,47053732.19810204
44,20120104,47190411.063530624
45,20120105,46197264.744403526
46,20120106,46324544.91232255
47,20120109,46042780.39355561
48,20120110,46493359.48285964
49,20120111,45879433.1145307
50,20120112,44686515.1172636
51,20120113,44835807.85013107
52,20120117,45663745.852925405
53,20120118,45717953.98042376
54,20120119,45515487.02181697
55,20120120,44374160.93985696
56,20120123,45083342.27857672
57,20120124,44754529.969220534
58,20120125,45081760.11399067
59,20120126,45093143.42863217
60,20120127,44992246.64217305
61,20120130,44628864.01230909
62,20120131,44363975.654953346
