,date,assets
0,0,999168.9406043149
1,20160706,1000963.6065090569
2,20160707,1000343.3948856932
3,20160708,1001371.0008020954
4,20160711,1001843.7337141894
5,20160712,1001888.1765563998
6,20160713,1000992.7593225713
7,20160714,1001394.0681903914
8,20160715,1001047.7375748025
9,20160718,1003090.4393127349
10,20160719,1004114.1302953007
11,20160720,1005211.852781685
12,20160721,1004094.960293706
13,20160722,1004430.3483122545
14,20160725,1004980.8183635805
15,20160726,1004615.0411060026
16,20160727,1006523.3055905493
17,20160728,1008037.6659536886
18,20160729,1007055.0645318013
19,20160801,1007400.5444431312
20,20160802,1006239.7351140658
21,20160803,1005679.9298590226
22,20160804,1007482.0155564816
23,20160805,1008260.4212889445
24,20160808,1008368.833504075
25,20160809,1008164.8905102658
26,20160810,1007978.9696677378
27,20160811,1007998.1660141204
28,20160812,1007975.6384671441
29,20160815,1006933.9769719149
30,20160816,1006288.2284872371
31,20160817,1007448.7764175427
32,20160818,1006941.9802782546
33,20160819,1006551.6838094137
34,20160822,1007212.7856903903
35,20160823,1007461.0501293772
36,20160824,1006437.9856677258
37,20160825,1006912.1107791195
38,20160826,1008165.1350411167
39,20160829,1010035.6226827028
40,20160830,1009196.0313059001
41,20160831,1009533.1524501534
42,20160901,1009592.6826014154
43,20160902,1010010.7639106514
44,20160906,1014023.1370328472
45,20160907,1015683.3100308741
46,20160908,1014690.1093490492
47,20160909,1010619.4529348443
48,20160912,1012678.459579828
49,20160913,1010740.5765471936
50,20160914,1011478.5681346983
51,20160915,1012250.1420956351
52,20160916,1013217.2084319877
53,20160919,1012645.3653575166
54,20160920,1012630.0832656778
55,20160921,1014425.6057449379
56,20160922,1014619.2645327023
57,20160923,1011634.6338995527
58,20160926,1010710.4212710416
59,20160927,1012684.7117562523
60,20160928,1013462.9431180557
61,20160929,1011800.9654051741
62,20160930,1012063.7837042062
