,0
0,1000000.0
1,999962.7331550785
2,999961.018607791
3,999961.018607791
4,999961.018607791
5,999961.018607791
6,999961.018607791
7,999961.3766940502
8,999916.3385477647
9,999913.2190951814
10,999913.2190951814
11,999913.2190951814
12,999913.2190951814
13,999913.2190951814
14,999913.2190951814
15,999913.2190951814
16,999913.2190951814
17,999808.3811954814
18,999853.554710832
19,999851.3283614591
20,999851.3283614591
21,999851.3283614591
22,999867.6598856545
23,999977.4420496399
24,999924.9695274311
25,999916.6003859396
26,999916.6003859396
27,999916.6003859396
28,999916.6003859396
29,999901.717375892
30,1000242.9816271849
31,1000404.1745673547
32,1000281.3223781899
33,1000513.86590148
34,1000500.1396018758
35,1000093.3689234598
36,1000028.3646596809
37,1000010.1341602436
38,999993.3412082939
39,999837.7725997843
40,999776.9791591857
41,999771.0272853002
42,999771.0272853002
43,999773.2584101098
44,999772.2685176082
45,999624.4089674138
46,999626.6924230864
47,999626.123115319
48,999626.123115319
49,999605.693245029
50,999520.6212601683
51,999894.8956571058
52,999994.4517636058
53,999897.02115252
54,999852.7774978721
55,999850.6502184878
56,999850.6502184878
57,999850.6502184878
58,999850.6502184878
59,999850.6502184878
60,999850.6502184878
61,999850.6502184878
62,999850.6502184878
63,999844.2709687572
64,999843.84075976
65,999843.84075976
66,999835.3645749736
67,999831.9774173604
68,999980.3463175604
69,999971.5583178604
70,999971.5583178604
71,999793.8081178603
72,999767.4961622881
73,999764.4991947688
74,999764.4991947688
75,999764.4991947688
76,999807.807979212
77,999920.2059268054
78,999842.976883327
79,999827.2092221421
80,999826.7310090112
81,999814.3721074329
82,999813.432868185
83,999840.670115605
84,999839.1640449476
85,999959.3391449476
86,999935.1007420763
87,999996.5968078871
88,999953.4533891275
89,999987.4787411122
90,1000018.9295364122
91,1000009.2220190658
92,1000033.7579299499
93,999926.415188194
94,999934.3558798698
95,999932.2630831955
96,999932.2630831955
97,999932.2630831955
98,999895.7218108206
99,999888.6452647981
100,999950.391073949
101,1000125.2975470966
102,1000086.0961915276
103,1000089.6233312185
104,1000088.1139965887
105,1000260.6728961887
106,1000186.6742240507
107,1000177.7722013941
108,1000193.7768267253
109,1000189.9998146851
110,1000188.174207518
111,1000188.174207518
112,1000188.174207518
113,1000188.174207518
114,1000188.174207518
115,1000177.0322275044
116,1000175.8059158789
117,1000175.8059158789
118,1000175.8059158789
119,1000175.8059158789
120,1000186.8187518232
121,1000177.9870223773
122,1000169.6424292764
123,1000169.6424292764
124,1000169.6424292764
125,1000169.6424292764
126,1000169.6424292764
127,1000169.6424292764
128,1000169.6424292764
129,1000173.4921203147
130,1000171.2060829267
131,1000196.9039088055
132,1000192.4504155187
133,1000192.4504155187
134,1000192.4504155187
135,1000191.0405518783
136,1000220.9680387592
137,1000218.8167373798
138,1000234.2141726142
139,1000227.5802297476
140,1000227.5802297476
141,1000227.5802297476
142,1000227.5802297476
143,1000227.5802297476
144,1000227.5802297476
145,1000227.5802297476
146,1000227.5802297476
147,1000235.0481553759
148,1000236.3780004892
149,1000222.2419598793
150,1000065.1751450101
151,999877.1441055051
152,999842.8634142758
153,999865.1926060675
154,999915.1145162174
155,999907.9252288386
156,999860.4530699544
157,999857.5205497553
158,999857.5205497553
159,999857.5205497553
160,999964.5386753692
161,999793.9994908242
162,999796.1229248943
163,999793.6145903231
164,999793.6145903231
165,999793.6145903231
166,999793.6145903231
167,999823.639285207
168,1000021.4259279581
169,1000249.1761127545
170,1000262.0373758556
171,1000234.5511150532
172,1000177.4083297392
173,1000219.4573327355
174,1000211.9369331971
175,1000211.9369331971
176,1000222.4167627728
177,1000221.1858812564
178,1000221.1858812564
179,1000144.2520816564
180,1000103.7577496617
181,1000284.2270456132
182,1000213.339512628
183,1000205.7250616188
184,1000205.7250616188
185,1000203.1806447847
186,1000197.9263591623
187,1000197.9263591623
188,1000092.0414593624
189,1000163.4407416353
190,1000336.1746818034
191,1000379.8263167699
192,1000379.3427444345
193,1000544.8624561314
194,1000448.8746134952
195,1000459.0733525737
196,1000456.2560345387
197,1000442.4300737189
198,1000200.9670409284
199,1000256.4203149934
200,1000346.6737422433
201,1000179.567932463
202,1000266.073907665
203,1000288.5895994026
204,1000207.8571813271
205,999731.4519333257
206,999721.1758701053
207,999593.1776295513
208,999955.11543962
209,999915.8450828466
210,1000118.4984643846
211,1000293.1402998775
212,1000285.4003656202
213,1000285.4003656202
214,1000285.4003656202
215,1000350.6575656201
216,1000364.8858560843
217,1000573.3870380895
218,1000300.2779683901
219,1000435.3729087439
220,1000686.9168486608
221,1000713.1274020589
222,1000748.3487433974
223,1000739.555767257
224,1000765.0290467186
225,1000908.1952427918
226,1000912.2136003568
227,1000908.7329043135
228,1000908.7329043135
229,1000908.7329043135
230,1000908.7329043135
231,1001024.8766657198
232,1001006.8527836474
233,1001003.6297208321
234,1001003.6297208321
235,1001003.6297208321
236,1001003.6297208321
237,1000990.5461212321
238,1000979.464121232
239,1001060.531921232
240,1001054.9610876449
241,1001047.47123261
