,date,assets
0,0,1094191.6470938383
1,20170104,1104852.4679060413
2,20170105,1138789.2080878525
3,20170106,1161452.5413587475
4,20170109,1162808.8329377058
5,20170110,1161321.335932263
6,20170111,1165871.5038380257
7,20170112,1187193.144004043
8,20170113,1192297.5055705865
9,20170117,1181476.194880397
10,20170118,1178209.4166033103
11,20170119,1180484.5005561917
12,20170120,1179449.1012298646
13,20170123,1193376.6988607652
14,20170124,1200026.9484122947
15,20170125,1220561.0920509927
16,20170126,1224396.6610045515
17,20170127,1219467.3002867333
18,20170130,1211606.5615984208
19,20170131,1201543.6409075095
20,20170201,1214479.5456725939
21,20170202,1225563.354719093
22,20170203,1182176.2814034729
23,20170206,1178442.8098899683
24,20170207,1185530.5586465332
25,20170208,1196045.5755581714
26,20170209,1198451.863479148
27,20170210,1207348.0904555179
28,20170213,1220575.6890666839
29,20170214,1220371.4941865762
30,20170215,1229573.9245213773
31,20170216,1231674.0090839227
32,20170217,1233030.2992044918
33,20170221,1249612.175058718
34,20170222,1248401.6873803244
35,20170223,1243414.0217279152
36,20170224,1233278.2005451107
37,20170227,1238236.7596694787
38,20170228,1232986.5052406397
39,20170301,1244712.0098306718
40,20170302,1238630.463452273
41,20170303,1240045.1474691639
42,20170306,1235276.1862092123
43,20170307,1234415.7877316107
44,20170308,1240949.3413690063
45,20170309,1244595.3139165374
46,20170310,1243807.8159308294
47,20170313,1246914.1918332707
48,20170314,1243909.913370883
49,20170315,1244551.5199526856
50,20170316,1245207.8125119093
51,20170317,1243589.022576641
52,20170320,1250385.0760287354
53,20170321,1230303.1190308835
54,20170322,1237390.8692458381
55,20170323,1236399.1749216327
56,20170324,1233817.7971901998
57,20170327,1235582.4799877636
58,20170328,1248970.4809735748
59,20170329,1275688.178010606
60,20170330,1278634.1529967915
61,20170331,1293509.6495296564
62,20170403,1300757.889622597
