,date,assets
0,0,1083873.5020022134
1,20161004,1082674.5648358504
2,20161005,1082730.2996568494
3,20161006,1083274.032721963
4,20161007,1080792.5129394822
5,20161010,1095932.8231107586
6,20161011,1091931.656029035
7,20161012,1096211.6686946421
8,20161013,1085128.2590319507
9,20161014,1085602.3033558251
10,20161017,1087595.9099365666
11,20161018,1108926.1939044362
12,20161019,1117625.5967181292
13,20161020,1111310.1143169217
14,20161021,1114656.0772973963
15,20161024,1133811.5098647738
16,20161025,1126227.4001618268
17,20161026,1114237.8528368964
18,20161027,1109051.6188608124
19,20161028,1109079.528095431
20,20161031,1093980.9974307755
21,20161101,1092684.4595002795
22,20161102,1071897.909991661
23,20161103,1062738.418168472
24,20161104,1062585.0839774774
25,20161107,1091164.8986375497
26,20161108,1102304.0417271024
27,20161109,1095054.5110349
28,20161110,1063337.8874487223
29,20161111,1051431.9855735467
30,20161114,1026421.1582203202
31,20161115,1057663.7374826241
32,20161116,1066014.605971194
33,20161117,1075425.0327495106
34,20161118,1060521.7022189836
35,20161121,1072594.9786419068
36,20161122,1071298.4421055482
37,20161123,1061149.0807338525
38,20161125,1062111.0396536032
39,20161128,1071256.5761624146
40,20161129,1074881.384726772
41,20161130,1057036.3589677552
42,20161201,1042927.6964574694
43,20161202,1046524.5943930711
44,20161205,1063282.152627723
45,20161206,1058528.0956382419
46,20161207,1075369.2979285114
47,20161208,1082660.6095214726
48,20161209,1100603.1496081094
49,20161212,1100575.3254158662
50,20161213,1110097.221836181
51,20161214,1111449.5782359138
52,20161215,1112536.9621120407
53,20161216,1102708.3108732244
54,20161219,1107448.41115419
55,20161220,1110543.3555312993
56,20161221,1107950.281064445
57,20161222,1103349.6447024709
58,20161223,1101467.5077637276
59,20161227,1103753.913848593
60,20161228,1094692.0213953992
61,20161229,1091541.2571549157
62,20161230,1076247.6113985076
