,0
0,1000000.0
1,1000000.0
2,1000000.0
3,999931.2262004302
4,999930.1703157905
5,999914.673358438
6,999913.1731026528
7,999935.5593232631
8,999836.4117550586
9,999863.7726865847
10,999915.4997176954
11,999680.9364875496
12,999831.4675596206
13,999539.694883647
14,999554.6409822846
15,999649.1629694517
16,999654.0076759014
17,999702.6684466779
18,999608.2193177349
19,999509.4807261317
20,999632.7959679308
21,999796.2317104983
22,999824.1871383114
23,999943.7989664688
24,1000172.6770978686
25,1000080.8478781389
26,999774.388379735
27,999963.471355076
28,999988.5683231542
29,999884.554386737
30,999314.1978632043
31,999332.8233156367
32,999205.7222165358
33,999254.9135457397
34,998875.0856456881
35,998851.5297109183
36,998717.3459760648
37,998399.7585224326
38,998244.4387646571
39,998008.7177639558
40,998073.0347118211
41,998264.5962124367
42,997629.2206514747
43,997635.2462248673
44,997541.4839151334
45,998514.5536089967
46,998986.2058429057
47,998902.2999142082
48,998575.9983488623
49,998182.8888220761
50,998803.9110028455
51,998856.6050797118
52,999023.1890316331
53,998943.4364078094
54,1000196.7072181031
55,999827.1508709816
56,999776.1698609246
57,1000791.6206995498
58,1000028.7973254907
59,999269.4599090228
60,1000374.2946850139
61,1001560.1347777853
62,1001532.3265739866
63,1000781.7562811977
64,1000793.433441013
65,1000793.3315851745
66,1001332.7623173128
67,1001971.3451196821
68,1001864.2028859243
69,1001545.3286044422
70,1000877.338353561
71,1002073.8181763123
72,1001333.4709823891
73,1000559.6497340517
74,1001002.6148968292
75,1000752.0216998647
76,1000923.3900787809
77,1003531.3047242372
78,1002845.4096837247
79,1002176.9014313301
80,1002615.9108715049
81,1002629.4042487479
82,1002600.3135316345
83,1002528.4761377553
84,1001966.9176493677
85,1001965.7390023626
86,1001283.1171082703
87,1001424.3481092199
88,1001275.2187714868
89,1002155.2949425713
90,1001941.1200205303
91,1002432.6390160852
92,1002680.9533106048
93,1003299.9198478152
94,1003047.763890516
95,1003160.9130350694
96,1002224.2322242508
97,1002106.408310625
98,1003142.0383790963
99,1002755.0669692527
100,1003365.5174021978
101,1004201.6842705152
102,1005181.8098522017
103,1005181.5426146017
104,1005843.9874284691
105,1006051.294640272
106,1006693.5406239291
107,1006512.2306426688
108,1006572.6570331851
109,1007505.0072067534
110,1008055.3148454751
111,1009071.7233375038
112,1009260.1039193032
113,1009324.0072540361
114,1009834.6704665881
115,1009433.3453718589
116,1010698.8372509356
117,1008947.2376272803
118,1009082.0646116106
119,1009384.9706778779
120,1010115.7989447912
121,1009084.6293160924
122,1010306.2013795112
123,1010082.2114654499
124,1010745.9079530522
125,1009123.2017607627
126,1008718.2024388158
127,1007143.3757242978
128,1007214.4451052235
129,1006925.8077927917
130,1006807.9158250846
131,1008812.2289614489
132,1008522.3283691612
133,1010971.6448901262
134,1011759.5681709402
135,1011399.5021902171
136,1011969.8702595313
137,1012700.920010683
138,1012627.6844490255
139,1014495.6241339539
140,1009354.9332292367
141,1008503.1130326395
142,1009410.2994187041
143,1010236.5803443585
144,1010259.0165950464
145,1009575.5878491099
146,1010326.3140694412
147,1010176.5258161573
148,1010272.3025810167
149,1009411.6515925981
150,1009663.2432403578
151,1009295.843217963
152,1008545.9511416615
153,1009581.9340512668
154,1009816.1188603238
155,1009992.6991734302
156,1008837.6131100686
157,1010012.4981723906
158,1010193.7702139074
159,1010245.6029801673
160,1012233.0377204287
161,1012866.7654198129
162,1012865.906777401
163,1012623.79816226
164,1013005.6286676023
165,1012976.2410734073
166,1012892.2178106771
167,1011071.2403231447
168,1010684.654758847
169,1011388.2968336769
170,1012797.2914195164
171,1013333.621711589
172,1013220.9636501009
173,1013832.0948731609
174,1013448.6566484437
175,1013836.0942143549
176,1014404.8412178659
177,1014402.882040866
178,1014691.7845627341
179,1014574.6439563673
180,1014691.9730801586
181,1016072.4600853673
182,1015898.1088046988
183,1016561.2817776927
184,1015448.815739823
185,1016237.376151853
186,1016008.0237622546
187,1015918.5106452159
188,1013401.4304010362
189,1013637.9262510629
190,1012665.240678906
191,1014126.0153496723
192,1014092.1633937007
193,1015952.2762136164
194,1015563.6618027982
195,1016104.0654182093
196,1016395.7570873002
197,1016871.5925314818
198,1019317.1470635795
199,1018619.3875319242
200,1018154.1975238657
201,1018184.5954032963
202,1018880.1131030314
203,1018912.0753153133
204,1023882.60121687
205,1026143.8736439154
206,1025833.0810380694
207,1023821.6612515692
208,1024539.9740742991
209,1022761.3820846642
210,1023311.1913129928
211,1021995.9638681175
212,1024012.3111346791
213,1025566.3013342888
214,1025751.4407248285
215,1027530.8905302868
216,1027606.4867108112
217,1028030.9482182001
218,1028975.1539464109
219,1030038.4129861442
220,1029677.0061395862
221,1032089.3149860787
222,1032541.3552157945
223,1031206.794109302
224,1030562.0645207404
225,1031823.7090370208
226,1031700.9098308459
227,1031206.594905126
228,1028822.9092120684
229,1029629.2361671713
230,1032133.6418779898
231,1031154.4268673063
232,1031368.4373709989
233,1032007.6649980461
234,1031178.7597752991
235,1030236.5445361724
236,1030838.5616271291
237,1031527.17529572
238,1031438.5203792084
239,1032551.8353640353
240,1032156.3842275499
241,1032497.3419744668
242,1030388.5897948544
243,1033647.3406257995
244,1034334.0658237291
245,1035642.8034275348
246,1036085.2630129206
247,1036444.9564314191
248,1037198.7775953439
249,1038168.0228790228
250,1036235.2643799855
251,1034100.3944490601
252,1036180.742765697
253,1036223.1787069207
254,1035382.4285190746
255,1033940.9830537923
256,1034899.41993829
257,1033143.1778995751
258,1032254.9958956771
259,1033471.9657502762
260,1036165.5305868688
261,1035713.388963467
262,1036805.2472901017
263,1034438.8929545912
264,1031762.7621953902
265,1026834.9147048634
266,1028514.6020306018
267,1029358.203242504
268,1030163.907883617
269,1027730.7127457035
270,1023065.0960936209
271,1024139.8299808366
272,1024375.6560844246
273,1025184.0552821995
274,1021387.1519213942
275,1022235.7257204788
276,1020792.132727049
277,1022205.942278668
278,1022108.3042038755
279,1022747.8536621953
280,1021823.6914120975
281,1024459.6566330697
282,1025627.4745504485
283,1027507.5956716916
284,1026515.2613975729
285,1026317.6766395634
286,1024331.1755911091
287,1025808.0093989254
288,1025656.8809720906
289,1026006.5146355601
290,1027782.6663973746
291,1024959.248247627
292,1024957.0154486271
293,1025811.4970091598
294,1025604.5360470924
295,1025808.213774747
296,1026686.7915736956
297,1027578.5888628816
298,1028692.2330902833
299,1029172.3744951275
300,1029279.276839253
301,1029711.2629412313
302,1031140.4893557127
303,1031029.6681369568
304,1030920.3212267645
305,1030973.8101832811
306,1032490.2189173254
307,1031258.5452482395
308,1033201.0619467024
309,1031319.2785915517
310,1030937.6374503715
311,1031924.1702963385
312,1029296.4481148671
313,1028584.9901897758
314,1029191.623440301
315,1029469.7641839313
316,1029637.0831080823
317,1032854.0972202305
318,1035256.2280356872
319,1035139.0804572672
320,1035897.642426085
321,1038079.3509029124
322,1038374.8231950862
323,1037184.5151653311
324,1039411.9860267458
325,1041355.5726439579
326,1041168.3726561686
327,1041537.632631073
328,1038854.7776791955
329,1039798.6730109653
330,1038149.6664136337
331,1038532.1934072372
332,1039111.9125732088
333,1036104.8501914935
334,1038206.976800321
335,1033348.8792761116
336,1031462.0916649384
337,1025667.873794318
338,1020478.6772590613
339,1025384.2558401453
