,date,assets
0,0,1055051.7591090463
1,20190709,1054033.7750089944
2,20190710,1054942.894750595
3,20190711,1054834.6997626969
4,20190712,1058441.5328279356
5,20190715,1057090.5836932538
6,20190716,1062614.6043177932
7,20190717,1057289.9167887801
8,20190718,1058051.8652298576
9,20190719,1055755.9544642568
10,20190722,1059372.2023506598
11,20190723,1067286.1356342556
12,20190724,1070592.6819999255
13,20190725,1071642.1945990843
14,20190726,1062437.816584676
15,20190729,1060379.6887280731
16,20190730,1058538.6671317085
17,20190731,1052833.8140530917
18,20190801,1049636.3419754934
19,20190802,1047723.2964955787
20,20190805,1038359.9749128898
21,20190806,1042601.2146696721
22,20190807,1043848.2772481162
23,20190808,1047032.7681835057
24,20190809,1046803.7990027245
25,20190812,1044515.0342953585
26,20190813,1043768.5378710609
27,20190814,1037095.6092891598
28,20190815,1033922.5175236902
29,20190816,1043060.1406387666
30,20190819,1047989.131566237
31,20190820,1045420.2798173793
32,20190821,1048755.400406315
33,20190822,1052275.7013023114
34,20190823,1048567.6541091083
35,20190826,1049333.8979400608
36,20190827,1048149.7771505375
37,20190828,1052123.8132104005
38,20190829,1058904.438017341
39,20190830,1059022.8952515782
40,20190903,1053400.2107179717
41,20190904,1057717.0213532133
42,20190905,1060241.5486244662
43,20190906,1057949.7752602852
44,20190909,1063631.0373159891
45,20190910,1065448.417873471
46,20190911,1073529.7638331053
47,20190912,1075173.940869512
48,20190913,1080121.2744163098
49,20190916,1080242.8868120054
50,20190917,1079750.7219996853
51,20190918,1082828.290950557
52,20190919,1075728.4696233352
53,20190920,1072076.07157205
54,20190923,1072013.1439404546
55,20190924,1073567.538693461
56,20190925,1074127.992478831
57,20190926,1072626.3693135993
58,20190927,1071120.929412299
59,20190930,1069045.9143111424
60,20191001,1065012.3110516383
61,20191002,1056609.5943497068
62,20191003,1058002.042209437
