,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1029638.6821551514
13,1029411.8144848633
14,1029411.8144848633
15,1017993.4144848634
16,857993.4144848634
17,857145.4144848634
18,857145.4144848634
19,857145.4144848634
20,857145.4144848634
21,857145.4144848634
22,857145.4144848634
23,857145.4144848634
24,857145.4144848634
25,857145.4144848634
26,850783.2051171113
27,850718.736268406
28,850718.736268406
29,850718.736268406
30,850718.736268406
31,850718.736268406
32,850718.736268406
33,850718.736268406
34,850718.736268406
35,850718.736268406
36,850718.736268406
37,850718.736268406
38,850718.736268406
39,850718.736268406
40,850718.736268406
41,850718.736268406
42,850718.736268406
43,850718.736268406
44,850718.736268406
45,850718.736268406
46,850718.736268406
47,889874.5651911355
48,854291.4101130106
49,856725.0498835184
50,919108.1772059061
51,918511.4724176981
52,936393.1722200969
53,960959.6057375531
54,1023268.2008608441
55,1013834.8115801434
56,994204.7404052167
57,1038282.3099682049
58,1004324.5401324658
59,920342.9568870548
60,933719.1061951999
61,933182.7156907014
62,933182.7156907014
63,933182.7156907014
64,888155.6356907015
65,823475.6356907015
66,839481.4157858973
67,883852.4438408976
68,883213.9201034671
69,878610.4623832827
70,878460.9590202456
71,878460.9590202456
72,878460.9590202456
73,878460.9590202456
74,878460.9590202456
75,873279.4703877383
76,878767.6839581423
77,878461.9609613924
78,878461.9609613924
79,873910.7037235002
80,873766.613264821
81,873766.613264821
82,873766.613264821
83,873766.613264821
84,873766.613264821
85,873766.613264821
86,873766.613264821
87,873766.613264821
88,873766.613264821
89,873766.613264821
90,873766.613264821
91,883942.0251549273
92,883181.1518829851
93,883181.1518829851
94,883181.1518829851
95,883181.1518829851
96,872340.3172546511
97,871927.2300497943
98,883209.0723173649
99,908250.2104731876
100,950649.9338313419
101,952436.5153698856
102,985306.5115521366
103,984690.9492730076
104,984690.9492730076
105,1060661.6592730077
106,1057745.7954558688
107,1057618.0805980808
108,1057618.0805980808
109,1057618.0805980808
110,1057618.0805980808
111,1057618.0805980808
112,1039500.9798141224
113,1037611.6007720693
114,1036896.6281358465
115,1036896.6281358465
116,1036896.6281358465
117,1036896.6281358465
118,1036896.6281358465
119,1036896.6281358465
120,1036896.6281358465
121,1036896.6281358465
122,1036896.6281358465
123,1011064.9213491187
124,1010347.1618345007
125,1010347.1618345007
126,1010347.1618345007
127,1010347.1618345007
128,1010347.1618345007
129,1010347.1618345007
130,1010347.1618345007
131,1010347.1618345007
132,1010347.1618345007
133,1010347.1618345007
134,1010347.1618345007
135,1010347.1618345007
136,1024151.8901609168
137,1027841.1855684028
138,1026660.4617619833
139,1026590.0561002478
140,1026590.0561002478
141,1031317.9411681495
142,1030483.7719355139
143,1030483.7719355139
144,1030483.7719355139
145,1030483.7719355139
146,1033707.2127813468
147,1033650.6788165793
148,1033650.6788165793
149,1033650.6788165793
150,1033650.6788165793
151,1033650.6788165793
152,1033650.6788165793
153,1049758.7025432335
154,1048944.6537135825
155,1048944.6537135825
156,1048944.6537135825
157,1048944.6537135825
158,1048944.6537135825
159,1048944.6537135825
160,1063990.2924220785
161,1062697.4679489648
162,1062442.4967047821
163,1062442.4967047821
164,1062442.4967047821
165,1062442.4967047821
166,1062442.4967047821
167,1062442.4967047821
168,1062442.4967047821
169,1063836.2968540704
170,1063526.2167475831
171,1063526.2167475831
172,1063526.2167475831
173,1063526.2167475831
174,1063526.2167475831
175,1063526.2167475831
176,1063526.2167475831
177,1063526.2167475831
178,1063526.2167475831
179,1063526.2167475831
180,1063526.2167475831
181,1088349.7336824357
182,1087897.130989374
183,1087897.130989374
184,1087897.130989374
185,1087897.130989374
186,1087897.130989374
187,1087897.130989374
188,1087953.9527320277
189,1082124.8348115718
190,1081818.4121929347
191,1081818.4121929347
192,1081818.4121929347
193,1081818.4121929347
194,1081818.4121929347
195,1097977.8609444606
196,1097442.8554302393
197,1097442.8554302393
198,1097442.8554302393
199,1097442.8554302393
200,1106076.004033755
201,1089988.5201250636
202,1143734.151610049
203,1147581.5390070141
204,1147035.1710289181
205,1147035.1710289181
206,1147035.1710289181
207,1087577.1210289183
208,1086497.3910289183
209,1086497.3910289183
210,1086497.3910289183
211,1086497.3910289183
212,1086497.3910289183
213,1086497.3910289183
214,1062750.915303363
215,1062338.6799200622
216,1062338.6799200622
217,1062338.6799200622
218,1062338.6799200622
219,1062338.6799200622
220,1062338.6799200622
221,1063637.2332383338
222,1071941.1819047157
223,1023085.2224609975
224,1008581.7888156299
225,1008051.1851372985
226,981063.949417799
227,980441.5278024863
228,980441.5278024863
229,980441.5278024863
230,980441.5278024863
231,980441.5278024863
232,964269.4878024864
233,956038.5874332046
234,955464.6478500366
235,936293.1909817887
236,935743.6769534684
237,935743.6769534684
238,935743.6769534684
239,935743.6769534684
240,935743.6769534684
241,935743.6769534684
242,935743.6769534684
243,935743.6769534684
244,935743.6769534684
245,935743.6769534684
246,935743.6769534684
247,935743.6769534684
248,935743.6769534684
249,935743.6769534684
250,935743.6769534684
251,935743.6769534684
252,935743.6769534684
253,941830.1312347795
254,941130.2750403215
255,941130.2750403215
256,941130.2750403215
257,941130.2750403215
258,931823.3309677126
259,931627.783348198
260,931627.783348198
261,931627.783348198
262,931627.783348198
263,931627.783348198
264,931627.783348198
265,886417.9033481982
266,895951.5430378343
267,895579.4273346332
268,895579.4273346332
269,896378.9025048832
270,884587.9006557087
271,910090.6795189003
272,930280.5529434304
273,929953.413195477
274,929953.413195477
275,929953.413195477
276,929953.413195477
277,929953.413195477
278,929953.413195477
279,931833.1253821759
280,931734.391754437
281,931734.391754437
282,931734.391754437
283,942192.0737250333
284,959356.4942310149
285,957808.2167957121
286,956856.0261730009
287,956856.0261730009
288,913561.236173001
289,921689.9451062591
290,921441.5333079726
291,921441.5333079726
292,921441.5333079726
293,921441.5333079726
294,921441.5333079726
295,921441.5333079726
296,921441.5333079726
297,921441.5333079726
298,921441.5333079726
299,921441.5333079726
300,891324.6533079727
301,890436.9733079727
302,890436.9733079727
303,886752.7982048995
304,886494.3161092574
305,886494.3161092574
306,886494.3161092574
307,886494.3161092574
308,885575.8031926926
309,885310.9145150955
310,885310.9145150955
311,885310.9145150955
312,885310.9145150955
313,885310.9145150955
314,885310.9145150955
315,883980.0495438965
316,883632.1735682113
317,883632.1735682113
318,883632.1735682113
319,883632.1735682113
320,883632.1735682113
321,883632.1735682113
322,883632.1735682113
323,883632.1735682113
324,883632.1735682113
325,883632.1735682113
326,883632.1735682113
327,883632.1735682113
328,883632.1735682113
329,883632.1735682113
330,847659.8735682113
331,846822.6735682114
332,865638.7378810318
333,883380.3635994156
334,901478.7093177994
335,834702.0544258317
336,833876.3954125412
337,833876.3954125412
338,823728.2174054154
339,823396.2843209656
340,823396.2843209656
341,823396.2843209656
342,823396.2843209656
343,823396.2843209656
344,823396.2843209656
345,823396.2843209656
346,823358.2860062274
347,806267.2086314067
348,807297.2150491772
349,806652.1879442607
350,806652.1879442607
351,806652.1879442607
352,848570.6693862162
353,848137.5443126308
354,848137.5443126308
355,851783.4921988593
356,851683.3853413211
357,851683.3853413211
358,851683.3853413211
