,date,rewards
0,20100505,-1118853.3663562723
1,20100506,-1044923.4348302782
2,20100507,-364031.0614873469
3,20100510,694673.9565535188
4,20100511,-295022.6260147691
5,20100512,-11321.688153229654
6,20100513,-422630.0043052733
7,20100514,-903510.9108395576
8,20100517,-569171.8995487615
9,20100518,-231025.94260527194
10,20100519,-949.0
11,20100520,-693348.2484977469
12,20100521,20063.619257196784
13,20100524,-23590.445732414722
14,20100525,-249916.71139209718
15,20100526,514301.80106186867
16,20100527,1195651.951981157
17,20100528,-193626.2360292971
18,20100601,-589635.4904682711
19,20100602,447865.4769864902
20,20100603,262429.2287593782
21,20100604,-911720.7814247087
22,20100607,-64266.56592582166
23,20100608,325419.97021344304
24,20100609,462690.33850745857
25,20100610,552238.251387924
26,20100611,-294728.48472175
27,20100614,-60867.03899175674
28,20100615,647247.0560035445
29,20100616,252979.40393547714
30,20100617,-198411.801882267
31,20100618,138667.7077807039
32,20100621,-92303.03226621076
33,20100622,-269212.6591100395
34,20100623,-648414.7148563191
35,20100624,111485.17497768998
36,20100625,909840.7576888464
37,20100628,-351174.9687499106
38,20100629,-854872.2379467078
39,20100630,-173741.589154467
40,20100701,-822872.35941891
41,20100702,-169577.90779292583
42,20100706,12802.198467250913
43,20100707,671947.1902373098
44,20100708,406159.058695443
45,20100709,42871.19801390171
46,20100712,-332719.62216032296
47,20100713,610978.9614280201
48,20100714,-89174.56446347013
49,20100715,-45981.02885687351
50,20100716,-280699.9159972295
51,20100719,240055.1989583671
52,20100720,266641.3216188885
53,20100721,-461844.49032142013
54,20100722,890309.7494669966
55,20100723,13681.926358181983
56,20100726,-29941.30572913587
57,20100727,-610061.0607798137
58,20100728,-316753.6224107444
59,20100729,679904.3402956501
60,20100730,251087.3423063159
61,20100802,1242441.084310025
