,date,assets
0,0,24612477.893439468
1,20120202,8395218.0512666
2,20120203,8395614.238190733
3,20120206,8395243.802743213
4,20120207,8395110.6559299
5,20120208,8395097.845944205
6,20120209,8395269.44012669
7,20120210,8395069.658114042
8,20120213,8395194.175863808
9,20120214,8395019.270511003
10,20120215,8394936.672665115
11,20120216,8395019.986966765
12,20120217,8394792.49901241
13,20120221,8394330.304307504
14,20120222,8394213.600599902
15,20120223,8394003.043615626
16,20120224,8393718.775749227
17,20120227,8393917.380186493
18,20120228,8394121.325301606
19,20120229,8394168.762114396
20,20120301,8393997.746640118
21,20120302,8394138.557515282
22,20120305,8393738.21793802
23,20120306,8393495.968967788
24,20120307,8393305.917600827
25,20120308,8393323.19768705
26,20120309,8393289.658007508
27,20120312,8392962.964184761
28,20120313,8393181.095342401
29,20120314,8392797.784310425
30,20120315,8393237.218002383
31,20120316,8392995.73099123
32,20120319,8393176.110744746
33,20120320,8393137.23215979
34,20120321,8393009.649584511
35,20120322,8392782.206157757
36,20120323,8392852.467180744
37,20120326,8393072.233699398
38,20120327,8392841.133493302
39,20120328,8393081.47051145
40,20120329,8393157.88684205
41,20120330,8392863.90303748
42,20120402,8392898.89662774
43,20120403,8392786.11955805
44,20120404,8393138.14177135
45,20120405,8392993.648906047
46,20120409,8392816.481425315
47,20120410,8392234.807102896
48,20120411,8392308.354107894
49,20120412,8392665.10235057
50,20120413,8392269.910959585
51,20120416,8392372.435504414
52,20120417,8392559.988968896
53,20120418,8392180.630144317
54,20120419,8392847.732795076
55,20120420,8392201.303527823
56,20120423,8392142.799953928
57,20120424,8392404.99829627
58,20120425,8392327.84522427
59,20120426,8392540.238274228
60,20120427,8392857.113669286
61,20120430,8392915.834549747
62,20120501,8392915.063714948
