,date,assets
0,0,35143.34016362678
1,20120802,27640155.767283384
2,20120803,29986035.630490374
3,20120806,30639767.632502686
4,20120807,31489559.48374205
5,20120808,31421753.210540973
6,20120809,31589426.048772313
7,20120810,31442214.866842702
8,20120813,31088192.582339536
9,20120814,31544064.538977344
10,20120815,31983464.24826998
11,20120816,32598522.794133645
12,20120817,33356037.472453285
13,20120820,33173020.71909172
14,20120821,33434946.406576145
15,20120822,33826438.06081639
16,20120823,33067567.127741028
17,20120824,32879622.82000043
18,20120827,32760070.04061643
19,20120828,33044895.694345348
20,20120829,32347485.203656048
21,20120830,32148918.025733344
22,20120831,33224642.699654426
23,20120904,32602680.45440909
24,20120905,32669806.90491802
25,20120906,32093128.986270044
26,20120907,33208039.62898946
27,20120910,33169594.43441293
28,20120911,33669381.963907845
29,20120912,33582880.27611065
30,20120913,34390229.362217814
31,20120914,35053408.968662985
32,20120917,32977368.461530272
33,20120918,32660195.606273886
34,20120919,29988254.583204936
35,20120920,30717655.877447303
36,20120921,30669377.350303378
37,20120924,29962473.833677646
38,20120925,29419243.057394173
39,20120926,28783037.99538409
40,20120927,30098896.0854768
41,20120928,30023186.65430853
42,20121001,30234095.040405206
43,20121002,29820619.050790306
44,20121003,27434844.35494428
45,20121004,29614014.37183686
46,20121005,28588836.63488721
47,20121008,28405764.227418724
48,20121009,29928051.34499604
49,20121010,29427414.47092067
50,20121011,30132412.333232645
51,20121012,29699197.039364062
52,20121015,29698425.289364062
53,20121016,29870789.622411497
54,20121017,29841908.644820258
55,20121018,29831514.902289845
56,20121019,28571525.130805746
57,20121022,27830691.47090312
58,20121023,26292980.936639186
59,20121024,25737906.497828625
60,20121025,25979965.732793376
61,20121026,25961915.31719099
62,20121031,25925903.010347776
