,date,rewards
0,20130507,-73620.46080195159
1,20130508,213587.30249144137
2,20130509,-126540.20838719606
3,20130510,-3484.230893306434
4,20130513,-154995.37000970542
5,20130514,-136609.6658579409
6,20130515,30485.603811249137
7,20130516,122684.26258835942
8,20130517,160030.2194173187
9,20130520,109740.06117391586
10,20130521,-135526.04402284324
11,20130522,-306309.1929733008
12,20130523,26449.90934995562
13,20130524,-73711.28581250459
14,20130528,191924.39936378598
15,20130529,482646.7652364075
16,20130530,-802590.3600405902
17,20130531,-301301.6903044805
18,20130603,251264.4611250125
19,20130604,27287.202891103923
20,20130605,38192.43686085194
21,20130606,196739.5554297045
22,20130607,328893.10933057964
23,20130610,-78754.72725266218
24,20130611,-95961.11932801083
25,20130612,105733.90423096716
26,20130613,192418.73730878532
27,20130614,267737.97407335415
28,20130617,23068.050717279315
29,20130618,133311.8043036759
30,20130619,-96187.70286911726
31,20130620,-877175.3390335143
32,20130621,-321031.30076284707
33,20130624,263393.56570579484
34,20130625,86070.98594566435
35,20130626,51087.477965682745
36,20130627,392780.8017847091
37,20130628,-101430.69076737016
38,20130701,327602.1905407533
39,20130702,364482.2873704806
40,20130703,453327.0178029835
41,20130705,454163.72863473
42,20130708,-94608.01512206346
43,20130709,201321.6903940402
44,20130710,419463.6325160824
45,20130711,-286868.3022787757
46,20130712,419542.98520613834
47,20130715,108352.01217857003
48,20130716,-174000.3936065361
49,20130717,275707.58904578537
50,20130718,468042.0733563565
51,20130719,115655.19610927999
52,20130722,-450281.5119912289
53,20130723,121732.39491978288
54,20130724,-518630.93575086445
55,20130725,123378.74846550077
56,20130726,-282477.44823089615
57,20130729,-81965.63202031702
58,20130730,-358260.87907637283
59,20130731,563650.1961450577
60,20130801,776166.2405248061
61,20130802,-291122.31506999955
