,date,assets
0,0,15096342.608236669
1,20100203,7298151.93880947
2,20100204,7295761.731796293
3,20100205,7295940.614773731
4,20100208,7295594.072558598
5,20100209,7296175.211919734
6,20100210,7296010.453453897
7,20100211,7296975.65917451
8,20100212,7296912.499498861
9,20100216,7298147.334665436
10,20100217,7297935.58450046
11,20100218,7298254.497814107
12,20100219,7297962.064670887
13,20100222,7297690.384439146
14,20100223,7296855.433266667
15,20100224,7296514.149911929
16,20100225,7297005.838590473
17,20100226,7297665.926253485
18,20100301,7297660.706566382
19,20100302,7298638.48712483
20,20100303,7298942.631818082
21,20100304,7298542.650852302
22,20100305,7298527.901303492
23,20100308,7297927.237886977
24,20100309,7297817.9868717715
25,20100310,7296924.385053523
26,20100311,7296999.356493863
27,20100312,7296639.019424892
28,20100315,7296866.696589412
29,20100316,7297937.749908506
30,20100317,7297424.846133267
31,20100318,7297873.119818592
32,20100319,7296418.852933692
33,20100322,7295997.072789379
34,20100323,7296437.26724569
35,20100324,7294662.077329155
36,20100325,7295098.616254997
37,20100326,7296571.609385685
38,20100329,7296675.906731416
39,20100330,7296124.41364516
40,20100331,7296848.913056469
41,20100401,7297943.052594553
42,20100405,7298504.490681414
43,20100406,7298633.581258389
44,20100407,7300215.865513971
45,20100408,7300374.34190338
46,20100409,7301483.5283461725
47,20100412,7300739.822114284
48,20100413,7300321.146197088
49,20100414,7300708.709527057
50,20100415,7301418.6934598135
51,20100416,7298415.088803531
52,20100419,7298301.19437801
53,20100420,7298613.079007357
54,20100421,7299427.76964991
55,20100422,7298938.002232766
56,20100423,7300449.352246353
57,20100426,7299963.058353706
58,20100427,7302101.477905073
59,20100428,7301757.210900218
60,20100429,7301718.47569902
61,20100430,7302819.414391649
62,20100503,7303207.246666343
