,date,assets
0,0,14671590.925951893
1,20100804,19045090.227272466
2,20100805,19010998.77350971
3,20100806,18951356.047659606
4,20100809,18985570.48294222
5,20100810,18891953.84921364
6,20100811,18787712.100899886
7,20100812,18752683.7808143
8,20100813,18743372.434075885
9,20100816,18725678.2346154
10,20100817,18733431.57208924
11,20100818,18728838.3515804
12,20100819,18696367.709844265
13,20100820,18662358.936136365
14,20100823,18626022.689079877
15,20100824,18565850.4708076
16,20100825,18637846.240560792
17,20100826,18683574.098621726
18,20100827,18903901.758553326
19,20100830,18791678.74388758
20,20100831,18541601.2180489
21,20100901,18815037.38354671
22,20100902,18950837.524833567
23,20100903,18868779.816211857
24,20100907,18808216.025999635
25,20100908,18953715.42614752
26,20100909,18859508.673898578
27,20100910,19111022.53496517
28,20100913,19215111.518405896
29,20100914,19167827.20725739
30,20100915,19001361.78406693
31,20100916,18772359.105497543
32,20100917,18616282.88706801
33,20100920,18868181.56912536
34,20100921,18591072.391068794
35,20100922,18563538.2355109
36,20100923,18599451.3414065
37,20100924,18978711.655251123
38,20100927,18899555.938708175
39,20100928,18880874.786730338
40,20100929,19264319.657028962
41,20100930,19782373.26235456
42,20101001,20231407.541170307
43,20101004,20230350.541170307
44,20101005,20435818.78714616
45,20101006,20526868.7052081
46,20101007,20146117.27657774
47,20101008,20428044.53466972
48,20101011,20289421.8319458
49,20101012,20249109.41460871
50,20101013,20383607.633148663
51,20101014,20352886.494747497
52,20101015,20197722.712098457
53,20101018,20442757.026961587
54,20101019,19951791.929225028
55,20101020,20206954.401150122
56,20101021,19986939.94496519
57,20101022,20200030.743622757
58,20101025,20236197.34587417
59,20101026,20286585.230091672
60,20101027,20201833.869661845
61,20101028,20195798.292881377
62,20101029,20128903.311067767
