,date,assets
0,0,1074845.1929844879
1,20170706,1076420.3787373372
2,20170707,1087243.0829664522
3,20170710,1095782.4829354524
4,20170711,1103145.572851887
5,20170712,1118302.0797852012
6,20170713,1119808.412580572
7,20170714,1122792.0241781315
8,20170717,1121776.7597001314
9,20170718,1135030.311844052
10,20170719,1140467.7542127464
11,20170720,1142128.5490860324
12,20170721,1141698.1468275841
13,20170724,1148437.6852456005
14,20170725,1145332.7415740092
15,20170726,1146757.1574622006
16,20170727,1167709.9967225546
17,20170728,1176457.6846286862
18,20170731,1162477.141149148
19,20170801,1165148.2174697046
20,20170802,1162683.0110182005
21,20170803,1159547.626440593
22,20170804,1164105.1943498573
23,20170807,1174585.8743108758
24,20170808,1171240.7277726345
25,20170809,1171014.6043076075
26,20170810,1154053.615727971
27,20170811,1157111.9566700961
28,20170814,1169166.9845357223
29,20170815,1170297.137210576
30,20170816,1165749.1247505827
31,20170817,1151655.4118240208
32,20170818,1153940.4672892285
33,20170821,1155636.2051293766
34,20170822,1164198.2894416254
35,20170823,1159899.7918966392
36,20170824,1155402.1500956467
37,20170825,1148798.180095112
38,20170828,1153086.3382674658
39,20170829,1156873.4448639927
40,20170830,1165647.3771874537
41,20170831,1175296.4090373497
42,20170901,1175530.0236619415
43,20170905,1169368.5576559592
44,20170906,1175876.8019721452
45,20170907,1181213.5550241948
46,20170908,1170403.7130486276
47,20170911,1182680.8359000636
48,20170912,1180031.992301248
49,20170913,1180463.7838093466
50,20170914,1170343.3857451745
51,20170915,1173642.8056511006
52,20170918,1165701.1047801264
53,20170919,1177961.0418764297
54,20170920,1176243.3925018613
55,20170921,1171030.9835250438
56,20170922,1168218.4518728764
57,20170925,1130291.3203431782
58,20170926,1136934.4610459395
59,20170927,1154192.0896506615
60,20170928,1159427.9496016288
61,20170929,1170133.2812826016
62,20171002,1163104.9714944914
