,0
0,1000000.0
1,999925.4399656246
2,999998.7573667176
3,999755.9285961337
4,999849.2299866315
5,999819.3883137562
6,999712.1629382983
7,999720.0891785724
8,999669.3439197434
9,999709.2566546176
10,999735.5585462187
11,999734.456562147
12,999718.0053815662
13,999747.3156361724
14,1000196.4922942136
15,1000277.746604487
16,1000203.5625300799
17,999988.7641980471
18,1000351.1740485879
19,1000721.6562615439
20,1000450.2455613805
21,1000365.0737625257
22,1000573.6185357837
23,1000946.5166202171
24,1000775.2238820257
25,1000250.4102522107
26,1001016.6165092537
27,1001642.9018067938
28,1001947.7228927728
29,1001742.1365011685
30,1002706.8999669381
31,1003230.7125374541
32,1002814.1119911369
33,1003679.235962456
34,1003646.6011794456
35,1002566.0399309424
36,1002043.096301361
37,1001999.6401300794
38,1001859.3240259963
39,1001407.8374178181
40,1001081.4224366224
41,1000592.3875150054
42,1001783.3288149016
43,1001896.1727342658
44,1001402.8673038348
45,1000850.418154233
46,1001034.8984373328
47,1001502.7230128743
48,1001558.809671742
49,1001375.2351226745
50,1001089.2074010014
51,1002316.9966487676
52,1002822.5587767625
53,1002432.0673464143
54,1001726.0883975775
55,1001270.0523378265
56,1001581.6386235062
57,1001563.9667074672
58,1001356.3625227477
59,1001304.6217229577
60,1001299.2138158267
61,1001365.1858159268
62,1001095.742077871
63,1000969.9503044193
64,1000572.6956470592
65,1000718.5018738721
66,1000709.4377568659
67,1000700.9671721945
68,1000772.7771583518
69,1000691.0071454141
70,1000695.1284537507
71,1000595.2294765421
72,1000493.3401273221
73,1000842.6371168596
74,1000815.692325459
75,1000978.1598209579
76,1001439.66107551
77,1001782.6693770629
78,1001472.3988592227
79,1001047.2343413659
80,1001288.0732632234
81,1000717.0482236173
82,1000531.8852768178
83,1001471.0210470755
84,1001221.517437948
85,1001903.9023567559
86,1001850.7100787361
87,1002168.4197050517
88,1002012.996428978
89,1002614.9865372104
90,1002880.831903755
91,1002835.889595401
92,1003156.0509527003
93,1002470.5174565618
94,1002784.132557277
95,1003586.7597524324
96,1004697.974631186
97,1004889.9533788534
98,1004625.4378952776
99,1004376.948647741
100,1005056.3488523831
101,1006951.7072880043
102,1006484.5875011145
103,1007161.7986726502
104,1004852.4327779122
105,1007099.6591933218
106,1003954.4673929707
107,1003752.4637008396
108,1004119.7062515374
109,1004157.2773440783
110,1003912.0038050978
111,1001499.7385102643
112,999906.1820866981
113,1001056.576607095
114,1001667.2221756126
115,1000495.9632140254
116,1000956.8572422556
117,998856.3546440555
118,999437.8426080795
119,1000293.8346944547
120,1001745.1565398672
121,1001710.3895367231
122,1001259.6334982011
123,999694.3795908076
