,date,assets
0,0,1432276.7811105938
1,20180406,1428256.247299556
2,20180409,1430153.0311310277
3,20180410,1433890.8185071445
4,20180411,1431128.7916343715
5,20180412,1434149.2444639362
6,20180413,1433345.9642807008
7,20180416,1435530.13858539
8,20180417,1444801.750245617
9,20180418,1444252.4912442802
10,20180419,1448409.7544607406
11,20180420,1444401.7624336244
12,20180423,1442872.3649046028
13,20180424,1429498.054999255
14,20180425,1429836.921719451
15,20180426,1435333.5785732158
16,20180427,1432363.6839668646
17,20180430,1428519.5041160593
18,20180501,1434645.2567810132
19,20180502,1430607.2091678963
20,20180503,1430392.8514412844
21,20180504,1438273.0532396245
22,20180507,1440419.6321099775
23,20180508,1440122.0866769361
24,20180509,1449842.5591697777
25,20180510,1454904.4691462254
26,20180511,1455138.5260634224
27,20180514,1455816.3280354016
28,20180515,1448318.353193525
29,20180516,1449233.2605732104
30,20180517,1448059.5105468775
31,20180518,1443499.3087453283
32,20180521,1448484.0737455406
33,20180522,1444710.870587573
34,20180523,1448565.5435744543
35,20180524,1448383.4452621941
36,20180525,1446954.4419100392
37,20180529,1440771.6939274794
38,20180530,1443816.2504276703
39,20180531,1450906.5273891245
40,20180601,1465320.1726933136
41,20180604,1473683.1095815622
42,20180605,1473201.339721219
43,20180606,1473201.339721219
44,20180607,1473201.339721219
45,20180608,1473180.5883764976
46,20180611,1473266.9417345067
47,20180612,1473402.4300458918
48,20180613,1473385.1889546753
49,20180614,1473466.8816447107
50,20180615,1473461.070047481
51,20180618,1473461.070047481
52,20180619,1473461.070047481
53,20180620,1473461.070047481
54,20180621,1473461.070047481
55,20180622,1473461.070047481
56,20180625,1473461.070047481
57,20180626,1473423.3646390538
58,20180627,1473271.6411428
59,20180628,1473421.032025468
60,20180629,1473444.265864506
61,20180702,1473736.5004222246
62,20180703,1472987.1894758022
