,date,assets
0,0,781269.4421825783
1,20171004,759821.1615426518
2,20171005,787396.609538111
3,20171006,742963.372641883
4,20171009,747943.8146028789
5,20171010,790008.0852058193
6,20171011,800436.9135968034
7,20171012,781410.6055121177
8,20171013,800865.1368998352
9,20171016,815833.6968740836
10,20171017,818092.1252792502
11,20171018,818543.3749060977
12,20171019,799974.4785922724
13,20171020,810829.7930113164
14,20171023,808559.9109089989
15,20171024,826226.5672441109
16,20171025,820343.3296613892
17,20171026,833044.4028627562
18,20171027,872386.2143828634
19,20171030,878732.067358198
20,20171031,887789.1787170081
21,20171101,884153.9419024965
22,20171102,899634.593061661
23,20171103,929266.1935516878
24,20171106,984473.6159174846
25,20171107,981294.5555518743
26,20171108,967185.1289219199
27,20171109,975839.5992047564
28,20171110,968104.4863634811
29,20171113,962634.7606100121
30,20171114,919351.7114918361
31,20171115,913928.6268089198
32,20171116,911662.850058097
33,20171117,955075.0997331084
34,20171120,943736.9100458166
35,20171121,962757.3440268798
36,20171122,996683.2814767234
37,20171124,1027523.0975680228
38,20171127,993407.2269149635
39,20171128,994772.3617806793
40,20171129,976338.7375735464
41,20171130,974074.38948801
42,20171201,1007578.5081591062
43,20171204,977276.2911223851
44,20171205,984529.0511704204
45,20171206,927459.0407105716
46,20171207,948268.1074496142
47,20171208,974574.3548812731
48,20171211,994124.9346909412
49,20171212,967690.9708364325
50,20171213,946878.7128729129
51,20171214,964108.690188997
52,20171215,968173.9289140386
53,20171218,967718.7733429271
54,20171219,979935.157832253
55,20171220,997627.0706052531
56,20171221,1003539.0168472942
57,20171222,1006727.4732660502
58,20171226,1053922.1912337365
59,20171227,1050299.3352472936
60,20171228,1060723.180191456
61,20171229,1067539.3161804243
62,20180102,1074823.2724571852
