,0
0,1000000.0
1,1093513.4200000002
2,1114933.4200000002
3,878683.4200000002
4,876163.4200000002
5,875299.6900000002
6,875299.6900000002
7,928453.8900000002
8,900507.0711595728
9,860012.4946135714
10,843914.2741298678
11,776691.5125560763
12,775923.3603255085
13,775923.3603255085
14,775923.3603255085
15,768893.0992849736
16,768272.477908173
17,768272.477908173
18,744417.335431519
19,747186.113099976
20,706113.3713244633
21,724127.7317523197
22,710878.3161444096
23,710521.2843122105
24,710521.2843122105
25,710521.2843122105
26,650012.7774091344
27,649399.6391812902
28,649399.6391812902
29,649399.6391812902
30,649399.6391812902
31,618430.1248113257
32,691923.3303411108
33,683504.718280564
34,663737.4240965276
35,712495.3394444281
36,715651.7855503851
37,786072.3816459662
38,770492.5293510443
39,759643.5809463507
40,807350.7565597541
41,875919.6494715125
42,875353.3415769965
43,875353.3415769965
44,875353.3415769965
45,875353.3415769965
46,866129.3161061675
47,900152.8835051925
48,863953.2879802902
49,901755.949475499
50,970690.2145549973
51,974852.7990295609
52,1014162.1553470811
53,1024812.5337074478
54,1041480.6467580993
55,1025395.7823381623
56,1005987.7707395753
57,1050932.6397047243
58,975343.541899701
59,840508.9350042542
60,861959.8951921662
61,832337.1406469544
62,967171.7475424012
63,968193.2218370637
64,922226.8785772523
65,903808.9098118409
66,912888.5485089882
67,912493.4950828656
68,912493.4950828656
69,900246.5492048368
70,902600.5792905912
71,898412.1760217771
72,903262.2220209227
73,782517.2924402342
74,780848.1054033383
75,780563.8696162901
76,784756.506741744
77,792004.7851471624
78,779023.2459714231
79,778765.8327367124
80,791017.6654835996
81,790941.3742632017
82,845803.5150074492
83,908742.8984690581
84,881888.417649356
85,952123.2136393462
86,954715.1467501555
87,987722.4985944472
88,978261.6770001326
89,994330.9953900252
90,972539.0037844192
91,976570.0001247511
92,908853.6589553939
93,981153.6753993331
94,986967.4191720687
95,985988.54583809
96,985837.8350792943
97,990846.3450845967
98,990765.384378992
99,994511.0944319209
100,1040193.1755218563
101,1099251.2715206202
102,1123414.371015936
103,1122956.9339829027
104,1095431.6589911424
105,1095093.143972069
106,1085795.458424889
107,1085235.0834604418
108,1085235.0834604418
109,1085235.0834604418
110,1089970.9060768283
111,1078622.8150170674
112,1047909.8722888529
113,1047204.2910968363
114,1051615.1684589733
115,1054836.5953882374
116,1011134.6944713368
117,919623.5135936512
118,918708.4017848744
119,918708.4017848744
120,918708.4017848744
121,891576.9117848745
122,946086.9117848745
123,923559.8592599264
