,0
0,17.85993429995142
1,-5.036639399942942
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,-44.007682500057854
10,23.004367718705907
11,-16.489322198089212
12,239.79843251465354
13,-7.061091317678802
14,0.0
15,0.0
16,13.124309455044568
17,-0.8662231613416225
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,-16.41362260002643
25,60.63699141552206
26,-9.32655534602236
27,242.96814912359696
28,373.74308166408446
29,647.5597643958172
30,-25.708227433962747
31,0.0
32,0.0
33,0.0
34,11.87051459995564
35,59.72595283447299
36,-4.243680829182267
37,-43.42854230001103
38,144.71949870954268
39,-4.486817626631819
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
