,0
0,61780.48049120256
1,1395.212569475174
2,11375.928995024646
3,23038.044433026807
4,8192.086930242367
5,-46004.5780286144
6,35880.71472161845
7,5795.221810344374
8,4507.418590249261
9,-161158.70492862747
10,-11948.283994327532
11,-40531.11921344057
12,14023.064159306581
13,19782.69153080578
14,-2361.038154567592
15,3863.5169802017044
16,40459.626262654085
17,-6260.382100099698
18,18566.381261496805
19,2432.5489920068067
20,30264.180571608245
21,-14774.321458776481
22,-34735.89740309585
23,-6117.217332000146
24,25184.424868708476
25,-3684.668339993339
26,-13021.501042147167
27,-15740.200703826733
28,14702.792734684423
29,-8013.256176686613
30,-11018.124394691316
31,-40531.20864670409
32,12449.163929497008
33,14523.979867781512
34,-3255.4244488317054
35,60385.39312829613
36,18387.478961330373
37,-89755.25895225094
38,-33734.244852673495
39,-31552.05533831392
40,-1073.1633878618013
41,1252.0656880283495
42,27008.809782734374
43,24254.283155724872
44,-27044.565201454097
45,20033.03312180075
46,3577.3484238764504
47,-51978.64847916737
48,-21249.34339110949
49,-7226.207685192116
50,21929.07196648745
51,1502.4788256338798
52,-33948.920458212146
53,-14702.792734684539
54,26293.397335247835
55,25255.93570614746
56,13558.064849425573
57,4435.907752810279
58,33340.702720273286
59,-11805.190772838658
60,21213.587972389883
61,-85963.25280948821
