,0
0,1000000.0
1,1000017.8599343
2,1000012.8232949
3,1000012.8232949
4,1000012.8232949
5,1000012.8232949
6,1000012.8232949
7,1000012.8232949
8,1000012.8232949
9,1000012.8232949
10,999968.8156124
11,999991.8199801187
12,999975.3306579206
13,1000215.1290904352
14,1000208.0679991175
15,1000208.0679991175
16,1000208.0679991175
17,1000221.1923085726
18,1000220.3260854112
19,1000220.3260854112
20,1000220.3260854112
21,1000220.3260854112
22,1000220.3260854112
23,1000220.3260854112
24,1000220.3260854112
25,1000203.9124628112
26,1000264.5494542267
27,1000255.2228988807
28,1000498.1910480043
29,1000871.9341296684
30,1001519.4938940642
31,1001493.7856666303
32,1001493.7856666303
33,1001493.7856666303
34,1001493.7856666303
35,1001505.6561812302
36,1001565.3821340647
37,1001561.1384532355
38,1001517.7099109355
39,1001662.429409645
40,1001657.9425920184
41,1001657.9425920184
42,1001657.9425920184
43,1001657.9425920184
44,1001657.9425920184
45,1001657.9425920184
46,1001657.9425920184
47,1001657.9425920184
48,1001657.9425920184
49,1001657.9425920184
50,1001657.9425920184
51,1001657.9425920184
52,1001657.9425920184
53,1001657.9425920184
54,1001657.9425920184
55,1001657.9425920184
56,1001657.9425920184
57,1001657.9425920184
58,1001657.9425920184
59,1001657.9425920184
60,1001657.9425920184
61,1001657.9425920184
62,1001657.9425920184
