,0
0,1014891.3665195536
1,1020558.1508736268
2,1017969.8093952552
3,1015689.4988557308
4,1015639.586809256
5,1014946.4525615828
6,1017189.0205871987
7,1016281.8119733704
8,1017192.7790359865
9,1016971.5663512291
10,1014665.3514106546
11,1015597.4895420972
12,1014984.9117620911
13,1016997.4334278817
14,1016274.8728409237
15,1017000.6535750314
16,1016128.6971935729
17,1014666.7478282009
18,1011931.3613500234
19,1012344.4353977435
20,1008520.5249152355
21,1004535.7581945916
22,999978.4356732072
23,1001398.572892094
24,998855.8212613023
25,998756.3911885666
26,998872.2085435739
27,998135.9082443266
28,998280.9363031947
29,998584.21900956
30,996940.9188718013
31,999917.1607968413
32,1001783.6160344634
33,1004151.1048187142
34,1002233.3475345478
35,1003038.4261090588
36,1003842.1614495567
37,1006538.1666585053
38,1005514.2151048628
39,1005607.481472015
40,1003765.5384470063
41,1003460.5555158069
42,1003474.8215800908
43,1004346.3724587875
44,1010423.1979745066
45,1012095.3100750954
46,1008822.5969160465
47,1003155.7822450621
48,1002657.0537597614
49,1001067.558416074
50,1002575.6049008532
51,1002702.3364067342
52,1001322.190088126
53,1003713.273442008
54,1003660.859336466
55,990455.3690700586
56,990303.5251621979
57,988400.6954045421
58,991586.3243673712
59,993513.240648356
60,998551.761013372
61,999814.8959175618
62,1002387.1114086893
