,0
0,1000000.0
1,999984.9417339686
2,1001371.3683478922
3,1000853.9070350351
4,1000528.6001031741
5,1001691.8366427905
6,1002658.7970803293
7,1002107.4075877131
8,995480.6953539982
9,996189.5566577142
10,991351.2648062592
11,989214.8271206424
12,985143.3846702275
13,984058.0361325059
14,1010592.2524869674
15,1019916.7526915192
16,1019454.5516199695
17,1016958.8628108571
18,1019534.9645995279
19,1019637.7568556024
20,1021433.2946643461
21,1042009.6886967054
22,1023978.8554268825
23,1031568.1933229782
24,1036778.7009051761
25,1041407.1511973874
26,1056036.7663189298
27,1052061.5846387595
28,1049741.784058183
29,1052645.2342041482
30,1059312.5391514094
31,1066127.5831294148
32,1084892.6689776396
33,1065549.560816633
34,1069676.2558125062
35,1075295.06671612
36,1063277.908274408
37,1062417.587271928
38,1075389.1114102784
39,1077297.9264564053
40,1084005.5008068667
41,1104585.192399837
42,1127571.015239614
43,1117865.862396178
44,1119505.8009875142
45,1118054.116391718
46,1122489.9572455818
47,1112798.226637053
48,1109706.6034499202
49,1104638.9676907952
50,1094906.9676790664
51,1086156.1805322685
52,1090901.2481984957
53,1095458.0618691829
54,1090820.544784872
55,1089543.6082968572
56,1088642.9369368053
57,1092379.8609169573
58,1079260.4331406394
59,1067875.0723026674
60,1077284.5042214985
61,1093213.2537967719
62,1084018.9257402527
63,1069057.9640965243
64,1052900.688424032
65,1041878.2460365302
66,1045641.9362306029
67,1062484.7847977935
68,1062767.0834874911
69,1062310.0366900119
70,1051395.1448844261
71,1066772.802968062
72,1052242.043651999
73,1029861.0875948181
74,1075510.0842271016
75,1075832.7359728508
76,1086304.084170236
77,1093764.3479868886
78,1087917.0946389071
79,1077593.6500794895
80,1101305.3152171646
81,1108711.884697231
82,1103146.9327374264
83,1115486.6592720365
84,1137141.7730313195
85,1158420.459753895
86,1152613.4758091131
87,1174658.4388400104
88,1171768.327276101
89,1183530.1178492594
90,1179900.8227069168
91,1192764.7989618299
92,1231464.3538658987
93,1215307.0781934063
94,1222444.773917161
95,1221571.0306797742
96,1219474.0425924796
97,1195883.3502716275
98,1186971.3209048065
99,1174241.6587472518
100,1184928.10810847
101,1167507.2372284974
102,1170800.539344556
103,1171418.9120149103
104,1166593.2245879108
105,1155127.1576378364
106,1155933.706047837
107,1162573.9992195817
108,1182858.0508423194
109,1196958.6887850892
110,1182965.6014242359
111,1172440.4779358923
112,1179188.3216895536
113,1176553.7479983794
114,1191622.260224024
115,1210938.3566095142
116,1211019.0600231378
117,1189592.4723610738
118,1184471.0586125115
119,1169496.6747338758
120,1164670.9873068766
121,1174685.2860083035
122,1179282.450036563
123,1183718.2881919479
124,1193813.2930054772
125,1186326.0983676806
126,1191864.20855615
127,1201354.260235753
128,1216946.9358303703
129,1217148.6147592962
130,1218156.7557468922
131,1237311.6072138802
132,1241021.605769846
133,1243293.3419649221
134,1236464.7920991585
135,1235039.954671655
136,1224461.0558923534
137,1205534.7278241054
138,1224487.9030606463
139,1215212.9525448761
140,1214003.132628354
141,1193571.3446733514
142,1190412.4403075022
143,1186272.3230767222
144,1197899.6322468198
145,1193638.5421992166
146,1215777.5499242719
147,1218936.373335749
148,1216825.9630135472
149,1205494.374768054
150,1197536.711097871
151,1200238.5686662407
152,1197214.0593521218
153,1190627.541471335
154,1184901.1799858047
155,1169523.521902169
156,1155879.9307568788
157,1152183.357134299
158,1163931.63912122
159,1163622.4932632293
160,1168878.302063522
161,1174765.9057690755
162,1170061.274811751
163,1164926.3578739094
164,1143096.5769612172
165,1140945.8135829642
166,1150193.9196289207
167,1138727.9363316975
168,1156847.718688424
169,1171970.0062050268
170,1182629.5247451006
171,1182656.3719133935
172,1194041.816404217
173,1194875.2092840315
174,1204983.5526796165
175,1200776.2379229714
176,1195412.8785407622
177,1193651.9671326026
178,1191434.0062284844
179,1214567.7327062287
180,1207940.861769391
181,1214285.431318052
182,1191958.253250308
183,1192415.3000477876
184,1179497.551200396
185,1180761.0627550245
186,1178368.4346974972
187,1177723.21485885
188,1192630.4012116203
189,1193961.1129905935
190,1177965.163190976
191,1172937.796835051
192,1164052.695590895
193,1147828.1387396862
194,1150771.9419417025
195,1167413.1925343394
196,1172453.9001707993
197,1177992.0076607896
198,1185922.826861159
199,1207456.8841507675
200,1195036.451504055
201,1359862.400152101
202,1348960.9332799013
203,1353934.5243448683
204,1386746.4755433837
205,1378869.4316339723
206,1364956.9640338914
207,1364688.0875791004
208,1393238.8677756395
209,1385415.682810038
210,1385630.7839738708
211,1380872.2913742578
212,1379622.2047530147
213,1373452.299659284
214,1375105.6604855272
215,1355211.4608328831
216,1366072.6556034037
217,1358760.2144703467
218,1360359.8000056315
219,1388171.3129708867
220,1391881.2278740013
221,1389636.5034544417
222,1386934.5649316998
223,1378398.9626015858
224,1374514.2159378384
225,1390321.992696289
226,1387391.6144276585
227,1406264.3318121715
228,1423039.8992006457
229,1429357.7052338647
230,1424625.9788481724
231,1417757.2432320598
232,1416117.3046407236
233,1422730.7533426548
234,1421601.5558853839
235,1438444.4854069464
236,1449561.053442979
237,1458325.1818703115
238,1448418.35009795
239,1438565.3772693975
240,1426239.0729696946
241,1442624.9529952987
242,1438430.9795191882
243,1458446.0710342836
244,1460422.1672591274
245,1479778.6167006686
246,1499242.6167241265
247,1494860.5511612205
248,1502414.9433248823
249,1503678.5358338833
250,1491661.3773921712
251,1506783.6649087744
252,1496581.1931661798
253,1485666.2231047014
254,1502226.853936566
255,1531180.8219867756
256,1534366.6544752899
257,1519593.8658727289
258,1519513.1597606265
259,1509834.9377383348
260,1545348.8247611127
261,1544300.3307174654
262,1554516.1437405944
263,1546867.7068827744
264,1564570.8764524446
265,1566345.2127939905
266,1559731.7640920593
267,1510977.4737776613
268,1480598.503692725
269,1509875.2880959073
270,1488247.1051577684
271,1526516.457734172
272,1587785.1417365891
273,1523881.8840429976
274,1530239.8785250445
275,1537014.7340542222
276,1559543.5100965197
277,1583040.0740703621
278,1576977.7195585477
279,1600165.3049801018
280,1595473.9289519815
281,1613230.9574654612
282,1617129.1263641159
283,1627990.2401802638
284,1616510.8346481337
285,1618889.9568179029
286,1618459.9190974608
287,1630181.2729617169
288,1640249.346954102
289,1640477.7893984693
290,1639187.5116299198
291,1634402.0936061204
292,1616981.2227261479
293,1633407.29120058
294,1637910.4132331603
295,1639725.099932278
296,1633246.0489805564
297,1628917.6777542366
298,1613351.8493279123
299,1623177.9749881716
300,1598659.761440496
301,1576803.13605799
302,1602746.1870331692
303,1628500.9813143294
304,1612357.2115295953
305,1609547.725123416
306,1590567.619065731
307,1556814.727103964
308,1557876.7243368905
309,1521919.293705912
310,1503190.5239890462
311,1507307.911930598
312,1499180.6866294108
313,1526602.9277975734
314,1526172.396255461
315,1533545.9444471165
316,1461962.9556339
317,1448534.4656524425
318,1493610.1326270516
319,1518475.8671036095
320,1456069.4206713447
321,1428216.650659549
322,1433383.520288089
323,1443932.6872249688
324,1498023.4897532829
325,1443017.6032881907
326,1422888.3715052833
327,1439546.1772670308
328,1418367.2991899124
329,1413577.1048581547
330,1389411.1912457985
331,1392021.5541827332
332,1420412.5709257813
333,1417613.7893860827
334,1430235.075227125
335,1421031.5210706568
336,1420708.5401104607
337,1386612.407007621
338,1372672.5984175764
339,1375471.2990029026
340,1396273.501783239
341,1426386.8093019598
342,1434917.5543697432
343,1417586.94221779
344,1399637.212615259
345,1401386.5151664482
346,1423534.1688184522
347,1425983.1249281405
348,1450660.440801935
349,1467129.8252624394
350,1487689.7531946828
351,1523346.7675474696
352,1511855.8314142623
353,1507550.0248699472
354,1507038.7899142113
355,1490999.7696901164
356,1466806.8443022438
357,1466053.3317999353
358,1490919.0662764932
359,1497458.3985522168
360,1513039.875458683
361,1508814.7723279917
362,1504212.993900518
363,1484056.7530405733
364,1485160.0936713705
365,1465030.861888464
366,1461613.127505411
367,1489492.7446855
368,1493610.1326270516
369,1497539.1019658404
370,1520655.6984984323
371,1519767.62633717
372,1557523.604063933
373,1550392.1688116265
374,1553729.197082577
375,1548454.6122648974
376,1568341.7311084552
377,1567440.3176666582
378,1573885.4379425214
379,1567211.5460078442
380,1537178.9419027462
381,1550607.434582683
382,1537205.7890710395
383,1558949.9229564473
384,1574262.1132393035
385,1574020.0002999543
386,1568314.8839401624
387,1544283.3680780153
388,1601738.2106527963
389,1586641.1215337727
390,1600823.2886247619
391,1604160.154986968
392,1597082.5759799923
393,1585430.233019538
394,1589682.1806200438
395,1576253.5260313628
396,1581124.4264752232
397,1538551.4045499305
398,1523669.583900442
399,1542722.6514352914
400,1520978.5148514046
401,1524487.8221217853
402,1516376.73912241
403,1530935.5815101813
404,1528540.4816458232
405,1514681.4601222535
406,1547108.9967860065
407,1546759.1686575175
408,1543610.7235965538
409,1566969.2684612714
410,1579617.4014706064
411,1573239.4760221296
412,1570225.5933185986
413,1568045.7619237755
414,1561694.8482508152
415,1555397.6289144405
416,1536936.664356174
417,1532092.7783863088
418,1538551.4045499305
419,1553971.310021926
420,1555612.8946854968
421,1566484.8806738285
422,1577518.4380966304
423,1587313.9306224578
424,1563874.5150384142
425,1569498.927984583
426,1564789.601673672
427,1549369.5315944527
428,1542588.0890778587
429,1561022.041860609
430,1573992.9885244376
431,1586103.039409744
432,1604429.2770033546
433,1580989.86411779
434,1564197.4959986103
435,1582658.295949654
436,1547862.5092883152
437,1553352.3571785716
438,1551360.944386512
439,1554052.0134355496
440,1529590.1279400347
441,1534460.8637766715
442,1548454.6122648974
443,1554025.1662672567
444,1517399.373641105
445,1540973.3488841022
446,1509702.8444892534
447,1465595.9557880093
448,1435240.3707227157
449,1447969.207145674
450,1426682.7784866393
451,1411827.9696126676
452,1375928.7586676802
453,1401951.6063675145
454,1417290.808425887
455,1433894.9198510482
456,1464223.493140825
457,1452920.8110031576
458,1455585.032883902
459,1477463.5645195195
460,1478620.761395647
461,1481258.1361080986
462,1504858.9558209097
463,1494471.3603184999
464,1491484.1574775595
465,1469444.2190146954
466,1459002.764568476
467,1456230.9948042943
468,1473669.1575381635
469,1481204.2771642893
470,1473184.7670522418
471,1467991.0529538877
472,1465353.6782414366
473,1444120.9439189879
474,1440138.282942092
475,1445412.7004540693
476,1439600.03621084
477,1446785.1631012533
478,1451548.512963197
479,1456419.248799834
480,1454508.7040286213
481,1458437.6733674097
482,1436828.0991409556
483,1436693.536783523
484,1430154.2045077991
485,1446273.9281455174
486,1413846.226874541
487,1418474.8497718286
488,1435671.0668720515
489,1415999.0491923266
490,1422134.861701454
491,1396085.0831804755
492,1383006.4213275071
493,1333463.370977155
494,1359028.7590122118
495,1375740.4237177684
496,1389868.5672577245
497,1412796.745187553
498,1428189.803491256
499,1423292.058577582
500,1437447.0492858314
501,1427490.1499327573
502,1427732.2601736274
503,1416914.133129105
504,1412635.3383603063
505,1383194.675323047
506,1351143.811257597
507,1348829.5011581928
508,1353081.4487586983
509,1335562.4180039822
510,1325820.700769113
511,1335589.3461266472
512,1348210.551013317
513,1350686.3515928194
514,1367613.2793709533
515,1364437.822534473
516,1394416.651348612
517,1438415.827559196
518,1453378.3543207864
519,1440622.6707295352
520,1396004.3797668524
521,1372780.232652344
522,1374556.2960204962
523,1438765.8202949085
524,1422511.534299757
525,1424556.806035626
526,1407118.475996054
527,1420089.5899655856
528,1429293.1441220532
529,1420762.3990542702
530,1445278.1407951158
531,1442667.7751597012
532,1461397.8617343546
533,1477759.6983114225
534,1461155.5868862614
535,1452705.5452321016
536,1461236.2902998845
537,1450687.285271749
538,1431741.9329260394
539,1442990.7561198976
540,1463927.5212576666
541,1495171.0138769986
542,1503028.9525545763
543,1537851.7509914315
544,1544041.2551386661
545,1543314.5898046508
546,1548589.1746223303
547,1528015.7408023293
548,1531150.8445827584
549,1493906.2664189546
550,1483599.3743301684
551,1495251.7199891012
552,1473211.778827758
553,1492560.6509400636
554,1482684.2903933895
555,1505989.1436200002
556,1501925.6119237787
557,1508303.5373722557
558,1504132.2904868943
559,1534756.9975685747
560,1504065.0929610294
561,1494336.797961067
562,1475956.7041221259
563,1485886.7590053861
564,1475041.6201853477
565,1460402.074383953
566,1441483.7338137596
567,1444807.256196952
568,1445493.4065661717
569,1457845.5676923483
570,1455612.0419609393
571,1453539.7611480332
572,1451279.3909468106
573,1427651.556760004
574,1433410.5293651263
575,1436828.0991409556
576,1410590.0666244375
577,1441080.0494399404
578,1437285.6424585846
579,1451804.1317903046
580,1472350.5511363102
581,1520951.6676831117
582,1498978.268317219
583,1494417.8332876163
584,1482004.8943172884
585,1450324.7769900977
586,1451835.9171753004
587,1459607.5503966997
588,1432676.618614801
589,1414920.5804431408
590,1432406.8354710417
591,1452699.287459132
592,1445899.2308338957
593,1427927.2684622856
594,1429492.432198521
595,1453185.1567115858
596,1440906.947404393
597,1436724.3372236572
598,1450378.633235428
599,1455532.822710806
600,1464275.8679211447
601,1457799.4506849977
602,1436778.358076211
603,1456935.9184924217
604,1456909.071324129
605,1436211.6181044313
606,1441284.77225326
607,1455289.8867353396
608,1458339.1815797403
609,1448597.7099064665
610,1439503.8489242983
611,1421963.734952588
612,1421585.9074052419
613,1448570.6981309499
614,1442957.8157858583
615,1436805.3698517275
616,1422962.158717044
617,1425525.746217735
618,1428521.0202095816
619,1448678.5779273133
620,1448570.6981309499
621,1452618.416739806
622,1458797.8744494538
623,1451674.016526383
624,1444630.859318457
625,1435078.3027680959
626,1407634.8191726743
627,1404909.328324587
628,1408498.3513652503
629,1412707.9706230238
630,1411250.6866831514
631,1417079.4959266721
632,1394978.94422688
633,1405368.0238927798
634,1430868.6835103228
635,1475177.664007791
636,1514440.5021319473
637,1512065.8270556896
638,1565036.9847426498
639,1816211.4626916843
640,1789469.6079414426
641,1787526.6166578613
642,1786986.8884615982
643,1738900.1344077776
644,1682987.5643712594
645,1692971.96932152
646,1694968.8168504317
647,1705573.8207162814
648,1707354.9086524665
649,1688519.4113898012
650,1703630.9940399237
651,1698341.9156911452
652,1737550.8948714922
653,1734582.4707464175
654,1714667.6816984497
655,1710431.047966681
656,1783425.0391051958
657,1780132.8109838082
658,1771740.57884682
659,1773548.513951298
660,1783667.8104734386
661,1770877.0466542437
662,1783748.843101509
663,1745781.2236610842
664,1653088.3676745514
665,1591374.1647772524
666,1571000.6828595712
667,1696641.8603830303
668,1720901.1602606508
669,1701391.2105355456
670,1668658.6458928664
671,1613447.7047015282
672,1658107.6655780494
