,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000000.0
3,20160107,1000000.0
4,20160108,1000000.9615609172
5,20160111,1000000.494936543
6,20160112,1000000.494936543
7,20160113,1000000.494936543
8,20160114,1000000.494936543
9,20160115,999801.673291543
10,20160119,999797.008109043
11,20160120,999797.008109043
12,20160121,999776.7229181813
13,20160122,999935.6507847045
14,20160125,999907.6648401335
15,20160126,999935.0510366445
16,20160127,999771.909651272
17,20160128,999880.2688493714
18,20160129,1000076.2425243029
19,20160201,1000069.1298811715
20,20160202,1000068.5426249659
21,20160203,1000056.2055333384
22,20160204,1000053.2715375316
23,20160205,1000052.3757556112
24,20160208,1000052.3757556112
25,20160209,1000052.3757556112
26,20160210,1000054.5872475593
27,20160211,1000048.0930996448
28,20160212,1000048.2518834335
29,20160216,1000136.7305253402
30,20160217,1000234.2407667891
31,20160218,1000196.8865696748
32,20160219,1000150.2173217116
33,20160222,1000249.1046412269
34,20160223,1000071.7837560643
35,20160224,1000097.5692716858
36,20160225,1000273.7012722043
37,20160226,1000128.193616946
38,20160229,1000086.3206556527
39,20160301,1000081.7988444242
40,20160302,1000081.7988444242
41,20160303,1000078.3129106233
42,20160304,1000078.0334273209
43,20160307,1000078.0334273209
44,20160308,1000078.0334273209
45,20160309,1000078.0334273209
46,20160310,1000000.3660737209
47,20160311,999995.5697183209
48,20160314,999995.5697183209
49,20160315,1000011.9878070696
50,20160316,1000061.6901154052
51,20160317,1000097.2510524213
52,20160318,999838.3060910825
53,20160321,999882.5937542237
54,20160322,999885.9966964339
55,20160323,999871.97761162
56,20160324,999892.5063716469
57,20160328,999809.0183647344
58,20160329,1000054.5808232033
59,20160330,1000127.8740044436
60,20160331,1000160.7308628958
61,20160401,1000237.2160668913
62,20160404,1000187.7017334044
63,20160405,999824.8915360048
64,20160406,1000001.1321906894
65,20160407,999843.5071651457
66,20160408,999832.928473672
67,20160411,999813.2685746143
68,20160412,999853.4674765099
69,20160413,1000000.2601611626
70,20160414,999999.4953108267
71,20160415,1000029.0747018978
72,20160418,1000190.2911729936
73,20160419,1000166.1791858451
74,20160420,999861.3849671385
75,20160421,999920.6422318215
76,20160422,998729.9418850545
77,20160425,998792.8608894421
78,20160426,998588.8871576509
79,20160427,998481.1262934785
80,20160428,998166.2048711978
81,20160429,998150.2552774352
82,20160502,998454.3346904505
83,20160503,998030.6253141382
84,20160504,998070.9432894865
85,20160505,998099.3243802281
86,20160506,998296.8130939583
87,20160509,998180.9336829837
88,20160510,998496.6492167457
89,20160511,998499.1753061657
90,20160512,998583.932469944
91,20160513,998465.6013753805
92,20160516,998728.5480644342
93,20160517,998405.9520493789
94,20160518,998529.5181925641
95,20160519,998269.8543055011
96,20160520,998419.3321295583
97,20160523,998132.9421816462
98,20160524,999027.9719191605
99,20160525,999378.0140665014
100,20160526,999232.9096272545
101,20160527,999484.2020693636
102,20160531,999816.2200403983
103,20160601,999727.1373624015
104,20160602,999529.9880623168
105,20160603,999181.4694875759
106,20160606,999316.2384233018
107,20160607,999302.592562198
108,20160608,999282.2996241206
109,20160609,999186.3471123435
110,20160610,999158.9941927755
111,20160613,998871.1587683068
112,20160614,998771.5711800508
113,20160615,998711.080131089
114,20160616,998920.8451608472
115,20160617,998814.6340002783
116,20160620,998786.0585107991
117,20160621,999167.893275546
118,20160622,999112.6898625491
119,20160623,999336.6416560436
120,20160624,998654.7302169345
121,20160627,998170.4014063488
122,20160628,998420.8936907472
123,20160629,998591.9425481315
124,20160630,998702.9194645534
125,20160701,998699.3787316091
126,20160705,998696.9059419855
127,20160706,998720.448754685
128,20160707,998717.6506259295
129,20160708,998735.6823194993
130,20160711,998763.5883860148
131,20160712,998830.5228020089
132,20160713,998833.2366901969
133,20160714,998831.952468452
134,20160715,998827.1323477167
135,20160718,998843.7514935391
136,20160719,998699.5722413916
137,20160720,999145.0057763078
138,20160721,999130.1859492139
139,20160722,999277.815079707
140,20160725,999319.096551707
141,20160726,999319.7753422321
142,20160727,999169.0369225084
143,20160728,999167.1358725729
144,20160729,999232.1161822571
145,20160801,999222.0179566516
146,20160802,999219.2800928648
147,20160803,999219.2800928648
148,20160804,999236.217509898
149,20160805,999289.3004859335
150,20160808,999303.0345876511
151,20160809,999337.396252227
152,20160810,999297.5942314756
153,20160811,999371.7067210494
154,20160812,999236.0816163005
155,20160815,999306.67242373
156,20160816,999165.7835969215
157,20160817,999223.8701646196
158,20160818,999244.0769291057
159,20160819,999252.216175657
160,20160822,999285.3064818197
161,20160823,999464.7254339531
162,20160824,999503.6307786413
163,20160825,999647.3995565372
164,20160826,999552.6405061007
165,20160829,999600.5254835208
166,20160830,999439.7788771037
167,20160831,999068.6610793079
168,20160901,999167.253805314
169,20160902,999230.6223868949
170,20160906,999171.2693596752
171,20160907,999215.8993298073
