,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,999842.9877289137
3,20160107,995121.3830522583
4,20160108,994803.8019848969
5,20160111,998279.3336693759
6,20160112,998281.6688535203
7,20160113,985907.6948784199
8,20160114,990789.7794711473
9,20160115,981118.9361971638
10,20160119,982957.8345063112
11,20160120,981831.3923549606
12,20160121,983197.293366556
13,20160122,994289.4416619907
14,20160125,994323.1167502024
15,20160126,997217.9118184245
16,20160127,984372.1267652779
17,20160128,1025153.504074119
18,20160129,987069.7890376635
19,20160201,978628.8319306656
20,20160202,963062.7550452009
21,20160203,948756.0377678223
22,20160204,952110.3875103481
23,20160205,930055.9030245856
24,20160208,919609.0564578727
25,20160209,914487.7789191213
26,20160210,922355.1128425119
27,20160211,935413.8635538585
28,20160212,938885.4225849808
29,20160216,953044.8417171328
30,20160217,967453.9690535459
31,20160218,956946.8694048729
32,20160219,968055.3843902207
33,20160222,995016.5812507616
34,20160223,987555.7020328445
35,20160224,988830.6664411814
36,20160225,990151.2747552795
37,20160226,990203.8272624817
38,20160229,986651.2303783472
39,20160301,1020642.7800589323
40,20160302,1022169.2955397356
41,20160303,1018230.7855659025
42,20160304,1014782.4742761482
43,20160307,997125.6778362384
44,20160308,993405.820424378
45,20160309,992169.0975650726
46,20160310,991268.6026452616
47,20160311,1007157.6838222706
48,20160314,1012663.1383561911
49,20160315,1018329.0292288582
50,20160316,1013684.3357614684
51,20160317,987453.6958244094
52,20160318,974463.3451410837
53,20160321,977748.2991435714
54,20160322,989199.8050490703
55,20160323,1004370.0509281406
56,20160324,1027613.3836117327
57,20160328,1022176.3557138011
58,20160329,1045378.2561470862
59,20160330,1053592.6980020339
60,20160331,1044953.8202728054
61,20160401,1053478.601144294
62,20160404,1044417.9593883341
63,20160405,1032046.3034655524
64,20160406,1058297.4941503445
65,20160407,1040018.2902059144
66,20160408,1045563.9747055286
67,20160411,1047901.9216909377
68,20160412,1060628.6107444554
69,20160413,1081107.4004822888
70,20160414,1091470.535021208
71,20160415,1100082.846590891
72,20160418,1115426.6475768264
73,20160419,1102928.318686559
74,20160420,1111687.0140831831
75,20160421,1108297.953031665
76,20160422,1089822.841101715
77,20160425,1099830.285903377
78,20160426,1083467.25796526
79,20160427,1065785.6218975668
80,20160428,1058356.2423480724
81,20160429,1156913.7497591537
82,20160502,1199424.3308015766
83,20160503,1178240.8282040753
84,20160504,1177530.7427429678
85,20160505,1157809.3262800355
86,20160506,1183106.3263034062
87,20160509,1193011.4244007198
88,20160510,1231192.120905714
89,20160511,1248167.2770743242
90,20160512,1256280.7286471527
91,20160513,1242693.9935106314
92,20160516,1243801.3068036477
93,20160517,1220665.7075300948
94,20160518,1223983.8260027915
95,20160519,1225636.4921354586
96,20160520,1232489.7453880396
97,20160523,1222085.7970084327
98,20160524,1234295.907219735
99,20160525,1241316.600500238
100,20160526,1252775.77137166
101,20160527,1248097.0730699864
102,20160531,1266584.1611669057
103,20160601,1260771.7567759957
104,20160602,1276176.2015354193
105,20160603,1271532.9511007618
106,20160606,1273570.9169447236
107,20160607,1268308.5377716473
108,20160608,1273027.646507673
109,20160609,1274553.5579973245
110,20160610,1258414.3730498808
111,20160613,1253667.5956189341
112,20160614,1260779.7630063887
113,20160615,1252055.9815884088
114,20160616,1257646.8298314828
115,20160617,1238136.2376846925
116,20160620,1251490.6613604433
117,20160621,1254662.7719444844
118,20160622,1245514.4056299978
119,20160623,1265633.753651748
120,20160624,1225114.8020499093
121,20160627,1211795.3557708252
122,20160628,1240870.2107215382
123,20160629,1253441.3651726968
124,20160630,1253422.2570047844
125,20160701,1271016.6472786947
126,20160705,1275253.0255053446
127,20160706,1290877.2634009984
128,20160707,1288984.7134181587
129,20160708,1305150.8336205329
130,20160711,1318839.9097006938
131,20160712,1309074.3918319864
132,20160713,1299313.2230102443
133,20160714,1296811.7247017429
134,20160715,1286911.4700463922
135,20160718,1287949.01413261
136,20160719,1294598.8736304715
137,20160720,1304095.0652482905
138,20160721,1301813.523979788
139,20160722,1302549.4273359138
140,20160725,1293787.2219553122
141,20160726,1286957.3184617148
142,20160727,1288804.5689769774
143,20160728,1316688.5933060925
144,20160729,1327090.891087743
145,20160801,1341858.9512424383
146,20160802,1329278.8403252892
147,20160803,1318900.1853088299
148,20160804,1329610.8226359168
149,20160805,1338574.182719475
150,20160808,1339569.7667895395
151,20160809,1342436.811872221
152,20160810,1342822.6723195803
153,20160811,1347160.4675343689
154,20160812,1349094.1774038668
155,20160815,1342409.8748986942
156,20160816,1335554.101192555
157,20160817,1336435.5173829277
158,20160818,1336066.1142203668
159,20160819,1323960.6981871387
160,20160822,1327645.7508236782
161,20160823,1332802.8696122689
162,20160824,1323713.8098608803
163,20160825,1327157.1065547154
164,20160826,1343556.4445031693
165,20160829,1347420.961501674
