,date,assets
0,0,1000000.0
1,20160105,999999.9518621943
2,20160106,1000056.7519460549
3,20160107,996088.0689060239
4,20160108,992493.4988225987
5,20160111,993025.1918996642
6,20160112,995741.2287692879
7,20160113,986034.6652847375
8,20160114,992728.1767757005
9,20160115,981080.6976546408
10,20160119,985867.1816913891
11,20160120,983256.7721822088
12,20160121,989336.8709608743
13,20160122,1004807.1757464221
14,20160125,992074.633378491
15,20160126,993417.6484119934
16,20160127,979098.6052107739
17,20160128,1013421.8112315175
18,20160129,1027839.8699869262
19,20160201,1039244.9296467268
20,20160202,1056435.0692215732
21,20160203,1004364.9093926378
22,20160204,978211.6760267542
23,20160205,946836.9854405316
24,20160208,945622.502462725
25,20160209,939207.9257983109
26,20160210,947530.8664435642
27,20160211,946132.1577423951
28,20160212,945148.9708153446
29,20160216,957058.6165228559
30,20160217,981154.9769245823
31,20160218,965852.3578555294
32,20160219,970782.4068451783
33,20160222,978468.3721605847
34,20160223,963775.0882723042
35,20160224,968472.3116438355
36,20160225,976969.0671185022
37,20160226,976028.0612610315
38,20160229,965926.0006126717
39,20160301,995042.0981887575
40,20160302,995097.4215996894
41,20160303,986199.2990065219
42,20160304,984082.0583147168
43,20160307,962314.0964970795
44,20160308,960667.3165266946
45,20160309,976142.0633238243
46,20160310,986623.5837097511
47,20160311,1005943.6310503345
48,20160314,1011017.7091948949
49,20160315,1008078.7218504476
50,20160316,1018787.21051394
51,20160317,1021124.7354849881
52,20160318,1020875.6953160343
53,20160321,1027086.1059154178
54,20160322,1025232.6485973918
55,20160323,1021687.0430454323
56,20160324,1017802.596491171
57,20160328,1015356.3671701972
58,20160329,1030912.4682593768
59,20160330,1038885.4246164853
60,20160331,1031519.0262904718
61,20160401,1038329.4031342488
62,20160404,1031934.4757949337
63,20160405,1021566.9446997276
64,20160406,1031625.4015784967
65,20160407,1024068.5852792489
66,20160408,1022537.3744216526
67,20160411,1018260.5016309042
68,20160412,1027924.9582303829
69,20160413,1039489.1614006904
70,20160414,1041492.6911628598
71,20160415,1049496.7074652005
72,20160418,1060016.3183910933
73,20160419,1042543.0738144122
74,20160420,1040797.0396770088
75,20160421,1049743.4027901515
76,20160422,996602.3554873131
77,20160425,1002622.3490199323
78,20160426,982424.9860629193
79,20160427,979205.5019438239
80,20160428,958656.9131415046
81,20160429,961416.1214354498
82,20160502,968626.1658271379
83,20160503,960514.8333027094
84,20160504,964948.4628773028
85,20160505,972859.4177142605
