,date,assets
0,0,1000000.0
1,20160105,1000017.8599343
2,20160106,1000012.8232949
3,20160107,999910.5590310569
4,20160108,999907.800503578
5,20160111,999907.800503578
6,20160112,999907.800503578
7,20160113,999878.4186276954
8,20160114,1000044.3980157964
9,20160115,999704.6046170268
10,20160119,999624.5076355261
11,20160120,999667.1588261083
12,20160121,999629.4711646052
13,20160122,999656.4451579413
14,20160125,999635.0663169137
15,20160126,999655.4947147231
16,20160127,999652.5798440026
17,20160128,999652.5798440026
18,20160129,999912.1144290211
19,20160201,999839.1875769037
20,20160202,999490.2799090421
21,20160203,999373.0237055612
22,20160204,999334.8584108539
23,20160205,998774.952748653
24,20160208,998486.4588363329
25,20160209,998425.9494220277
26,20160210,998592.7726860141
27,20160211,998578.5246221431
28,20160212,998956.9392589104
29,20160216,999413.4594972368
30,20160217,1000010.1033135493
31,20160218,999918.5883772632
32,20160219,999783.3174150082
33,20160222,1000057.1702988879
34,20160223,999461.1032205388
35,20160224,999522.1501703784
36,20160225,999783.0906341473
37,20160226,999473.4856124372
38,20160229,999278.3143881058
39,20160301,1000031.41769452
40,20160302,1000178.929686942
41,20160303,999876.2144797031
42,20160304,999734.6493986257
43,20160307,999320.2609774055
44,20160308,999597.2686757526
45,20160309,1000047.2537578009
46,20160310,999737.5517005156
47,20160311,1000225.9108981056
48,20160314,1000260.1559619497
49,20160315,1000401.8501920946
50,20160316,1000665.5171273319
51,20160317,1000756.1931516472
52,20160318,1000304.7952207556
53,20160321,1000452.3059884115
54,20160322,1000537.371275145
55,20160323,1000500.972922857
56,20160324,1000556.1934747432
57,20160328,1000337.7309178129
58,20160329,1000815.0479100404
59,20160330,1000972.2146117644
60,20160331,1001058.3284519409
61,20160401,1001189.2976299952
62,20160404,1001120.017247084
63,20160405,1000661.6564435432
64,20160406,1000898.0658423237
65,20160407,1000669.2522151443
66,20160408,1000648.7948361671
67,20160411,1000603.5173499389
68,20160412,1000752.9760362863
69,20160413,1001123.9199928312
70,20160414,1001127.2875502488
71,20160415,1001278.710433327
72,20160418,1001778.8426035932
73,20160419,1001736.4246259105
74,20160420,1001314.2338613515
75,20160421,1001391.8184599173
76,20160422,999276.8762799767
77,20160425,999453.3422517099
78,20160426,999027.6106071428
79,20160427,998754.8155060274
80,20160428,998117.5670292932
81,20160429,998097.477198253
82,20160502,998455.2252280016
83,20160503,998080.6608653825
84,20160504,998108.1936146421
85,20160505,998135.0322004363
86,20160506,998373.969543891
87,20160509,998182.8126505181
88,20160510,998745.6303189351
89,20160511,998762.7688633995
90,20160512,999039.5084928405
91,20160513,998735.5440964361
92,20160516,999321.8539878892
93,20160517,998590.2646962901
94,20160518,998841.4995709484
95,20160519,998373.3100738593
96,20160520,998676.0114019987
97,20160523,998046.2640038854
98,20160524,999583.839078121
99,20160525,1000151.8863769597
100,20160526,999910.4815230235
101,20160527,1000383.0686652932
102,20160531,1001146.1318921876
103,20160601,1000958.7656087335
104,20160602,1000469.563747608
105,20160603,999505.6395527883
106,20160606,1000005.2638435588
107,20160607,999953.5190294129
108,20160608,999859.5206396164
109,20160609,999172.7585233862
110,20160610,998944.7103125596
111,20160613,996829.0727351061
112,20160614,996306.8372807297
113,20160615,996055.4640438689
114,20160616,997285.8449097659
115,20160617,996823.9269902406
116,20160620,996717.7790115762
117,20160621,998659.0105082183
118,20160622,998288.956778855
119,20160623,1000006.5734959374
120,20160624,995920.4726399621
121,20160627,993167.2144134877
122,20160628,995055.1137578546
123,20160629,997213.6361242203
124,20160630,998474.7209069703
125,20160701,998451.55400729
126,20160705,998467.0187265174
127,20160706,998867.351703038
128,20160707,998863.4670585186
129,20160708,1000514.2898041208
130,20160711,1001035.887788934
131,20160712,1002112.121670662
132,20160713,1002654.8524769482
133,20160714,1003072.0431014153
134,20160715,1002996.3168905805
135,20160718,1003496.1532655383
136,20160719,1001839.1417971035
137,20160720,1006962.4282916624
138,20160721,1006762.9602763971
139,20160722,1008221.6184274295
140,20160725,1008526.2135366267
141,20160726,1008580.9108840483
142,20160727,1007383.7327944252
143,20160728,1007422.1969790761
144,20160729,1008487.0103299061
145,20160801,1008260.3749262881
146,20160802,1008256.6233739224
147,20160803,1009151.6053192888
148,20160804,1010082.7929100556
149,20160805,1011399.6174585168
150,20160808,1011634.6361811557
151,20160809,1011971.552831716
152,20160810,1011514.4950455135
153,20160811,1012237.6856603979
154,20160812,1011313.1186572498
155,20160815,1011767.1487591416
156,20160816,1010976.3265457042
157,20160817,1011276.7061332524
158,20160818,1011374.6309827801
159,20160819,1011423.8277755042
160,20160822,1011550.310836202
161,20160823,1012124.4442225848
162,20160824,1012282.6853722121
163,20160825,1012856.7700453118
164,20160826,1012495.6404942484
165,20160829,1012674.6127221509
166,20160830,1012118.6786085748
167,20160831,1010978.2379512036
168,20160901,1011327.1606316161
169,20160902,1011542.4505525114
170,20160906,1011377.7678506123
171,20160907,1011513.8564439144
172,20160908,1010860.3928950884
173,20160909,1007333.4343655884
174,20160912,1009675.4076674321
175,20160913,1008168.478890711
176,20160914,1007358.3176948018
177,20160915,1010212.2498964542
178,20160916,1010386.0785921748
179,20160919,1009402.5551725498
180,20160920,1009030.7062945041
181,20160921,1011881.8335857445
182,20160922,1012062.370495073
183,20160923,1010849.629909483
184,20160926,1009248.0616704837
185,20160927,1012368.0670630834
186,20160928,1012593.0644349116
187,20160929,1010785.278773627
188,20160930,1011372.2782472926
189,20161003,1010840.4618542644
190,20161004,1010292.7052809017
191,20161005,1011533.0342952879
192,20161006,1011848.4062780713
193,20161007,1012041.0548207515
194,20161010,1012819.1400254376
195,20161011,1009968.9401420152
196,20161012,1009703.3519437676
197,20161013,1009065.8525751075
198,20161014,1010695.636474434
199,20161017,1010030.8356000913
200,20161018,1011451.0476590235
201,20161019,1011025.9870602473
202,20161020,1010081.7568948326
203,20161021,1018194.2900258929
204,20161024,1022792.1794594331
205,20161025,1022751.185432573
206,20161026,1021496.8046659272
207,20161027,1019616.2055610004
208,20161028,1018810.2334520742
209,20161031,1018982.4190121169
210,20161101,1018562.3017978008
211,20161102,1017253.956026716
212,20161103,1016459.1148100407
213,20161104,1014609.3000703715
214,20161107,1020877.7814325221
215,20161108,1021056.8695689829
216,20161109,1019934.7702837155
217,20161110,1014420.3265135346
218,20161111,1015621.6664175541
219,20161114,1012222.581384121
220,20161115,1016657.4053848812
221,20161116,1019754.6029366003
222,20161117,1023649.460649788
223,20161118,1022500.7360793242
224,20161121,1024502.0993482552
225,20161122,1025542.0020427703
226,20161123,1022683.633238971
227,20161125,1023201.1383484923
228,20161128,1023522.2375292516
229,20161129,1025462.5299072615
230,20161130,1022063.2333968236
231,20161201,1017777.9072265269
232,20161202,1017979.0300439899
233,20161205,1021943.2467460627
234,20161206,1020817.3571674662
235,20161207,1026585.8790320215
236,20161208,1025137.3954413892
237,20161209,1029037.0196578259
238,20161212,1029863.0212363049
239,20161213,1033295.0226357584
240,20161214,1031987.8604255468
241,20161215,1031538.8066889716
242,20161216,1030265.7644245657
243,20161219,1036224.6379357588
244,20161220,1035849.9680317582
245,20161221,1035849.2535843065
246,20161222,1035891.8466561398
247,20161223,1034429.3750109094
248,20161227,1034609.4262810311
249,20161228,1033234.041934666
250,20161229,1032806.4913334138
251,20161230,1029127.6934381753
252,20170103,1031268.3467805623
253,20170104,1029886.9021960283
254,20170105,1029885.709060749
255,20170106,1032594.191864098
256,20170109,1031564.39949013
257,20170110,1031454.2131760778
258,20170111,1034438.8082191445
259,20170112,1031378.4423507967
260,20170113,1031854.7780897913
261,20170117,1030937.7260268022
262,20170118,1030771.2623946776
263,20170119,1029676.0670956322
264,20170120,1032042.3490150538
265,20170123,1033220.1356088805
266,20170124,1036247.9892693901
267,20170125,1037113.2477518681
268,20170126,1040354.3473104138
269,20170127,1048750.1154114036
270,20170130,1045131.4741270369
271,20170131,1042445.4357941207
272,20170201,1036395.6137319731
273,20170202,1034059.1591751946
274,20170203,1036938.9998415832
275,20170206,1036711.5806678736
276,20170207,1035545.0678582238
277,20170208,1035032.271649488
278,20170209,1039148.9975135128
279,20170210,1038805.2521148406
280,20170213,1042858.410713009
281,20170214,1044202.6404055544
282,20170215,1043968.1238730182
283,20170216,1043904.8028744387
284,20170217,1044486.0416431769
285,20170221,1043715.5154129949
286,20170222,1042944.6321360354
287,20170223,1044501.4220440863
288,20170224,1044500.3455211846
289,20170227,1042161.2338564453
290,20170228,1040666.6588120477
291,20170301,1046325.6051177706
292,20170302,1040820.3354812106
293,20170303,1042257.3230200764
294,20170306,1042374.2130115363
295,20170307,1043172.0842426912
296,20170308,1046849.1461818194
297,20170309,1045216.0002424244
298,20170310,1046471.2486150226
299,20170313,1045076.5561928416
300,20170314,1043193.4702645277
301,20170315,1045284.8380158397
302,20170316,1044589.7102935805
303,20170317,1046038.6343603922
304,20170320,1046417.2454311086
305,20170321,1041875.5170848533
306,20170322,1047108.0658961884
307,20170323,1046089.0074409808
308,20170324,1046792.5785301616
309,20170327,1047562.7247824096
310,20170328,1048788.659749393
311,20170329,1049963.0258126727
312,20170330,1051539.3080587485
313,20170331,1052527.6585304914
314,20170403,1050447.7757566795
315,20170404,1051660.2583628097
316,20170405,1050491.6953303746
317,20170406,1051638.813610119
318,20170407,1051292.2115811282
319,20170410,1050273.8336893967
320,20170411,1049930.3073941031
321,20170412,1048200.2073627084
322,20170413,1046273.9377775345
323,20170417,1049922.7381018314
324,20170418,1049290.857366825
325,20170419,1046880.1292020646
326,20170420,1049990.6910252194
327,20170421,1056137.3400639056
328,20170424,1063903.7604282133
329,20170425,1066615.8112639892
330,20170426,1065973.4730083384
331,20170427,1069033.8834402158
332,20170428,1070350.1873199146
333,20170501,1076845.939114597
334,20170502,1076095.8751445133
335,20170503,1074606.9663272568
336,20170504,1072783.047361643
337,20170505,1074077.3911176375
