,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000057.9861953678
3,20160107,1000251.6970122715
4,20160108,1000223.3797431013
5,20160111,1000173.9948413584
6,20160112,1000162.0324544335
7,20160113,1000197.6712582097
8,20160114,1000020.6140156253
9,20160115,1000050.7772489488
10,20160119,1000029.0345821262
11,20160120,1000052.5791636991
12,20160121,1000050.805436056
13,20160122,999989.5187311429
14,20160125,1000123.1431438128
15,20160126,1000385.8729883254
16,20160127,1000505.504006889
17,20160128,1000193.5239788054
18,20160129,1000289.3049394831
19,20160201,1000652.8548814795
20,20160202,1000664.5200101947
21,20160203,1001177.1979724828
22,20160204,1001684.3002827417
23,20160205,1002529.2753469411
24,20160208,1003355.1030239182
25,20160209,1003180.8336709407
26,20160210,1003830.8333778812
27,20160211,1007016.2022797088
28,20160212,1006453.9178344191
29,20160216,1003974.4209221978
30,20160217,1004469.8863994003
31,20160218,1006607.9563811594
32,20160219,1006084.0545576625
33,20160222,1004668.8933804939
34,20160223,1005659.7372093122
35,20160224,1005893.196930834
36,20160225,1006088.9779125475
37,20160226,1005574.3037307092
38,20160229,1006602.8867594241
39,20160301,1005989.8376162262
40,20160302,1006525.1117765796
41,20160303,1007699.2310028211
42,20160304,1007597.0409796358
43,20160307,1007929.5629076668
44,20160308,1007539.8456590457
45,20160309,1006808.7393128535
46,20160310,1008313.8570725098
47,20160311,1006490.1185116186
48,20160314,1005295.5393582473
49,20160315,1005350.7763423498
50,20160316,1006920.1241871694
51,20160317,1006585.5156993277
52,20160318,1006309.1128056856
53,20160321,1005576.1923979408
54,20160322,1005889.9069639192
55,20160323,1003682.4109422433
56,20160324,1003415.0623778384
57,20160328,1003676.9820710854
58,20160329,1006069.780493094
59,20160330,1004114.2676721066
60,20160331,1004790.3502536725
61,20160401,1003803.2694266238
62,20160404,1002701.2757325176
63,20160405,1004664.3129749371
64,20160406,1003644.3641995501
65,20160407,1006139.8372250062
66,20160408,1005873.3192920198
67,20160411,1008170.9730015731
68,20160412,1008198.0574702468
69,20160413,1006490.5726614605
70,20160414,1004113.8862904251
71,20160415,1005300.1071463266
72,20160418,1005016.8801333028
73,20160419,1008009.8426194048
74,20160420,1007062.7497862717
75,20160421,1007785.7003215284
76,20160422,1005174.9917043786
77,20160425,1005775.5623599591
78,20160426,1006657.2151655775
79,20160427,1007257.704821358
80,20160428,1011329.8091586566
81,20160429,1015606.5223558024
82,20160502,1014810.120599506
83,20160503,1014267.8925740463
84,20160504,1012843.850800362
85,20160505,1012552.6451326385
86,20160506,1014641.4037987085
87,20160509,1009616.8305841095
88,20160510,1010283.6467331917
89,20160511,1012633.2144575372
90,20160512,1010567.2726636917
91,20160513,1011746.9637871591
92,20160516,1011939.0596361279
93,20160517,1012820.5117821565
94,20160518,1008382.1147341627
95,20160519,1007865.915717066
96,20160520,1007516.1076534428
97,20160523,1006732.8420970746
98,20160524,1001818.0271103006
99,20160525,1001016.3642811736
100,20160526,1000026.1185983687
101,20160527,997543.4148001377
102,20160531,998660.4010494531
103,20160601,998344.3116666508
104,20160602,997648.1003684871
105,20160603,1006007.8243617765
106,20160606,1006107.4832897055
107,20160607,1005841.0612578054
108,20160608,1010656.7347796408
109,20160609,1012414.4173086283
110,20160610,1013733.0061909028
111,20160613,1016247.4202725915
112,20160614,1016612.9865335496
113,20160615,1019299.3704104782
114,20160616,1015394.716261059
115,20160617,1020249.346813896
116,20160620,1017965.6140383664
117,20160621,1010408.7187805092
118,20160622,1010591.2173823928
119,20160623,1008086.619684746
120,20160624,1027310.4154251602
121,20160627,1029586.5880574731
122,20160628,1024879.493940911
123,20160629,1026677.6978901722
124,20160630,1028892.1223143202
125,20160701,1035531.1779560419
126,20160705,1039237.9700221436
127,20160706,1041965.8649863887
128,20160707,1040206.9782507096
129,20160708,1042911.1793459301
130,20160711,1038736.3085205529
131,20160712,1031302.6076754563
132,20160713,1035231.1372506968
133,20160714,1031941.2946775747
134,20160715,1030325.3350172879
135,20160718,1030950.9393157478
136,20160719,1031493.8834116363
137,20160720,1025682.8125180784
138,20160721,1031958.5385240832
139,20160722,1028842.108987086
140,20160725,1025856.3141148912
141,20160726,1027672.1919501714
142,20160727,1034489.9130282837
143,20160728,1033219.1315697159
144,20160729,1037626.6155660234
145,20160801,1038424.7173801861
146,20160802,1041979.6813378569
147,20160803,1039830.5623817052
148,20160804,1040555.3854078746
149,20160805,1032599.7204827094
150,20160808,1032199.1933108899
151,20160809,1034057.1092675163
152,20160810,1036147.7655799825
153,20160811,1033025.1670136431
154,20160812,1032048.3219738656
155,20160815,1033649.4232282662
156,20160816,1035917.3099818048
157,20160817,1036010.7431606648
158,20160818,1038081.912638095
159,20160819,1034060.2830977461
160,20160822,1033395.5792296628
161,20160823,1033316.3447359274
162,20160824,1028378.5981023766
