,date,assets
0,0,1000000.0
1,20160105,1000043.7716592
2,20160106,1000114.251737
3,20160107,999852.1419459999
4,20160108,999947.5167599999
5,20160111,999862.2546280999
6,20160112,1000225.1948418999
7,20160113,998695.9646960999
8,20160114,998745.6232290999
9,20160115,998139.7116721999
10,20160119,997973.4512090998
11,20160120,997654.3167919999
12,20160121,997879.9100430998
13,20160122,997272.0221634591
14,20160125,996223.2532191015
15,20160126,996457.9232743707
16,20160127,994837.0388518488
17,20160128,993095.7550618029
18,20160129,995488.6135309994
19,20160201,996707.2023996802
20,20160202,993268.537624493
21,20160203,993991.1317324284
22,20160204,995448.7707586372
23,20160205,991439.6146055082
24,20160208,989359.6309347594
25,20160209,990457.8728960037
26,20160210,991084.4444495257
27,20160211,990627.5128676265
28,20160212,992751.0882341923
29,20160216,994813.0836164191
30,20160217,998462.3256731346
31,20160218,999757.1330871007
32,20160219,1000604.5400831081
33,20160222,1004890.7908381105
34,20160223,1005650.4205785949
35,20160224,1006448.0493257563
36,20160225,1010079.3354723754
37,20160226,1008826.7075159585
38,20160229,1008146.0439194606
39,20160301,1010127.5691981182
40,20160302,1008290.8462863953
41,20160303,1008589.9913756944
42,20160304,1006750.0356165481
43,20160307,1006674.8544366963
44,20160308,1007072.9852083573
45,20160309,1009807.3880894202
46,20160310,1009572.5129894029
47,20160311,1013787.1467621713
48,20160314,1015761.8139262572
49,20160315,1014930.7957925405
50,20160316,1017168.4745621817
51,20160317,1014785.1446576836
52,20160318,1018760.1845922733
53,20160321,1020969.3016233542
54,20160322,1019249.4085247549
55,20160323,1018413.387721814
56,20160324,1016663.9663757628
57,20160328,1015456.691581545
58,20160329,1019515.0043884756
59,20160330,1021207.1924418589
60,20160331,1020287.4789818515
61,20160401,1019039.7833979602
62,20160404,1016660.9916000431
63,20160405,1014109.4790330023
64,20160406,1014321.5975386731
65,20160407,1014207.3836088721
66,20160408,1018962.7948243312
67,20160411,1018218.1787700653
68,20160412,1019835.4163643017
69,20160413,1026836.2851339693
70,20160414,1032036.646642565
71,20160415,1034038.041888993
72,20160418,1034403.9400965329
73,20160419,1034587.5231827535
74,20160420,1034073.7981765438
75,20160421,1038462.8261395638
76,20160422,1035311.0441108712
77,20160425,1032645.4137458173
78,20160426,1028119.5719050481
79,20160427,1023940.2877520865
80,20160428,1013456.7905571733
81,20160429,1017322.1661822626
82,20160502,1013039.1313557848
83,20160503,1006763.0719245046
84,20160504,995946.6025430483
85,20160505,994992.0461347256
86,20160506,996468.2817283118
87,20160509,999909.5344360247
88,20160510,1004911.8328985496
89,20160511,999294.701319746
90,20160512,992450.0363759226
91,20160513,995075.9767675607
92,20160516,1000314.3501211375
93,20160517,1000072.60303947
