,date,assets
0,0,1187336.4087368136
1,20120202,1225046.1960201645
2,20120203,1229507.5400521313
3,20120206,1234497.9018229507
4,20120207,1233477.9501209224
5,20120208,1234673.083873152
6,20120209,1235198.2336194536
7,20120210,1233529.177506599
8,20120213,1235042.7517693993
9,20120214,1234291.8706689063
10,20120215,1233230.6816074527
11,20120216,1233466.3905778285
12,20120217,1233067.9187791555
13,20120221,1235337.498923639
14,20120222,1234119.8718173136
15,20120223,1233661.5542792056
16,20120224,1234717.7820787749
17,20120227,1234547.6582797766
18,20120228,1236417.9913996044
19,20120229,1236366.3637012392
20,20120301,1237122.461458687
21,20120302,1236869.4287038115
22,20120305,1235259.4949197022
23,20120306,1233466.6140178873
24,20120307,1233789.4133956514
25,20120308,1233803.166826761
26,20120309,1232984.827289165
27,20120312,1233606.3152705594
28,20120313,1235823.2731464123
29,20120314,1235384.8596632322
30,20120315,1236780.7448903525
31,20120316,1237945.5365205859
32,20120319,1240166.6837876078
33,20120320,1240015.0404749298
34,20120321,1241571.8723237356
35,20120322,1242719.5143587664
36,20120323,1242155.7265515493
37,20120326,1242955.7235941004
38,20120327,1242722.7438755892
39,20120328,1243935.405564717
40,20120329,1243178.8907224345
41,20120330,1242203.3974270867
42,20120402,1242733.8669689852
43,20120403,1242421.5552715953
44,20120404,1242251.8769499338
45,20120405,1242027.109385621
46,20120409,1241834.5101476228
47,20120410,1241557.134873576
48,20120411,1241918.4831468957
49,20120412,1242951.3732308703
50,20120413,1241493.5009304823
51,20120416,1240034.5851016105
52,20120417,1240451.578783667
53,20120418,1240197.0391137714
54,20120419,1239619.5360029498
55,20120420,1239210.7328750528
56,20120423,1239437.8701358307
57,20120424,1239837.3460551752
58,20120425,1240947.0463900417
59,20120426,1241868.6300510268
60,20120427,1241787.455737918
61,20120430,1239963.9431682895
62,20120501,1239857.7863673344
