,date,assets
0,0,1131014.4640814743
1,20130507,931008.1976673168
2,20130508,930864.7431117339
3,20130509,930728.1408768161
4,20130510,930740.4045922891
5,20130513,930861.7659106471
6,20130514,931119.6502071716
7,20130515,931225.0665772156
8,20130516,931306.8676944246
9,20130517,931643.1332095716
10,20130520,931748.1085389149
11,20130521,931609.8358599553
12,20130522,931456.4781586848
13,20130523,931199.3747616693
14,20130524,931273.0582788248
15,20130528,931812.9723862053
16,20130529,931696.6825074655
17,20130530,931827.9048833491
18,20130531,931719.1499780463
19,20130603,932282.7773229813
20,20130604,931840.8350749427
21,20130605,931683.9716872658
22,20130606,931830.4404385393
23,20130607,932436.4806551288
24,20130610,932264.0234915906
25,20130611,931711.1447838168
26,20130612,931834.7627437896
27,20130613,931586.2920111945
28,20130614,931330.1168231207
29,20130617,931809.8860922534
30,20130618,931791.0714779095
31,20130619,931489.3904319375
32,20130620,930614.0526605882
33,20130621,930432.6937960034
34,20130624,930802.8712203741
35,20130625,930761.3388428107
36,20130626,931289.3952710343
37,20130627,931519.8530381701
38,20130628,931454.5791069749
39,20130701,931307.3806402147
40,20130702,930973.2666911498
41,20130703,931028.1395267327
42,20130705,931199.7709647327
43,20130708,931307.0078976554
44,20130709,931324.0134632451
45,20130710,931660.7487615724
46,20130711,932694.3471454602
47,20130712,932672.1595078985
48,20130715,933182.0534098935
49,20130716,933289.4809287101
50,20130717,932707.5249641578
51,20130718,932400.7960361597
52,20130719,928079.5572960019
53,20130722,928700.470229602
54,20130723,928492.6174208758
55,20130724,928650.389097472
56,20130725,928000.2263151128
57,20130726,928255.2668283922
58,20130729,928170.3882372853
59,20130730,928471.8370843346
60,20130731,928461.9100122774
61,20130801,928292.4114378066
62,20130802,928506.5850589654
