,date,assets
0,0,8225115.630184575
1,20091102,112088.81885711114
2,20091103,112081.10721339716
3,20091104,112028.00153759966
4,20091105,112143.47077210934
5,20091106,112379.90785947442
6,20091109,112752.46898587933
7,20091110,112644.2378255035
8,20091111,113146.85826622826
9,20091112,112782.76847341582
10,20091113,112897.26704029135
11,20091116,113083.88169127813
12,20091117,112910.29122421888
13,20091118,112817.82729289861
14,20091119,112667.59942227509
15,20091120,112742.96491811867
16,20091123,112871.43929244333
17,20091124,112704.60305952604
18,20091125,112833.79481229484
19,20091127,112744.99113755043
20,20091130,112928.45407843875
21,20091201,113063.50699902879
22,20091202,113118.59970258156
23,20091203,113219.12474706188
24,20091204,113926.43556753025
25,20091207,113794.48495565569
26,20091208,113799.07741008971
27,20091209,113952.72471022348
28,20091210,113940.8214403078
29,20091211,114709.26699034432
30,20091214,114720.4886383326
31,20091215,114536.98641969988
32,20091216,115017.35608271965
33,20091217,115120.88825734428
34,20091218,115064.94145145458
35,20091221,115141.90090593668
36,20091222,115287.1963708027
37,20091223,115462.75441832011
38,20091224,115398.62928035008
39,20091228,115298.90548717257
40,20091229,115279.38616544672
41,20091230,115225.73957746553
42,20091231,115275.17008895143
43,20100104,115010.37053930623
44,20100105,115620.51346681663
45,20100106,115239.45804464396
46,20100107,115438.57782507608
47,20100108,115135.52839865931
48,20100111,115273.88355286384
49,20100112,115132.28689635696
50,20100113,115367.33564052051
51,20100114,115280.18753838234
52,20100115,115039.97225121871
53,20100119,115066.86757802885
54,20100120,115109.55241206533
55,20100121,115613.30071679485
56,20100122,115613.28724912714
57,20100125,115115.51940406654
58,20100126,115530.09142490804
59,20100127,115193.68379068338
60,20100128,115283.8827092819
61,20100129,115092.17265866316
62,20100201,115494.88930560295
