,date,assets
0,0,2597275.253858383
1,20130806,28474293.41267502
2,20130807,27861803.175415874
3,20130808,27672969.014819365
4,20130809,28619787.44775078
5,20130812,28828544.793796465
6,20130813,28994048.591859974
7,20130814,29235756.47957199
8,20130815,29455555.1382218
9,20130816,29777632.459599655
10,20130819,29428621.047613848
11,20130820,28751721.29298943
12,20130821,28275827.907413367
13,20130822,28702966.05791429
14,20130823,29295560.48634742
15,20130826,29366184.51318127
16,20130827,30641181.29917252
17,20130828,30866541.064327426
18,20130829,30224982.85840308
19,20130830,30158242.042994935
20,20130903,30448777.18225542
21,20130904,29914283.18703587
22,20130905,30325225.38381699
23,20130906,31009515.086138636
24,20130909,30464274.231805705
25,20130910,29713887.03927701
26,20130911,29894788.412214465
27,20130912,30338968.750965483
28,20130913,30320414.020616725
29,20130916,29390775.938483797
30,20130917,28943714.754078805
31,20130918,30058501.995472685
32,20130919,29336627.35575773
33,20130920,28999425.40453721
34,20130923,28465362.38456703
35,20130924,28437450.949651618
36,20130925,28040777.519632865
37,20130926,28260821.830905996
38,20130927,28149081.161200397
39,20130930,28042380.719063062
40,20131001,27832049.540186375
41,20131002,28569582.22510162
42,20131003,28262205.925818697
43,20131004,28457394.046697646
44,20131007,28269752.11771574
45,20131008,28437392.67349419
46,20131009,27648797.514550947
47,20131010,28251333.219434664
48,20131011,27954740.290229216
49,20131014,28069110.337836333
50,20131015,27653458.527017854
51,20131016,28107432.41529552
52,20131017,27576675.632167563
53,20131018,27674964.614038136
54,20131021,27269293.460610867
55,20131022,26844127.40791318
56,20131023,26386447.588275097
57,20131024,26414283.889569916
58,20131025,26719748.952733904
59,20131028,26933567.635050848
60,20131029,26818768.5120176
61,20131030,26338031.430204082
62,20131031,26169437.6658311
