,date,assets
0,0,4328915.713663265
1,20091102,4329005.241479979
2,20091103,4328998.1776148435
3,20091104,4328998.1776148435
4,20091105,4328998.1776148435
5,20091106,4328999.555408036
6,20091109,4329005.122023542
7,20091110,4329015.876503827
8,20091111,4329180.743413342
9,20091112,4328837.508878114
10,20091113,4329345.42883769
11,20091116,4329786.252673489
12,20091117,4329822.366074092
13,20091118,4329859.175302857
14,20091119,4329857.776577722
15,20091120,4329848.362870953
16,20091123,4329955.975980182
17,20091124,4329946.033768549
18,20091125,4330123.560768249
19,20091127,4329857.807220258
20,20091130,4329946.83144945
21,20091201,4330031.787651393
22,20091202,4330025.276413447
23,20091203,4329992.082837755
24,20091204,4329516.814070842
25,20091207,4329380.599075476
26,20091208,4328848.555764318
27,20091209,4328799.6462113345
28,20091210,4328785.963183592
29,20091211,4328273.896425857
30,20091214,4328615.511101666
31,20091215,4328596.345551937
32,20091216,4329161.116884243
33,20091217,4327828.392301413
34,20091218,4328479.298851358
35,20091221,4327621.2489620745
36,20091222,4327262.566609727
37,20091223,4327426.582447282
38,20091224,4328191.717141417
39,20091228,4328273.517050833
40,20091229,4327832.27066366
41,20091230,4327548.786394805
42,20091231,4327768.018055411
43,20100104,4329155.258971199
44,20100105,4329083.114163596
45,20100106,4330177.014339048
46,20100107,4329689.481978347
47,20100108,4330074.082294377
48,20100111,4330984.481281532
49,20100112,4329271.300657114
50,20100113,4329945.902325876
51,20100114,4330302.230030133
52,20100115,4329361.097521401
53,20100119,4329839.555057433
54,20100120,4327894.529868964
55,20100121,4326858.217907452
56,20100122,4326736.851566399
57,20100125,4326888.644664637
58,20100126,4326927.053627745
59,20100127,4326303.508499796
60,20100128,4326270.861848092
61,20100129,4325889.200739502
62,20100201,4327622.33804349
