,date,assets
0,0,15373268.021077732
1,20101102,18500635.791280355
2,20101103,18559399.45551045
3,20101104,18655025.18807203
4,20101105,18667005.776606802
5,20101108,18658732.17304694
6,20101109,18609772.013839822
7,20101110,18791749.113321405
8,20101111,18749290.042323437
9,20101112,18645676.652782287
10,20101115,18646397.722341675
11,20101116,18525875.349780817
12,20101117,18430756.251311228
13,20101118,18561244.42460735
14,20101119,18510315.632393368
15,20101122,18480590.86002119
16,20101123,18465150.289691284
17,20101124,18713020.786948606
18,20101126,18687275.42616985
19,20101129,18912053.446097646
20,20101130,18666275.52709601
21,20101201,18990737.208010063
22,20101202,19133838.678498343
23,20101203,19311690.06861858
24,20101206,19293154.491020367
25,20101207,19139979.76307945
26,20101208,19189670.521002382
27,20101209,19174390.35738807
28,20101210,19117551.622136697
29,20101213,19177837.131367482
30,20101214,19186904.64208565
31,20101215,19216571.57466779
32,20101216,19180510.29042185
33,20101217,19187182.15196754
34,20101220,19249379.357559063
35,20101221,19286483.59334089
36,20101222,19358402.80312648
37,20101223,19400646.37208545
38,20101227,19369039.34804408
39,20101228,19388664.70321375
40,20101229,19379335.456948023
41,20101230,19262007.71843488
42,20101231,19419321.83389696
43,20110103,19444547.17664155
44,20110104,19201080.836305168
45,20110105,19344809.00060549
46,20110106,19065660.7365514
47,20110107,19048837.62435955
48,20110110,19214904.44012683
49,20110111,19404700.198273174
50,20110112,19446549.458283447
51,20110113,19362488.344325833
52,20110114,19435541.989736483
53,20110118,19375570.510022268
54,20110119,19341507.23787217
55,20110120,19198793.750541553
56,20110121,19186058.506179195
57,20110124,19070691.27715356
58,20110125,18901656.5492099
59,20110126,19041834.4616129
60,20110127,18844866.909199405
61,20110128,19278735.66592239
62,20110131,19503402.288810953
