,date,assets
0,0,1000000.0
1,20160105,999616.299801
2,20160106,999528.6024915908
3,20160107,998496.7710974897
4,20160108,998432.3382479372
5,20160111,998497.6272628879
6,20160112,998492.069011865
7,20160113,998492.069011865
8,20160114,998492.069011865
9,20160115,998442.9930838892
10,20160119,998441.7979314566
11,20160120,998441.7979314566
12,20160121,998709.6209294565
13,20160122,1002883.1523947903
14,20160125,1002896.2351183919
15,20160126,1004107.0208441719
16,20160127,998411.4671639714
17,20160128,1017972.6447797085
18,20160129,1004523.1279531422
19,20160201,999870.5523392007
20,20160202,991699.1394003227
21,20160203,981983.3344040054
22,20160204,984705.3072426578
23,20160205,969911.464790625
24,20160208,963006.9507809052
25,20160209,960350.0989447499
26,20160210,963873.1968526737
27,20160211,968902.7765200296
28,20160212,970412.4543083602
29,20160216,976308.1332213152
30,20160217,981303.7328020921
31,20160218,976965.3878753309
32,20160219,981451.3905108895
33,20160222,990107.9042087925
34,20160223,987469.3681364527
35,20160224,987742.3421604239
36,20160225,987907.2067969117
37,20160226,987889.514214995
38,20160229,986856.1845016256
39,20160301,997258.7071504596
40,20160302,997543.4992494253
41,20160303,996606.1152365806
42,20160304,995861.9220025503
43,20160307,993206.3259011896
44,20160308,992869.2740964689
45,20160309,992730.5940391166
46,20160310,992573.4716911883
47,20160311,995347.3924704762
48,20160314,996000.0691285027
49,20160315,996838.6833559452
50,20160316,995851.3271028465
51,20160317,990540.8741421414
52,20160318,988493.2594228035
53,20160321,988935.1116245866
54,20160322,990985.0689845899
55,20160323,993463.9638518498
56,20160324,996819.4640311821
57,20160328,995937.2249639857
58,20160329,1001210.6614016978
59,20160330,1003387.5002862129
60,20160331,1001020.8188491274
61,20160401,1002995.5603916852
62,20160404,1000789.4668794582
63,20160405,997651.3370298613
64,20160406,1004502.4461938685
65,20160407,1000848.9785779235
66,20160408,1001986.4086203874
67,20160411,1002277.5773893837
68,20160412,1004850.6422747974
69,20160413,1007861.5894377364
70,20160414,1009479.1605763808
71,20160415,1010992.5114078935
72,20160418,1013474.1495371533
73,20160419,1011014.298949663
74,20160420,1013114.8553944137
75,20160421,1012006.7682886957
76,20160422,1007477.2333753285
77,20160425,1009436.5216048288
78,20160426,1006785.1009692464
79,20160427,1004281.100936547
80,20160428,1003578.2167184218
81,20160429,1017370.1980047241
82,20160502,1021120.0214455514
83,20160503,1017833.3915803215
84,20160504,1017722.5579076386
85,20160505,1015340.7940056066
86,20160506,1019718.9250158425
87,20160509,1020811.492912543
88,20160510,1026163.3244334218
89,20160511,1027417.7147474117
90,20160512,1028429.1992645569
91,20160513,1027313.0295983464
92,20160516,1027332.0298534761
93,20160517,1026756.9790566955
94,20160518,1026982.730273694
95,20160519,1027044.3409463414
96,20160520,1027780.4388618867
97,20160523,1026768.5919029693
98,20160524,1028669.2946718804
99,20160525,1030111.4527668416
100,20160526,1033087.6039387829
101,20160527,1031565.6359567691
102,20160531,1037202.390367608
103,20160601,1035117.621665251
104,20160602,1041265.9596661208
105,20160603,1039041.161385304
106,20160606,1039936.0166052075
107,20160607,1037262.5592348883
108,20160608,1039855.854270877
109,20160609,1040764.7903742511
110,20160610,1032547.8650258671
111,20160613,1030384.7434738753
112,20160614,1033392.0234452029
113,20160615,1029809.417866711
114,20160616,1032037.5827146013
115,20160617,1025272.5047557339
116,20160620,1029033.280899985
117,20160621,1029690.9660874356
118,20160622,1027688.8956828052
119,20160623,1031988.4375320957
120,20160624,1025078.3462769163
121,20160627,1023321.5643505538
122,20160628,1026682.6388402224
123,20160629,1028933.4097643155
124,20160630,1028865.9231146851
125,20160701,1031847.3099349856
126,20160705,1032751.142393995
127,20160706,1036686.763338724
128,20160707,1036249.71829135
129,20160708,1040517.7022374719
130,20160711,1043357.8516700489
131,20160712,1041693.8724654582
132,20160713,1039677.6056529663
133,20160714,1038955.9897343693
134,20160715,1036592.047773792
135,20160718,1036784.9744370233
136,20160719,1037716.1963455164
137,20160720,1039283.0381484996
138,20160721,1038984.7819372918
139,20160722,1039027.8994270933
140,20160725,1038011.2343202508
141,20160726,1037201.2870747203
142,20160727,1037449.7878424493
143,20160728,1043723.6789527663
144,20160729,1045877.8515086381
145,20160801,1049846.7401804472
146,20160802,1046019.4784495381
147,20160803,1043409.2133941492
148,20160804,1045622.6867444562
149,20160805,1047986.2930353556
150,20160808,1048245.6064747905
151,20160809,1049279.114494903
152,20160810,1049379.9953662849
153,20160811,1050920.0215294596
154,20160812,1051695.3084011395
155,20160815,1049218.7979718973
156,20160816,1046438.4441756723
157,20160817,1046765.0889215637
158,20160818,1046623.0844139075
159,20160819,1042205.8443776483
160,20160822,1043449.9553760419
161,20160823,1045406.2516759686
162,20160824,1041826.3647666567
163,20160825,1043183.4507525377
164,20160826,1048872.8606018592
165,20160829,1050208.4017743582
166,20160830,1048332.7119281015
167,20160831,1048978.7162427085
168,20160901,1049676.715302723
169,20160902,1050741.6716937425
170,20160906,1061876.0484053432
171,20160907,1058372.2347865691
172,20160908,1057924.1342339907
173,20160909,1035998.1257580108
174,20160912,1046279.4341171107
175,20160913,1036906.7209387245
176,20160914,1036944.9364398965
177,20160915,1044987.0367272047
178,20160916,1052289.3891092096
179,20160919,1049695.3815558616
180,20160920,1052938.3174957242
181,20160921,1058066.2232881156
182,20160922,1066107.642613741
183,20160923,1066510.1169903688
184,20160926,1063919.3680265371
185,20160927,1070489.5148231904
186,20160928,1074082.3677480556
187,20160929,1074062.585493377
188,20160930,1074732.755430959
189,20161003,1074656.416882522
190,20161004,1074438.2106040542
191,20161005,1075093.6128227874
192,20161006,1075039.8983067148
193,20161007,1075039.8983067148
194,20161010,1075039.8983067148
195,20161011,1073884.725104515
196,20161012,1074043.2984795729
197,20161013,1073830.2427207252
198,20161014,1073314.2758087772
199,20161017,1072711.719024756
200,20161018,1072786.5660125504
201,20161019,1072757.397893767
202,20161020,1072459.9595573149
203,20161021,1072475.1769687757
204,20161024,1074043.4232628706
205,20161025,1073707.5230335356
206,20161026,1073132.4728841379
207,20161027,1072927.4193334559
208,20161028,1072888.7190737973
209,20161031,1073481.9593915092
210,20161101,1073102.9135605886
211,20161102,1071282.7937789005
212,20161103,1071212.9380615752
213,20161104,1070751.7675058183
214,20161107,1074745.2782834312
215,20161108,1075093.492625736
216,20161109,1071424.2119255052
217,20161110,1061722.7988759864
218,20161111,1060650.6297560944
219,20161114,1054842.5528688508
220,20161115,1062632.5091176732
221,20161116,1063613.0849744193
222,20161117,1067559.2253235788
223,20161118,1069013.6716068108
224,20161121,1078612.3493977203
225,20161122,1081107.8739121573
226,20161123,1079098.1378269864
227,20161125,1079137.7935303997
228,20161128,1071298.6477591873
