,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000000.0
3,20160107,1000000.0
4,20160108,1000000.0
5,20160111,1000000.5110439529
6,20160112,1000634.6706576305
7,20160113,1000585.3213825792
8,20160114,1001931.2626827792
9,20160115,999165.5529136588
10,20160119,1000128.1980984182
11,20160120,999461.0642554902
12,20160121,1001734.6776667802
13,20160122,1007657.4271458519
14,20160125,1003516.0012167518
15,20160126,1003724.583600316
16,20160127,1000956.9724831237
17,20160128,1006291.3084961576
18,20160129,1007094.8404052214
19,20160201,1007966.9002911294
20,20160202,1009856.5856008502
21,20160203,1005501.8096281613
22,20160204,1005149.8745725453
23,20160205,1005139.4360966824
24,20160208,1004988.0773959826
25,20160209,1004562.5955562441
26,20160210,1005121.0887270669
27,20160211,1004930.5126293612
28,20160212,1004701.925021912
29,20160216,1007538.0112820019
30,20160217,1015085.1331820509
31,20160218,1010815.2426906887
32,20160219,1012464.6293390912
33,20160222,1015151.4299480784
34,20160223,1009830.6751277122
35,20160224,1011796.3382365487
36,20160225,1015667.0382017619
37,20160226,1015101.5115345533
38,20160229,1009703.8653224492
39,20160301,1025695.6366028516
40,20160302,1025724.2533546553
41,20160303,1021418.6936327404
42,20160304,1020187.0840875967
43,20160307,1009758.9260771861
44,20160308,1009024.8819946635
45,20160309,1016342.5543383863
46,20160310,1020480.967604559
47,20160311,1027687.3337556755
48,20160314,1029686.5736412678
49,20160315,1028437.392284511
50,20160316,1033337.4499796346
51,20160317,1034510.4699593801
52,20160318,1034361.3643561809
53,20160321,1037561.7873400295
54,20160322,1036660.7602880513
55,20160323,1035025.663987118
56,20160324,1033473.0443430026
57,20160328,1032252.8281932962
58,20160329,1038337.4199184815
59,20160330,1041729.4330398766
60,20160331,1038417.5482100319
61,20160401,1041127.5621045592
62,20160404,1038167.2340085804
63,20160405,1033597.1730125907
64,20160406,1038886.1853946189
65,20160407,1034907.9706337672
66,20160408,1034020.0348512125
67,20160411,1031628.3789221453
68,20160412,1036308.1143631586
69,20160413,1042359.9570185785
70,20160414,1043418.7785715769
71,20160415,1046985.4312025153
72,20160418,1051388.0049375033
73,20160419,1042650.829799043
74,20160420,1041840.8430595025
75,20160421,1046184.6485355385
76,20160422,1019794.1309488716
77,20160425,1022422.5380333859
78,20160426,1013907.4593933751
79,20160427,1012465.1423442892
80,20160428,1003220.1349850576
81,20160429,1004483.1431022673
82,20160502,1007786.6330600715
83,20160503,1004453.8319471178
84,20160504,1005923.4515060934
85,20160505,1007920.8659876927
86,20160506,1010933.5700636946
87,20160509,1011531.7011518274
88,20160510,1016091.476247541
89,20160511,1013005.8578457753
90,20160512,1012369.8691662474
91,20160513,1011839.5345361513
92,20160516,1012795.2557540316
93,20160517,1011298.2692929305
94,20160518,1011354.8789160108
95,20160519,1010985.4242169986
96,20160520,1011716.0279500191
97,20160523,1011659.2594082461
98,20160524,1011659.2594082461
99,20160525,1012047.8187912827
100,20160526,1011972.9386787534
101,20160527,1011953.0053107918
102,20160531,1011953.7736648141
103,20160601,1011953.5307721219
104,20160602,1011953.5307721219
105,20160603,1011788.947736472
106,20160606,1011226.2557579015
107,20160607,1011218.9803028598
108,20160608,1012969.2428001239
109,20160609,1012972.2304549416
110,20160610,1012243.6108780595
111,20160613,1012188.4178003116
112,20160614,1012188.4178003116
113,20160615,1012181.5870983115
114,20160616,1010854.2265899762
115,20160617,1007744.1124819188
116,20160620,1007986.3110811507
117,20160621,1007990.9700850787
118,20160622,1008029.3200796533
119,20160623,1008069.3057583949
120,20160624,1008061.1528548171
121,20160627,1007884.3606710795
122,20160628,1007868.8871483272
123,20160629,1007976.7081282405
124,20160630,1007954.9493888568
125,20160701,1007954.9493888568
126,20160705,1007565.7751727351
127,20160706,1007961.1616655424
128,20160707,1007263.8216771614
129,20160708,1008841.5537292593
130,20160711,1011234.3407039879
131,20160712,1013023.0446243123
132,20160713,1011955.7793858026
133,20160714,1013331.8534184021
134,20160715,1012879.5994087083
135,20160718,1016959.7085632966
136,20160719,1018151.114997572
137,20160720,1020099.0588756667
138,20160721,1018944.4877793726
139,20160722,1020852.1649789998
140,20160725,1019402.5337416416
141,20160726,1018654.7300746953
142,20160727,1020688.9572188652
143,20160728,1022805.9224632791
144,20160729,1033017.1423343983
145,20160801,1035185.3367158092
146,20160802,1033933.5155410247
147,20160803,1035117.1341669415
148,20160804,1033989.899425311
149,20160805,1041077.3169497591
150,20160808,1040702.9420815958
151,20160809,1042628.6804444925
152,20160810,1042924.9376002289
153,20160811,1043060.8230342595
154,20160812,1041498.814616402
155,20160815,1040605.330713698
156,20160816,1034457.96081409
157,20160817,1037815.3077046652
158,20160818,1034730.6753562673
159,20160819,1032030.4727187278
160,20160822,1027788.687638242
161,20160823,1027627.7512434714
162,20160824,1024641.8843436028
