,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,999903.4708606
3,20160107,999729.4209912482
4,20160108,999745.8614796206
5,20160111,999741.4221860435
6,20160112,999755.1291728956
7,20160113,999719.5483311631
8,20160114,999808.0244118968
9,20160115,999651.6664585118
10,20160119,999636.3472444728
11,20160120,999654.3396075282
12,20160121,999612.3125001478
13,20160122,999784.1633607649
14,20160125,999689.2629356977
15,20160126,999718.5028103922
16,20160127,999561.0016548705
17,20160128,999650.4869737722
18,20160129,999700.9202113579
19,20160201,999699.916662068
20,20160202,999538.460830768
21,20160203,999533.611749768
22,20160204,999533.611749768
23,20160205,999533.611749768
24,20160208,999533.611749768
25,20160209,999526.2915529667
26,20160210,999524.2807361714
27,20160211,999524.2807361714
28,20160212,999593.8436943714
29,20160216,999657.3268812925
30,20160217,999661.0986691721
31,20160218,999659.6054014914
32,20160219,999659.278598174
33,20160222,999659.278598174
34,20160223,999566.3040606664
35,20160224,999589.165470987
36,20160225,999753.7649683816
37,20160226,999547.2125046129
38,20160229,999463.0387920048
39,20160301,999629.1896208032
40,20160302,999632.2036125816
41,20160303,999631.1638610206
42,20160304,999629.0814691047
43,20160307,999556.0648944344
44,20160308,999552.5090075468
45,20160309,999552.5090075468
46,20160310,999552.0690781362
47,20160311,999641.7962143694
48,20160314,999643.9101119505
49,20160315,999665.8088267574
50,20160316,999747.9265740064
51,20160317,999752.0490541095
52,20160318,999607.9320120842
53,20160321,999681.0717646622
54,20160322,999726.3825707923
55,20160323,999694.1236095369
56,20160324,999779.8311967715
57,20160328,999518.8714599322
58,20160329,999913.912421122
59,20160330,1000055.7606966032
60,20160331,1000120.184754638
61,20160401,1000211.3653732442
62,20160404,1000172.0279575444
63,20160405,999843.5306220297
64,20160406,1000045.8290977268
65,20160407,999782.8452772545
66,20160408,999766.6627408952
67,20160411,999727.8489694475
68,20160412,999800.2763469865
69,20160413,999961.3075573205
70,20160414,999959.8184692557
71,20160415,1000019.0751132155
72,20160418,1000200.7986162598
73,20160419,1000186.3289295097
74,20160420,1000148.9469747535
75,20160421,1000146.7104454987
76,20160422,1000146.7104454987
77,20160425,1000146.7104454987
78,20160426,1000129.4573286168
79,20160427,1000099.8031677698
80,20160428,999941.0291872973
81,20160429,999935.6712756327
82,20160502,999961.666445103
83,20160503,999872.5463459402
84,20160504,999882.5005280538
85,20160505,999879.815729696
86,20160506,999902.7699463941
87,20160509,999851.3700819509
88,20160510,999898.0268593685
89,20160511,999895.2733430819
90,20160512,999932.7055117218
91,20160513,999848.9771971846
92,20160516,1000051.1445638037
93,20160517,999718.621531942
94,20160518,999809.1352077953
95,20160519,999664.9372926991
96,20160520,999720.2497990368
97,20160523,999542.8439498118
98,20160524,1000048.3302344381
99,20160525,1000166.6444305085
100,20160526,1000105.9088542992
101,20160527,1000229.9802541548
102,20160531,1000447.1647096928
103,20160601,1000402.869675335
104,20160602,1000272.430480027
105,20160603,999995.8636215293
106,20160606,1000148.2407417499
107,20160607,1000134.220021699
108,20160608,1000105.7349223009
109,20160609,999872.5299090536
110,20160610,999803.9745784455
111,20160613,999148.1778810323
112,20160614,998985.5340288552
113,20160615,998910.900793955
114,20160616,999341.9275023445
115,20160617,999194.2098822112
116,20160620,999161.0503164076
117,20160621,999865.3703462553
118,20160622,999726.4251063385
119,20160623,1000430.723438445
120,20160624,998993.4648717783
121,20160627,998104.8592787626
122,20160628,998799.4385090425
123,20160629,999552.5611394827
124,20160630,1000037.6492398538
125,20160701,1000029.3390897521
126,20160705,1000033.4163026136
127,20160706,1000187.8775411486
128,20160707,1000184.8084757576
129,20160708,1000863.0978885866
130,20160711,1001095.3885294332
131,20160712,1001585.628232932
132,20160713,1001817.4922718998
133,20160714,1001990.5768836659
134,20160715,1001951.605062921
135,20160718,1002158.5041685994
136,20160719,1001500.629754338
137,20160720,1003637.824356798
138,20160721,1003539.055444884
139,20160722,1004154.5055762307
140,20160725,1004292.5285687657
141,20160726,1004316.9211000989
142,20160727,1003718.9411381725
143,20160728,1003736.1077158408
144,20160729,1004185.8035108648
145,20160801,1004078.1772669211
146,20160802,1004077.7570317696
147,20160803,1004506.8377693
148,20160804,1004983.7945285294
149,20160805,1005603.5042451326
150,20160808,1005713.7082090245
151,20160809,1005855.6595114544
152,20160810,1005672.6816818556
153,20160811,1005959.5163571363
154,20160812,1005549.9474466515
155,20160815,1005763.3506946357
156,20160816,1005390.4693817358
157,20160817,1005526.8890370969
158,20160818,1005571.240578158
159,20160819,1005592.0792794252
160,20160822,1005657.3573285346
161,20160823,1005946.203122605
162,20160824,1006025.1187274691
163,20160825,1006328.5658070847
164,20160826,1006126.7033364725
165,20160829,1006227.0401634652
166,20160830,1005936.7966447083
167,20160831,1005309.8116607217
168,20160901,1005480.2871893478
169,20160902,1005590.588493395
