,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000138.6818
3,20160107,1000424.2156002
4,20160108,1000366.6004
5,20160111,1000355.7932338889
6,20160112,1000330.1097455426
7,20160113,1000391.3493164659
8,20160114,1000156.9565092521
9,20160115,1000202.447071889
10,20160119,1000176.9080409501
11,20160120,1000493.384988974
12,20160121,1000498.910044251
13,20160122,1000404.8802373069
14,20160125,1000558.9708628312
15,20160126,1000728.2297377663
16,20160127,1000744.434450825
17,20160128,1000737.7969942673
18,20160129,1000768.1425941673
19,20160201,1000930.1052745611
20,20160202,1000932.2691708583
21,20160203,1001281.1107728482
22,20160204,1001811.4419427395
23,20160205,1002601.6575359307
24,20160208,1003362.7040950287
25,20160209,1003199.322639781
26,20160210,1003810.9970773672
27,20160211,1007360.804312096
28,20160212,1006805.7548822027
29,20160216,1003885.7693467417
30,20160217,1004522.2596985388
31,20160218,1006827.2425294248
32,20160219,1006210.2315528118
33,20160222,1004550.8730821424
34,20160223,1005732.7808248448
35,20160224,1006025.0222463557
36,20160225,1006238.8079399364
37,20160226,1005568.4174011964
38,20160229,1006774.7376286457
39,20160301,1006063.3227545326
40,20160302,1006852.5464460639
41,20160303,1008429.7057702265
42,20160304,1008271.554393525
43,20160307,1008730.2815669423
44,20160308,1008284.9682717972
45,20160309,1007482.4535105227
46,20160310,1009003.5570861024
47,20160311,1007543.5151347884
48,20160314,1006310.7035461598
49,20160315,1006378.1546345222
50,20160316,1008421.1771754726
51,20160317,1008057.389947137
52,20160318,1007806.965970401
53,20160321,1007087.5120223323
54,20160322,1007392.9944745939
55,20160323,1005251.9640218533
56,20160324,1004999.8348552132
57,20160328,1005227.76828735
58,20160329,1007200.8936133849
59,20160330,1005749.3898544948
60,20160331,1006154.0813447537
61,20160401,1005585.5585619328
62,20160404,1004976.8926755216
63,20160405,1006175.9985276383
64,20160406,1005661.3061387538
65,20160407,1006984.100868243
66,20160408,1006846.4019743282
67,20160411,1007980.8899673685
68,20160412,1007992.5897356399
69,20160413,1006966.8224827413
70,20160414,1005688.1801472016
71,20160415,1006218.0281085606
72,20160418,1006067.8892271516
73,20160419,1007297.3904114577
74,20160420,1006935.1435357328
75,20160421,1007205.5559233956
76,20160422,1006204.9816261019
77,20160425,1006406.1999475504
78,20160426,1006634.1436311244
79,20160427,1006798.5637261753
80,20160428,1007727.9530081422
81,20160429,1008846.3205387396
82,20160502,1008606.2135261279
83,20160503,1008450.0178705119
84,20160504,1008009.0505425734
85,20160505,1007901.150482343
86,20160506,1008616.4550053651
87,20160509,1006994.8686320888
88,20160510,1007171.0895124524
89,20160511,1007686.2775203863
90,20160512,1007326.0355598945
91,20160513,1007564.7211067042
92,20160516,1007605.0280521845
93,20160517,1007775.0803119562
94,20160518,1007011.3987658428
95,20160519,1006939.8789820838
96,20160520,1006899.7335885698
97,20160523,1006846.5168145978
98,20160524,1006790.4628825423
99,20160525,1006787.9629230122
100,20160526,1006787.9629230122
101,20160527,1006687.5784280696
102,20160531,1006712.7218239112
103,20160601,1006702.8439053784
104,20160602,1006694.3066642997
105,20160603,1006694.3066642997
106,20160606,1006694.3066642997
107,20160607,1006677.7543494969
108,20160608,1006931.872445723
109,20160609,1007037.5297822194
110,20160610,1007136.9522060433
111,20160613,1007230.2283408622
112,20160614,1007220.1959758163
113,20160615,1007218.0884218204
114,20160616,1007206.8133859397
115,20160617,1007363.3891175386
116,20160620,1007291.6585386832
117,20160621,1007279.9770939206
118,20160622,1007274.1021344853
119,20160623,1007178.2644275269
120,20160624,1008450.4487001388
121,20160627,1008518.1089605301
122,20160628,1008240.4898749482
123,20160629,1008312.5582030565
124,20160630,1008420.4866398101
125,20160701,1008944.5595632017
126,20160705,1009198.1044277984
127,20160706,1009414.7672985705
128,20160707,1009306.8446092387
129,20160708,1009522.9379019992
130,20160711,1009251.896939858
131,20160712,1008883.014756844
132,20160713,1009186.0256241933
133,20160714,1009005.0412587593
134,20160715,1008860.0801317955
135,20160718,1008920.4163678386
136,20160719,1008977.3612616194
137,20160720,1008519.4635925926
138,20160721,1008981.2564784003
139,20160722,1008757.7345381274
140,20160725,1008450.9574441069
141,20160726,1008638.0668776677
142,20160727,1009291.8228230719
143,20160728,1009183.7736544224
144,20160729,1009552.280239411
145,20160801,1009622.1795313563
146,20160802,1009899.1087920566
147,20160803,1009770.2848376817
148,20160804,1009812.9682238173
149,20160805,1009166.7499619228
150,20160808,1009134.8285269579
151,20160809,1009205.9764555602
152,20160810,1009339.6932583563
153,20160811,1009020.5095723443
154,20160812,1008900.4333967533
155,20160815,1009082.5474226493
156,20160816,1009267.8944420237
157,20160817,1009272.0647463435
158,20160818,1009479.2727740656
159,20160819,1009099.8955177543
160,20160822,1009006.6865175262
161,20160823,1008983.3918459902
162,20160824,1008081.8163848014
