,date,assets
0,0,1000000.0
1,20160105,997291.9939131851
2,20160106,992078.9045483407
3,20160107,991262.8601686982
4,20160108,990819.2912867714
5,20160111,989614.6605994975
6,20160112,989604.7940511465
7,20160113,989604.7940511465
8,20160114,989604.7940511465
9,20160115,989604.7940511465
10,20160119,989604.7940511465
11,20160120,987578.664258605
12,20160121,992450.5263319769
13,20160122,1010376.8227293767
14,20160125,993872.1652544794
15,20160126,999481.436288251
16,20160127,1000582.0416025171
17,20160128,1000557.0407707148
18,20160129,1000499.0002139502
19,20160201,999021.0993462591
20,20160202,999011.4203991061
21,20160203,999011.4203991061
22,20160204,999011.4203991061
23,20160205,997019.7203991062
24,20160208,994832.8628415066
25,20160209,987585.6436933476
26,20160210,986200.8589121243
27,20160211,986725.1914127613
28,20160212,988263.9236728932
29,20160216,987839.5305661428
30,20160217,991461.8768722798
31,20160218,991020.318175533
32,20160219,990266.6184814336
33,20160222,992164.5907088735
34,20160223,992137.9406829597
35,20160224,992166.9347165992
36,20160225,993570.6363397528
37,20160226,993528.6504515578
38,20160229,995548.2456274916
39,20160301,997537.2682154585
40,20160302,998943.9978021323
41,20160303,998919.1684555995
42,20160304,999493.3365868556
43,20160307,1000251.6843356859
44,20160308,1000242.8047667085
45,20160309,1000242.8047667085
46,20160310,999736.2023371812
47,20160311,1000201.4132770997
48,20160314,996422.7805359956
49,20160315,995151.050197899
50,20160316,1000301.9384983522
51,20160317,1003422.0099473268
52,20160318,1002858.6045095379
53,20160321,1002816.9118722536
54,20160322,1002816.9118722536
55,20160323,1001716.3597883875
56,20160324,1001040.1310236247
57,20160328,1000775.5057089274
58,20160329,999796.7619104197
59,20160330,999690.5645559867
60,20160331,999531.9328392394
61,20160401,994694.0559196112
62,20160404,989569.3479542945
63,20160405,990078.2130789931
64,20160406,999349.8077857192
65,20160407,997575.2130772383
66,20160408,1001576.1127175123
67,20160411,1005509.0057125837
68,20160412,1012669.7390882656
69,20160413,1008653.4613237545
70,20160414,1007726.0642710811
71,20160415,1000451.8137494213
72,20160418,998770.2008648616
73,20160419,1005146.5725022975
74,20160420,1014801.4489696589
75,20160421,1013277.348933137
76,20160422,1014522.0979560023
77,20160425,1008345.6659044937
78,20160426,1016729.9819503569
79,20160427,1031761.7741956018
80,20160428,1033668.4395698094
81,20160429,1035410.2909551644
82,20160502,1030673.1730420918
83,20160503,1025170.4487309784
84,20160504,1025332.8774949163
85,20160505,1026906.93828871
86,20160506,1027415.9068079208
87,20160509,1022162.3830784295
88,20160510,1026238.6090835403
89,20160511,1032041.7738462947
90,20160512,1032713.6567343734
91,20160513,1031790.9000070547
92,20160516,1039117.5393891281
93,20160517,1040634.7588882078
94,20160518,1037196.941736321
95,20160519,1038729.7973167396
96,20160520,1037853.4949506383
97,20160523,1036848.0671216684
98,20160524,1040582.7102824406
99,20160525,1045741.7685283093
100,20160526,1042874.5945021872
101,20160527,1043962.9301645617
102,20160531,1040153.4322311205
103,20160601,1041872.8234558759
104,20160602,1040624.6346771417
105,20160603,1039349.6776050982
106,20160606,1047773.0193066535
107,20160607,1057321.529301518
108,20160608,1067112.0642683997
109,20160609,1060637.9918173156
110,20160610,1050429.4804529434
111,20160613,1046962.2242775903
112,20160614,1045792.8961320529
113,20160615,1038187.4921450353
114,20160616,1023911.3456696105
115,20160617,1044001.026411047
116,20160620,1056157.7112640524
117,20160621,1056495.766045079
118,20160622,1051426.6539690131
119,20160623,1059714.473630264
120,20160624,1039320.6291685711
121,20160627,1034135.5586461712
122,20160628,1043720.9229478528
123,20160629,1051481.0035783458
124,20160630,1046033.4563195468
125,20160701,1049314.1828743163
126,20160705,1038674.2384241023
127,20160706,1039622.2751954475
128,20160707,1030344.0781100669
129,20160708,1030548.6970245624
130,20160711,1027485.2469315153
131,20160712,1033546.0249857908
132,20160713,1029511.548197993
133,20160714,1031491.0294535004
134,20160715,1034666.2169592702
135,20160718,1031198.0568449848
136,20160719,1028991.7401888864
137,20160720,1029086.8381602409
138,20160721,1026491.679361653
139,20160722,1025363.243757487
140,20160725,1023771.628394962
141,20160726,1023744.647179093
142,20160727,1023744.647179093
143,20160728,1021650.397179093
144,20160729,1022670.931698731
145,20160801,1017679.9639678007
146,20160802,1015623.323093701
147,20160803,1026044.1158280455
148,20160804,1030688.5560615684
149,20160805,1032017.2616767074
150,20160808,1040656.9094196846
151,20160809,1039910.3479497338
152,20160810,1026697.0912368185
153,20160811,1044538.2493901083
154,20160812,1054247.9939646074
155,20160815,1062399.4586926405
156,20160816,1069062.0397190037
157,20160817,1073262.6526009026
158,20160818,1085547.6627155764
159,20160819,1086323.8664216977
160,20160822,1065784.4510987836
161,20160823,1073119.9781825524
162,20160824,1056501.9857447855
163,20160825,1062894.8201840918
164,20160826,1063174.0907465974
165,20160829,1056709.660147814
166,20160830,1050046.4152124445
167,20160831,1032899.7071538966
168,20160901,1022543.0975258391
169,20160902,1029371.7885275348
170,20160906,1036100.3653137219
171,20160907,1042095.4339045536
172,20160908,1063926.0490037787
173,20160909,1041326.1328824866
174,20160912,1044034.4375470984
175,20160913,1028996.515746237
176,20160914,1013567.2429424383
177,20160915,1016171.3622334893
178,20160916,1007673.0232481472
179,20160919,1007274.0969959404
180,20160920,1011497.5560414327
181,20160921,1035320.1359720052
182,20160922,1044272.8159686445
183,20160923,1019103.2855359415
184,20160926,1036707.7264655222
185,20160927,1013563.5962149538
186,20160928,1059234.6163954139
187,20160929,1083227.727396789
188,20160930,1090718.261395636
189,20161003,1109789.8198729977
190,20161004,1107736.75737686
191,20161005,1141684.2614265904
192,20161006,1167628.9611249336
193,20161007,1140550.199297703
194,20161010,1188748.250113995
195,20161011,1176194.7729739498
196,20161012,1154377.8199153827
197,20161013,1161843.9632776931
198,20161014,1155651.6586012864
199,20161017,1141986.497299726
200,20161018,1154002.0164392598
201,20161019,1183413.246017483
202,20161020,1151496.1776709289
203,20161021,1162284.1341248066
204,20161024,1154432.3837651666
205,20161025,1130884.8428049502
206,20161026,1107428.366663452
207,20161027,1123125.1685248024
208,20161028,1093905.8514709827
209,20161031,1020196.2432535584
210,20161101,1026545.8239441474
211,20161102,982439.7176841565
212,20161103,957102.0824500062
213,20161104,942729.5474596121
214,20161107,965029.6935837645
215,20161108,957858.9393562947
216,20161109,983042.7779738759
217,20161110,953646.0162702473
218,20161111,916247.384024411
219,20161114,928534.6313148984
220,20161115,991265.9193615345
221,20161116,975177.1320326207
222,20161117,958139.2947037069
223,20161118,988313.9549418775
224,20161121,1068809.8746072468
225,20161122,1045814.9399605064
226,20161123,1053845.27916461
227,20161125,990174.9336592662
228,20161128,1006940.1188378246
229,20161129,939951.853453958
230,20161130,1088992.333961472
231,20161201,1163315.800689607
232,20161202,1194348.5118229876
233,20161205,1172959.1754062348
234,20161206,1157207.1087339425
235,20161207,1119889.7403595257
236,20161208,1160412.3994061395
237,20161209,1188160.6791222438
238,20161212,1226581.3741137728
239,20161213,1247926.2046646222
240,20161214,1174626.3646815643
241,20161215,1180652.584211817
242,20161216,1211512.8705810567
243,20161219,1199279.3873662236
244,20161220,1221506.3705400531
245,20161221,1193556.8104362094
246,20161222,1196792.1106375658
247,20161223,1211270.194126708
248,20161227,1237671.128213637
249,20161228,1242129.7435372013
250,20161229,1238500.4069964217
251,20161230,1237485.514248367
252,20170103,1190292.0913495142
253,20170104,1211647.3600508857
254,20170105,1228507.014041997
255,20170106,1226753.6640241568
256,20170109,1168861.455778793
257,20170110,1130279.0854856702
258,20170111,1177372.3811139246
259,20170112,1205752.347189257
260,20170113,1186526.7067929972
261,20170117,1186088.1784502333
262,20170118,1146209.2716201253
263,20170119,1147464.5257291994
264,20170120,1181424.2182784458
265,20170123,1170050.661339045
266,20170124,1177491.685330965
267,20170125,1171155.899390826
268,20170126,1201871.2834102875
