,date,assets
0,0,1000000.0
1,20160105,1000021.2011326767
2,20160106,1000049.8518297353
3,20160107,999890.646648533
4,20160108,999946.5941369066
5,20160111,999914.0704578189
6,20160112,999964.5459709888
7,20160113,999960.9120069692
8,20160114,999961.8456709116
9,20160115,999960.5694198252
10,20160119,999945.755341761
11,20160120,999911.0342534032
12,20160121,999910.2617594728
13,20160122,999886.9364513586
14,20160125,999804.7236781989
15,20160126,999832.0788241904
16,20160127,999532.3729589925
17,20160128,999235.1247134722
18,20160129,999541.7365475886
19,20160201,999621.0963748702
20,20160202,999307.5454539645
21,20160203,999397.6066120212
22,20160204,999627.032990863
23,20160205,999192.864333744
24,20160208,998872.2118079887
25,20160209,999020.1605181072
26,20160210,999083.6427384508
27,20160211,999028.940184702
28,20160212,999274.256128666
29,20160216,999419.7018997741
30,20160217,999660.3397989139
31,20160218,999764.2817544728
32,20160219,999851.2817970611
33,20160222,1000193.942834645
34,20160223,1000274.305626867
35,20160224,1000387.8824098497
36,20160225,1000892.1592945339
37,20160226,1000727.9546435355
38,20160229,1000657.2367668184
39,20160301,1000851.0663434797
40,20160302,1000706.4638051721
41,20160303,1000727.7893930099
42,20160304,1000628.6849075919
43,20160307,1000623.978150903
44,20160308,1000636.7813202258
45,20160309,1000697.1039363062
46,20160310,1000682.2265288351
47,20160311,1000907.1187877326
48,20160314,1000971.1524744326
49,20160315,1000934.0523729557
50,20160316,1001004.4043169356
51,20160317,1000878.8887849157
52,20160318,1001110.393649798
53,20160321,1001279.9791991428
54,20160322,1001177.2323873832
55,20160323,1001109.1004000274
56,20160324,1000992.6425564813
57,20160328,1000907.5842833746
58,20160329,1001194.3335582386
59,20160330,1001280.5038139554
60,20160331,1001218.9835510381
61,20160401,1001155.3292665718
62,20160404,1001018.8465873128
63,20160405,1000837.1677386065
64,20160406,1000851.0444606782
65,20160407,1000838.982455552
66,20160408,1001226.1004900069
67,20160411,1001174.9466462121
68,20160412,1001286.2544749419
69,20160413,1001758.046434053
70,20160414,1002068.6461211324
71,20160415,1002177.408039997
72,20160418,1002198.1123671466
73,20160419,1002208.1232069607
74,20160420,1002157.2353646283
75,20160421,1002524.2310579846
76,20160422,1002305.3178128338
77,20160425,1002142.6172813136
78,20160426,1001805.0505351928
79,20160427,1001465.7867726777
80,20160428,1000533.6030492118
81,20160429,1000920.5265212053
82,20160502,1000541.6141613324
83,20160503,999970.4477021567
84,20160504,998916.2393388116
85,20160505,998827.0519118656
86,20160506,998972.5514256526
87,20160509,999302.5230683237
88,20160510,999753.6726682793
89,20160511,999289.2363284597
90,20160512,998698.4510542171
91,20160513,998887.0368216163
92,20160516,999198.3264218796
93,20160517,999183.7379150382
94,20160518,999549.3920027951
95,20160519,999216.4337403108
96,20160520,999224.0504267707
97,20160523,999233.8557028741
98,20160524,999490.8328946045
99,20160525,999348.7294481655
100,20160526,999015.2701565796
101,20160527,999200.7942492341
102,20160531,999263.7487872102
103,20160601,999292.2339357163
104,20160602,999052.0354008425
105,20160603,998719.679677707
106,20160606,998849.520773914
107,20160607,999858.8202001653
108,20160608,1000161.5287933564
109,20160609,1000713.9489217687
110,20160610,1000294.6007843515
111,20160613,999160.4744748787
112,20160614,997275.498947571
113,20160615,997325.9218433467
114,20160616,997173.4370498821
115,20160617,997135.8960241181
116,20160620,997421.307780918
117,20160621,997923.908881492
118,20160622,997633.1930412604
119,20160623,996857.6956580371
120,20160624,995370.0264390978
121,20160627,993578.3590023
122,20160628,994302.4368430348
123,20160629,995763.1876866481
124,20160630,996049.5835491378
125,20160701,996361.985087606
126,20160705,996006.563984428
127,20160706,995932.3925284499
128,20160707,996617.2048240184
129,20160708,997316.6076989803
130,20160711,997847.1776077859
131,20160712,999932.9960641086
132,20160713,999458.6563852067
133,20160714,1000235.5815413524
134,20160715,1000220.4924520343
135,20160718,1000240.6811979901
136,20160719,999723.4598196648
137,20160720,998981.8853829774
138,20160721,993698.9004845006
139,20160722,994251.8357920997
140,20160725,993734.9353469939
141,20160726,994814.7259799484
142,20160727,993848.0601643643
143,20160728,993835.6823852008
144,20160729,993238.0454969151
145,20160801,993275.0393933993
146,20160802,991517.5094030193
147,20160803,991925.4362165976
148,20160804,992519.9652034362
149,20160805,993962.8136393093
150,20160808,993582.4376307662
151,20160809,993589.3354656519
152,20160810,993121.8517331985
153,20160811,993341.5407594744
154,20160812,992713.4867742242
155,20160815,993016.3463636739
156,20160816,992783.9540276806
157,20160817,993047.9816885326
158,20160818,993039.8302669777
