,date,assets
0,0,1487068.272547654
1,20190709,1481074.223878249
2,20190710,1495013.3804385117
3,20190711,1498339.3743753065
4,20190712,1498954.3766718318
5,20190715,1503820.1910002225
6,20190716,1506721.897104805
7,20190717,1500232.321323523
8,20190718,1500212.8144749026
9,20190719,1485603.9200516988
10,20190722,1492786.1266773164
11,20190723,1500132.348540239
12,20190724,1492537.416847093
13,20190725,1487384.6403900438
14,20190726,1594628.6333841763
15,20190729,1584639.4976565698
16,20190730,1571662.4960537578
17,20190731,1563957.2714717751
18,20190801,1556961.21786568
19,20190802,1543242.7562886563
20,20190805,1505131.4167860523
21,20190806,1521276.8908117225
22,20190807,1524980.880690874
23,20190808,1553279.120912873
24,20190809,1537833.2812953638
25,20190812,1525580.1416677847
26,20190813,1546389.9886071752
27,20190814,1515921.166605218
28,20190815,1518667.241911842
29,20190816,1528245.1915380023
30,20190819,1547587.7080436004
31,20190820,1532943.5652529313
32,20190821,1540906.4287590834
33,20190822,1539302.2911605323
34,20190823,1503620.511522532
35,20190826,1520064.0820390596
36,20190827,1519080.0035297298
37,20190828,1522058.248316563
38,20190829,1542540.7475963472
39,20190830,1538075.7522103651
40,20190903,1519527.3334745213
41,20190904,1531794.6840346786
42,20190905,1560073.7301747198
43,20190906,1553977.229682985
44,20190909,1553483.5559001276
45,20190910,1554988.6093441336
46,20190911,1568433.213395283
47,20190912,1581810.9182492148
48,20190913,1586862.1269716683
49,20190916,1578989.6789906416
50,20190917,1576936.4919711398
51,20190918,1580049.8863818003
52,20190919,1586076.3157888288
53,20190920,1577662.0608655943
54,20190923,1581594.3145807134
55,20190924,1566921.0977189406
56,20190925,1593628.263742232
57,20190926,1588684.0989052537
58,20190927,1572956.591475485
59,20190930,1567071.4830078376
60,20191001,1553622.751789804
61,20191002,1526041.2027251539
62,20191003,1536904.2713511344
